dataset,columna,tipo_dato,descripcion,ejemplo
df_raw_meli_alq,item_id,str,Identificador de publicación en Mercado Libre.,MLA2052442697
df_raw_meli_alq,fuente,str,Portal o fuente de origen del registro.,Mercado Libre
df_raw_meli_alq,url,str,URL de la publicación.,https://departamento.mercadolibre.com.ar/MLA-2052442697-departamento-en-alquiler-de-4-ambientes-con-dependencia-y-cocher...
df_raw_meli_alq,search_url,str,URL de búsqueda desde la cual fue capturada la publicación.,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/
df_raw_meli_alq,pagina_origen,int64,Página de resultados donde apareció la publicación.,1
df_raw_meli_alq,scraped_at_utc,str,Fecha y hora de extracción en UTC.,2026-09-03T16:45:14.494669+00:00
df_raw_meli_alq,titulo,str,Título publicado del aviso.,Departamento En Alquiler De 4 Ambientes Con Dependencia Y Cochera En Palermo Chico Con Amenities
df_raw_meli_alq,tipo_propiedad,str,Tipo de inmueble declarado o inferido.,departamento
df_raw_meli_alq,tipo_operacion,str,"Tipo de operación: venta, alquiler o alquiler temporal.",alquiler
df_raw_meli_alq,moneda,str,Moneda del precio publicado.,USD
df_raw_meli_alq,precio,float64,Precio numérico extraído de la publicación.,5000.0
df_raw_meli_alq,precio_texto,str,Precio en formato textual original.,US$ 5.000
df_raw_meli_alq,desde,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_alq,inmobiliaria,str,Nombre de inmobiliaria o anunciante cuando está disponible.,Khabbaz Propiedades
df_raw_meli_alq,direccion,str,Dirección capturada en Mercado Libre.,"Segui Al 3600, Palermo Chico, Capital Federal"
df_raw_meli_alq,barrio,str,"Barrio declarado, inferido o capturado desde la fuente.",Palermo Chico
df_raw_meli_alq,localidad,str,Localidad declarada.,Capital Federal
df_raw_meli_alq,provincia,str,Provincia o jurisdicción declarada.,Capital Federal
df_raw_meli_alq,ambientes_min,float64,Mínimo de ambientes informado cuando la publicación usa rangos.,4.0
df_raw_meli_alq,ambientes_max,float64,Máximo de ambientes informado cuando la publicación usa rangos.,4.0
df_raw_meli_alq,banios_min,float64,Mínimo de baños informado cuando la publicación usa rangos.,3.0
df_raw_meli_alq,banios_max,float64,Máximo de baños informado cuando la publicación usa rangos.,3.0
df_raw_meli_alq,dormitorios_min,float64,Mínimo de dormitorios informado cuando la publicación usa rangos.,1.0
df_raw_meli_alq,dormitorios_max,float64,Máximo de dormitorios informado cuando la publicación usa rangos.,1.0
df_raw_meli_alq,superficie_min_m2,float64,Superficie mínima en m2 informada o inferida.,210.0
df_raw_meli_alq,superficie_max_m2,float64,Superficie máxima en m2 informada o inferida.,210.0
df_raw_meli_alq,tipo_superficie,str,Tipo de superficie usada para el dato de m2.,total
df_raw_meli_alq,imagen_principal,str,URL de imagen principal.,https://http2.mlstatic.com/D_NQ_NP_2X_926918-MLA116997522333_082026-E.webp
df_raw_meli_alq,destacado,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_alq,emprendimiento,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_alq,posesion,float64,Pendiente de documentar según significado en la fuente.,
df_raw_meli_alq,unidades_disponibles,float64,Pendiente de documentar según significado en la fuente.,
df_raw_meli_alq,atributos_texto,str,Pendiente de documentar según significado en la fuente.,4 ambs. | 3 baños | 210 m² totales
df_raw_meli_alq,texto_tarjeta,str,Pendiente de documentar según significado en la fuente.,PUBLICADO ESTA SEMANA Departamento en alquiler Departamento En Alquiler De 4 Ambientes Con Dependencia Y Cochera En Pale...
df_raw_meli_alq,parse_warnings,float64,Advertencias del proceso de parseo.,
df_raw_meli_alq,posicion_pagina,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_alq,slug,str,Pendiente de documentar según significado en la fuente.,MLA-2052442697-departamento-en-alquiler-de-4-ambientes-con-dependencia-y-cochera-en-palermo-chico-con-amenities-_JM
df_raw_meli_alq,calle,str,Calle extraída o inferida.,Segui Al
df_raw_meli_alq,altura,float64,Altura aproximada o declarada.,3600.0
df_raw_meli_alq,comuna,float64,Comuna de CABA cuando está disponible o inferida.,14.0
df_raw_meli_alq,precio_anterior,float64,Pendiente de documentar según significado en la fuente.,1957.0
df_raw_meli_alq,descuento_pct,float64,Pendiente de documentar según significado en la fuente.,-33114.1
df_raw_meli_alq,precio_m2_min,float64,Precio por metro cuadrado mínimo calculado por Mercado Libre cuando hay rangos.,23.81
df_raw_meli_alq,precio_m2_max,float64,Precio por metro cuadrado máximo calculado por Mercado Libre cuando hay rangos.,23.81
df_raw_meli_alq,amplitud_superficie_m2,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_alq,es_rango_superficie,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_alq,es_rango_ambientes,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_alq,monoambiente,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_alq,apto_credito,int64,Indicador de apto crédito.,0
df_raw_meli_alq,balcon,int64,Indicador de balcón.,0
df_raw_meli_alq,terraza,int64,Indicador de terraza.,0
df_raw_meli_alq,pileta,int64,Indicador de pileta.,0
df_raw_meli_alq,parrilla,int64,Indicador de parrilla.,0
df_raw_meli_alq,cochera_mencionada,int64,Indicador de cochera mencionada en Mercado Libre.,1
df_raw_meli_alq,amenities_mencionadas,int64,Indicador de amenities mencionadas en Mercado Libre.,1
df_raw_meli_alq,estado_entrega,object,Pendiente de documentar según significado en la fuente.,entrega_inmediata
df_raw_meli_alq,cantidad_atributos,int64,Pendiente de documentar según significado en la fuente.,3
df_raw_meli_alq,completitud_pct,float64,Pendiente de documentar según significado en la fuente.,100.0
df_raw_meli_alq,imagen_id,str,Pendiente de documentar según significado en la fuente.,D_NQ_NP_2X_926918-MLA116997522333_082026-E
df_raw_meli_alq,imagen_extension,str,Pendiente de documentar según significado en la fuente.,webp
df_raw_meli_alq,_archivo_origen,str,Pendiente de documentar según significado en la fuente.,data\raw\mercadolibre_inmuebles_alquiler\meli_alq_1.csv
df_raw_meli_alq_temp,item_id,str,Identificador de publicación en Mercado Libre.,MLA2698335478
df_raw_meli_alq_temp,fuente,str,Portal o fuente de origen del registro.,Mercado Libre
df_raw_meli_alq_temp,url,str,URL de la publicación.,https://departamento.mercadolibre.com.ar/MLA-2698335478-departamento-alquiler-temporario-3-ambientes-amoblado-y-equipado...
df_raw_meli_alq_temp,search_url,str,URL de búsqueda desde la cual fue capturada la publicación.,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/
df_raw_meli_alq_temp,pagina_origen,int64,Página de resultados donde apareció la publicación.,1
df_raw_meli_alq_temp,scraped_at_utc,str,Fecha y hora de extracción en UTC.,2026-09-03T17:22:27.502870+00:00
df_raw_meli_alq_temp,titulo,str,Título publicado del aviso.,Departamento Alquiler Temporario 3 Ambientes Amoblado Y Equipado Recoleta
df_raw_meli_alq_temp,tipo_propiedad,str,Tipo de inmueble declarado o inferido.,departamento
df_raw_meli_alq_temp,tipo_operacion,str,"Tipo de operación: venta, alquiler o alquiler temporal.",alquiler temporal
df_raw_meli_alq_temp,moneda,str,Moneda del precio publicado.,USD
df_raw_meli_alq_temp,precio,float64,Precio numérico extraído de la publicación.,1400.0
df_raw_meli_alq_temp,precio_texto,str,Precio en formato textual original.,US$ 1.400
df_raw_meli_alq_temp,desde,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_alq_temp,inmobiliaria,str,Nombre de inmobiliaria o anunciante cuando está disponible.,Alternativa Propiedades
df_raw_meli_alq_temp,direccion,str,Dirección capturada en Mercado Libre.,"Av. Cnel. Díaz 2400, Recoleta, Capital Federal"
df_raw_meli_alq_temp,barrio,str,"Barrio declarado, inferido o capturado desde la fuente.",Recoleta
df_raw_meli_alq_temp,localidad,str,Localidad declarada.,Capital Federal
df_raw_meli_alq_temp,provincia,str,Provincia o jurisdicción declarada.,Capital Federal
df_raw_meli_alq_temp,ambientes_min,float64,Mínimo de ambientes informado cuando la publicación usa rangos.,3.0
df_raw_meli_alq_temp,ambientes_max,float64,Máximo de ambientes informado cuando la publicación usa rangos.,3.0
df_raw_meli_alq_temp,banios_min,float64,Mínimo de baños informado cuando la publicación usa rangos.,3.0
df_raw_meli_alq_temp,banios_max,float64,Máximo de baños informado cuando la publicación usa rangos.,3.0
df_raw_meli_alq_temp,dormitorios_min,float64,Mínimo de dormitorios informado cuando la publicación usa rangos.,2.0
df_raw_meli_alq_temp,dormitorios_max,float64,Máximo de dormitorios informado cuando la publicación usa rangos.,2.0
df_raw_meli_alq_temp,superficie_min_m2,float64,Superficie mínima en m2 informada o inferida.,120.0
df_raw_meli_alq_temp,superficie_max_m2,float64,Superficie máxima en m2 informada o inferida.,120.0
df_raw_meli_alq_temp,tipo_superficie,str,Tipo de superficie usada para el dato de m2.,cubierta
df_raw_meli_alq_temp,imagen_principal,str,URL de imagen principal.,https://http2.mlstatic.com/D_NQ_NP_2X_786192-MLA102668267049_122025-E.webp
df_raw_meli_alq_temp,destacado,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_alq_temp,emprendimiento,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_alq_temp,posesion,object,Pendiente de documentar según significado en la fuente.,Preventa
df_raw_meli_alq_temp,unidades_disponibles,float64,Pendiente de documentar según significado en la fuente.,4.0
df_raw_meli_alq_temp,atributos_texto,str,Pendiente de documentar según significado en la fuente.,3 ambs. | 3 baños | 120 m² cubiertos
df_raw_meli_alq_temp,texto_tarjeta,str,Pendiente de documentar según significado en la fuente.,Departamento en alquiler temporal Departamento Alquiler Temporario 3 Ambientes Amoblado Y Equipado Recoleta US$ 1.400 3 ...
df_raw_meli_alq_temp,parse_warnings,float64,Advertencias del proceso de parseo.,
df_raw_meli_alq_temp,posicion_pagina,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_alq_temp,slug,str,Pendiente de documentar según significado en la fuente.,MLA-2698335478-departamento-alquiler-temporario-3-ambientes-amoblado-y-equipado-recoleta-_JM
df_raw_meli_alq_temp,calle,str,Calle extraída o inferida.,Av. Cnel. Díaz
df_raw_meli_alq_temp,altura,float64,Altura aproximada o declarada.,2400.0
df_raw_meli_alq_temp,comuna,float64,Comuna de CABA cuando está disponible o inferida.,2.0
df_raw_meli_alq_temp,precio_anterior,float64,Pendiente de documentar según significado en la fuente.,1500.0
df_raw_meli_alq_temp,descuento_pct,float64,Pendiente de documentar según significado en la fuente.,-46566.67
df_raw_meli_alq_temp,precio_m2_min,float64,Precio por metro cuadrado mínimo calculado por Mercado Libre cuando hay rangos.,11.67
df_raw_meli_alq_temp,precio_m2_max,float64,Precio por metro cuadrado máximo calculado por Mercado Libre cuando hay rangos.,11.67
df_raw_meli_alq_temp,amplitud_superficie_m2,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_alq_temp,es_rango_superficie,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_alq_temp,es_rango_ambientes,float64,Pendiente de documentar según significado en la fuente.,0.0
df_raw_meli_alq_temp,monoambiente,int64,Pendiente de documentar según significado en la fuente.,0
df_raw_meli_alq_temp,apto_credito,int64,Indicador de apto crédito.,0
df_raw_meli_alq_temp,balcon,int64,Indicador de balcón.,0
df_raw_meli_alq_temp,terraza,int64,Indicador de terraza.,0
df_raw_meli_alq_temp,pileta,int64,Indicador de pileta.,0
df_raw_meli_alq_temp,parrilla,int64,Indicador de parrilla.,0
df_raw_meli_alq_temp,cochera_mencionada,int64,Indicador de cochera mencionada en Mercado Libre.,0
df_raw_meli_alq_temp,amenities_mencionadas,int64,Indicador de amenities mencionadas en Mercado Libre.,0
df_raw_meli_alq_temp,estado_entrega,object,Pendiente de documentar según significado en la fuente.,entrega_inmediata
df_raw_meli_alq_temp,cantidad_atributos,int64,Pendiente de documentar según significado en la fuente.,3
df_raw_meli_alq_temp,completitud_pct,float64,Pendiente de documentar según significado en la fuente.,85.7
df_raw_meli_alq_temp,imagen_id,str,Pendiente de documentar según significado en la fuente.,D_NQ_NP_2X_786192-MLA102668267049_122025-E
df_raw_meli_alq_temp,imagen_extension,str,Pendiente de documentar según significado en la fuente.,webp
df_raw_meli_alq_temp,_archivo_origen,str,Pendiente de documentar según significado en la fuente.,data\raw\mercadolibre_inmuebles_alquiler temporario\meli_alq_temp_1.csv
df_raw_meli_vtas,item_id,str,Identificador de publicación en Mercado Libre.,MLA1844045092
df_raw_meli_vtas,fuente,str,Portal o fuente de origen del registro.,Mercado Libre
df_raw_meli_vtas,url,str,URL de la publicación.,https://departamento.mercadolibre.com.ar/MLA-1844045092-mine-migueletes-bajo-belgrano-_JM
df_raw_meli_vtas,search_url,str,URL de búsqueda desde la cual fue capturada la publicación.,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/
df_raw_meli_vtas,pagina_origen,int64,Página de resultados donde apareció la publicación.,1
df_raw_meli_vtas,scraped_at_utc,str,Fecha y hora de extracción en UTC.,2026-09-03T16:28:55.814717+00:00
df_raw_meli_vtas,titulo,str,Título publicado del aviso.,Mine Migueletes - Bajo Belgrano
df_raw_meli_vtas,tipo_propiedad,str,Tipo de inmueble declarado o inferido.,departamento
df_raw_meli_vtas,tipo_operacion,str,"Tipo de operación: venta, alquiler o alquiler temporal.",venta
df_raw_meli_vtas,moneda,str,Moneda del precio publicado.,USD
df_raw_meli_vtas,precio,float64,Precio numérico extraído de la publicación.,198000.0
df_raw_meli_vtas,precio_texto,str,Precio en formato textual original.,US$ 198.000
df_raw_meli_vtas,desde,int64,Pendiente de documentar según significado en la fuente.,1
df_raw_meli_vtas,inmobiliaria,str,Nombre de inmobiliaria o anunciante cuando está disponible.,Martin Pinus
df_raw_meli_vtas,direccion,str,Dirección capturada en Mercado Libre.,"Migueletes 2306, Belgrano Chico, Capital Federal"
df_raw_meli_vtas,barrio,str,"Barrio declarado, inferido o capturado desde la fuente.",Belgrano Chico
df_raw_meli_vtas,localidad,str,Localidad declarada.,Capital Federal
df_raw_meli_vtas,provincia,str,Provincia o jurisdicción declarada.,Capital Federal
df_raw_meli_vtas,ambientes_min,float64,Mínimo de ambientes informado cuando la publicación usa rangos.,2.0
df_raw_meli_vtas,ambientes_max,float64,Máximo de ambientes informado cuando la publicación usa rangos.,2.0
df_raw_meli_vtas,banios_min,float64,Mínimo de baños informado cuando la publicación usa rangos.,1.0
df_raw_meli_vtas,banios_max,float64,Máximo de baños informado cuando la publicación usa rangos.,1.0
df_raw_meli_vtas,dormitorios_min,float64,Mínimo de dormitorios informado cuando la publicación usa rangos.,2.0
df_raw_meli_vtas,dormitorios_max,float64,Máximo de dormitorios informado cuando la publicación usa rangos.,2.0
