dataset,columna,n_labels_incluyendo_na,top_10_labels
df_raw_airbnb_norm,url,9596,https://www.airbnb.com.ar/rooms/1040554442322631694: 1 | https://www.airbnb.com.ar/rooms/964408489461867104: 1 | https://www.airbnb.com.ar/rooms/1036158336168624323: 1 | https://www.airbnb.com.ar/rooms/1733400595659807329: 1 | https://www.airbnb.com.ar/rooms/1766917305956283277: 1 | https://www.airbnb.com.ar/rooms/1384761791431310579: 1 | https://www.airbnb.com.ar/rooms/1268249914007402838: 1 | https://www.airbnb.com.ar/rooms/1758147922514654880: 1 | https://www.airbnb.com.ar/rooms/1134298993310011233: 1 | https://www.airbnb.com.ar/rooms/1210322224011606587: 1
df_raw_airbnb_norm,scraped_at_utc,9596,2026-09-05T17:38:48Z: 1 | 2026-09-06T01:02:39Z: 1 | 2026-09-05T17:36:49Z: 1 | 2026-09-05T21:59:55Z: 1 | 2026-09-05T22:25:10Z: 1 | 2026-09-05T19:32:26Z: 1 | 2026-09-06T04:48:56Z: 1 | 2026-09-05T22:17:20Z: 1 | 2026-09-06T04:44:00Z: 1 | 2026-09-05T18:35:55Z: 1
df_raw_airbnb_norm,imagen_principal,9399,https://a0.muscache.com/im/pictures/b3dd86a1-e919-4035-8288-0bb9973e9128.jpg: 12 | https://a0.muscache.com/im/pictures/miso/Hosting-1297997517103840601/original/5536cad7-99db-4eae-bdd1-4030c8b213c2.jpeg: 11 | https://a0.muscache.com/im/pictures/miso/Hosting-1298608044557957403/original/109b2033-97a1-432b-b930-ed60e9771418.jpeg: 10 | https://a0.muscache.com/im/pictures/25116383/6236ee82_original.jpg: 9 | https://a0.muscache.com/im/pictures/hosting/Hosting-1042977653365914563/original/3602c8e9-e1e7-46af-a40f-6c0746b3f61f.jpeg: 9 | https://a0.muscache.com/im/pictures/miso/Hosting-785554661831802635/original/2bcd2612-0a21-4bb2-842b-b09d497fa463.jpeg: 8 | https://a0.muscache.com/im/pictures/miso/Hosting-1080511894708626856/original/9dcc64ff-0930-483c-b0d3-d0f50489f6f6.jpeg: 6 | https://a0.muscache.com/im/pictures/hosting/Hosting-1624626271836345640/original/71983b31-7ef7-4687-9fd4-b177b39e618f.jpeg: 5 | https://a0.muscache.com/im/pictures/miso/Hosting-655096957988417138/original/9cacbec0-20
df_raw_airbnb_norm,titulo,9201,Departamento en Buenos Aires: 25 | Departamento en Palermo: 18 | Departamento en Recoleta: 16 | Apartamento de un dormitorio - PALERMO HOLLYWOOD: 9 | Apartamento Moderno a estrenar en Buenos Aires: 8 | Departamento en Belgrano: 7 | ¡Boutique Studio en PALERMO HOLLYWOOD!: 7 | Hestia en el Hotel Boutique San Telmo: 7 | Moderno monoambiente en Palermo Hollywood: 7 | Departamento en Palermo Soho: 6
df_raw_airbnb_norm,descripcion,8801,"Disfrutá de la sencillez de este alojamiento tranquilo y céntrico.: 49 | <NA>: 33 | Disfrutá de una experiencia con estilo en este alojamiento céntrico.: 32 | Relajate con toda la familia en este tranquilo alojamiento.: 31 | Con 30 años de trayectoria, este exclusivo hotel céntrico ofrece más de 70 habitaciones diseñadas para tu confort. Ubicado a solo 15 minutos de Puerto Madero y el Obelisco, y cerca de prestigiosos hospitales como el Italiano y el Alemán. Disfruta de servicios premium como Seguridad las 24 horas, estacionamiento gratuito y un delicioso desayuno incluido. Atención personalizada las 24 horas y ropa blanca de alta calidad para garantizar una experiencia única en el corazón de la ciudad.: 31 | Relajate en este alojamiento único y tranquilo.: 25 | Relajate en este espacio tan tranquilo y elegante.: 25 | Disfruta de la sencillez de este alojamiento tranquilo y céntrico.: 21 | Este lugar especial está cerca de todo: va a ser muy fácil planear tu visita.: 20 | Este lugar ún"
df_raw_airbnb_norm,precio_texto,3468,$ 1.435 USD: 29 | $ 1.328 USD: 23 | $ 1.228 USD: 21 | $ 1.660 USD: 18 | $ 1.726 USD: 17 | $ 1.433 USD: 17 | $ 1.992 USD: 17 | $ 1.859 USD: 16 | $ 1.361 USD: 16 | $ 1.333 USD: 15
df_raw_airbnb_norm,seller_nombre,1836,Federico: 230 | Diego: 121 | Alejandro: 101 | Mariana: 95 | MOT Rentals: 94 | Pablo: 89 | Matias: 82 | Fernando: 79 | For Rent Argentina: 75 | Maria: 71
df_raw_airbnb_norm,barrio,46,Palermo: 3220 | Recoleta: 1321 | San Nicolas: 570 | Belgrano: 492 | Retiro: 470 | Monserrat: 408 | Almagro: 373 | Balvanera: 355 | Villa Crespo: 292 | San Telmo: 256
df_raw_airbnb_norm,barrio_norm,46,palermo: 3220 | recoleta: 1321 | san_nicolas: 570 | belgrano: 492 | retiro: 470 | monserrat: 408 | almagro: 373 | balvanera: 355 | villa_crespo: 292 | san_telmo: 256
df_raw_airbnb_norm,tipo_propiedad,11,Vivienda alquilada entero: 7887 | Departamento en complejo residencial entero: 907 | Departamento con servicios incluidos entero: 356 | Loft entero: 193 | Alojamiento entero: 169 | Alojamiento para vacaciones entero: 48 | Vivienda unifamiliar entero: 15 | Minicasa: 6 | Casona entero: 6 | Casa particular: 6
df_raw_airbnb_norm,acepta_corta_estadia,2,True: 8160 | False: 1436
df_raw_airbnb_norm,solo_larga_estadia,2,False: 8160 | True: 1436
df_raw_airbnb_norm,precio_sospechoso,2,False: 9516 | True: 80
df_raw_airbnb_norm,seller_superhost,2,False: 5996 | True: 3600
df_raw_airbnb_norm,ascensor,2,True: 5915 | False: 3681
df_raw_airbnb_norm,balcon_o_patio,2,True: 4974 | False: 4622
df_raw_airbnb_norm,terraza,2,False: 9120 | True: 476
df_raw_airbnb_norm,jardin,2,False: 9473 | True: 123
df_raw_airbnb_norm,parrilla,2,False: 7739 | True: 1857
df_raw_airbnb_norm,pileta,2,False: 6612 | True: 2984
df_raw_airbnb_norm,gimnasio,2,False: 8123 | True: 1473
df_raw_airbnb_norm,sauna,2,False: 9085 | True: 511
df_raw_airbnb_norm,laundry,2,True: 5291 | False: 4305
df_raw_airbnb_norm,cochera,2,False: 9192 | True: 404
df_raw_airbnb_norm,camaras_seguridad,2,False: 7549 | True: 2047
df_raw_airbnb_norm,portero,2,False: 9065 | True: 531
df_raw_airbnb_norm,aire_acondicionado,2,True: 7347 | False: 2249
df_raw_airbnb_norm,calefaccion,2,True: 7437 | False: 2159
df_raw_airbnb_norm,losa_radiante,2,False: 9087 | True: 509
df_raw_airbnb_norm,internet,2,True: 9489 | False: 107
df_raw_airbnb_norm,vista,2,False: 8301 | True: 1295
df_raw_airbnb_norm,zona_trabajo,2,True: 5627 | False: 3969
df_raw_airbnb_norm,permite_mascotas,2,False: 7564 | True: 2032
df_raw_airbnb_norm,fuente,1,Airbnb: 9596
df_raw_airbnb_norm,tipo_operacion,1,alquiler temporal: 9596
df_raw_airbnb_norm,unidad_precio,1,por_noche_2_huespedes_5_noches: 9596
df_raw_airbnb_norm,room_type,1,Entire home/apt: 9596
df_raw_airbnb_norm,categoria_alojamiento,1,vivienda_entera: 9596
df_raw_airbnb_norm,es_vivienda,1,True: 9596
df_raw_airbnb_norm,precio_regimen,1,mensual: 9596
df_raw_airbnb_norm,moneda,1,USD: 9596
df_raw_airbnb_norm,amoblado,1,True: 9596
df_raw_airbnb_norm,localidad,1,Ciudad Autónoma de Buenos Aires: 9596
df_raw_airbnb_norm,provincia,1,CABA: 9596
df_raw_airbnb_norm,pais,1,Argentina: 9596
df_raw_airbnb_norm,_archivo_origen,1,data\raw\airbnb\airbnb_caba_normalizado_mensual.csv: 9596
df_raw_argenprop,property_id,162,e197e9f1c643db6d77d3: 1 | c6d712804e8920b7c44a: 1 | 30c011d5c7b29cc7d1b4: 1 | 005063ed8b36c3914daa: 1 | be6b436761c9e7ea7525: 1 | 0ae96622ea5e34dbf889: 1 | 4081adc26b2894d7a1bf: 1 | 517e2fae5c2dbcbf988a: 1 | 525444132d09afda30ab: 1 | edfa9e851f65c8a047a2: 1
df_raw_argenprop,url,162,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-chico-2-ambientes--19974218: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--10043598: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19871596: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19829078: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19548301: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19622671: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--20075391: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214: 1
df_raw_argenprop,scraped_at_utc,162,2026-08-15T23:56:14.395650+00:00: 1 | 2026-08-15T23:56:14.405039+00:00: 1 | 2026-08-15T23:56:14.413241+00:00: 1 | 2026-08-15T23:56:14.420875+00:00: 1 | 2026-08-15T23:56:14.429637+00:00: 1 | 2026-08-15T23:56:14.437620+00:00: 1 | 2026-08-15T23:56:14.446256+00:00: 1 | 2026-08-15T23:56:14.455503+00:00: 1 | 2026-08-15T23:56:14.464400+00:00: 1 | 2026-08-15T23:56:14.472675+00:00: 1
df_raw_argenprop,imagen_principal,162,https://www.argenprop.com/static-content/32499781/e0063af1-49cc-48e2-b1f3-27eb92fa9aaa_u_small.jpg: 1 | https://www.argenprop.com/static-content/81247991/3393d3b7-6920-45d3-82a0-e6c1d83bc828_u_small.jpg: 1 | https://www.argenprop.com/static-content/89534001/abc6b317-36eb-48cc-b317-ad0e7f8f330c_u_small.jpg: 1 | https://www.argenprop.com/static-content/69517891/723a95de-b089-495c-94df-b2c233adc643_u_small.jpg: 1 | https://www.argenprop.com/static-content/87092891/388fe324-b55c-4dac-8723-19b784652e49_u_small.jpg: 1 | https://www.argenprop.com/static-content/10384591/93932b9b-67fa-4e76-ba37-b24f3e7923ae_u_small.jpg: 1 | https://www.argenprop.com/static-content/17622691/ef206135-fced-4578-b138-0a79a30800f4_u_small.jpg: 1 | https://www.argenprop.com/static-content/19357002/82408874-0400-46a2-bbe6-145a5e90ac4d_u_small.jpg: 1 | https://www.argenprop.com/static-content/52644391/41b2eade-ae28-42b8-bf7c-8d29abd0873a_u_small.jpg: 1 | https://www.argenprop.com/static-content/4120709/f2504496-303d-4
df_raw_argenprop,atributos_extra_json,162,"{""texto_tarjeta"": ""+ 38 Ver más fotos 1 /46 Visto 72.002 USD 2.400.000 &plus; $2.200.000 expensas Jerónimo Salguero 2700 Departamento en Venta en Palermo Chico, Palermo 300 m² cubie. 3 dorm. 17 años TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO! “Torre bellini” de revista! Impecable piso muy alto! Balcón con espectacular vista panorámica a la ciudad y al río! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! Todo a nuevo! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 master suite con 2 vestidores! 1 dormitorio en suite! 1 dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full amenities: piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax,"
