,property_id,precio,comuna,latitud,longitud,ambientes,dormitorios,banios,toilettes,camas,capacidad,seller_id,rating,reviews,cantidad_imagenes,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,precio_noche_estimado,precio_mensual_estimado,precio_m2_ref,titulo_is_null,descripcion_is_null,barrio_is_null,barrio_norm_is_null,comuna_is_null,ambientes_is_null,dormitorios_is_null,banios_is_null,toilettes_is_null,camas_is_null,rating_is_null,reviews_is_null,superficie_ref_m2_is_null,ambientes_ref_is_null,banios_ref_is_null,dormitorios_ref_is_null,precio_m2_ref_is_null
property_id,1.0,0.018893912465836212,-0.04491799649944355,-0.047023285220396976,0.00967271502844775,-0.023361360089910937,-0.023361360089910802,-0.024810817007722735,-0.09207975516861923,-0.04717268915994796,0.0006425312725349915,0.15884411634433324,-0.034591890666442804,-0.3605648185526795,-0.04888928552934155,,-0.023361360089910937,-0.024810817007722735,-0.023361360089910802,0.018893912465836212,0.01889391246583618,,0.014736013202276839,-0.07688483049113465,-0.0020191637331687553,-0.0020191637331687553,-0.0020191637331687553,0.0018940519508421978,0.0018940519508421978,-0.003984985439765601,-0.003984985439765601,0.0011975043517728093,0.23475913846685065,0.23475913846685065,,0.0018940519508421978,-0.003984985439765601,0.0018940519508421978,
precio,0.018893912465836212,1.0,0.013804246332109438,-0.023075025416720706,-0.00446156665712591,0.02186325947477106,0.021863259474771066,0.028223902833904874,-0.000361236349489593,0.022072497100128704,0.030924065606656215,-0.007761532525610544,-0.005378377172149638,-0.019440751399947543,0.006166020266558901,,0.02186325947477106,0.028223902833904874,0.021863259474771066,1.0,0.9999999999999952,,-0.0006534608789075693,-0.0024881390421381874,-0.0033547143983481535,-0.0033547143983481535,-0.0033547143983481535,-0.0009511101300189486,-0.0009511101300189486,-0.0013467497330760072,-0.0013467497330760072,-0.0067373339827417784,0.06603730454574665,0.06603730454574665,,-0.0009511101300189486,-0.0013467497330760072,-0.0009511101300189486,
comuna,-0.04491799649944355,0.013804246332109438,1.0,0.6282907815003547,-0.7636248169825511,-0.05664918915961553,-0.056649189159616545,-0.020916117786761848,0.042383300256285346,-0.04915986705325574,-0.031749023707683684,-0.03172411012869139,0.0620413864151197,0.04674605605203404,0.059403802063715656,,-0.05664918915961553,-0.020916117786761848,-0.056649189159616545,0.013804246332109438,0.013804246332109436,,-0.0019999515060510624,0.004935234252413376,,,,-0.014311623488266964,-0.014311623488266964,0.006488752121435677,0.006488752121435677,0.01867394230702693,-0.05520951287877476,-0.05520951287877476,,-0.014311623488266964,0.006488752121435677,-0.014311623488266964,
latitud,-0.047023285220396976,-0.023075025416720706,0.6282907815003547,1.0,-0.5790539924082722,-0.02660848483425063,-0.026608484834252304,-0.011112071311688503,0.038597219184249486,-0.04208033840165673,-0.04079148900058748,-0.027504304727458465,0.0381100696288005,0.01707982639441638,0.028656331935802297,,-0.02660848483425063,-0.011112071311688503,-0.026608484834252304,-0.023075025416720542,-0.023075025416720546,,-0.006851508170630635,0.020975646980077936,0.03996972693533445,0.03996972693533445,0.03996972693533445,-0.009134136271047534,-0.009134136271047534,0.003959014311127514,0.003959014311127514,0.005496928408007309,-0.07097870851803424,-0.07097870851803424,,-0.009134136271047534,0.003959014311127514,-0.009134136271047534,
longitud,0.00967271502844775,-0.00446156665712591,-0.7636248169825511,-0.5790539924082722,1.0,0.037850548946431195,0.03785054894643328,0.032748050720221286,-0.008497111258073915,0.030495601667370063,0.024419229676278756,0.02547571116907156,-0.054872599359946796,0.03222105309639082,-0.00036858989243809906,,0.037850548946431195,0.032748050720221286,0.03785054894643328,-0.004461566657126497,-0.00446156665712649,,0.007812270477893085,-0.0048116491341984,-0.10863980884085103,-0.10863980884085103,-0.10863980884085103,0.007454495369212398,0.007454495369212398,0.003587340981243718,0.003587340981243718,-0.006448016391527362,0.03461967467097843,0.03461967467097843,,0.007454495369212398,0.003587340981243718,0.007454495369212398,
ambientes,-0.023361360089910937,0.02186325947477106,-0.05664918915961553,-0.02660848483425063,0.037850548946431195,1.0,0.9999999999999999,0.6885855903875606,0.20463524876282937,0.6522147135295217,0.6724927733621701,0.007968879767700946,-0.015434557401057616,-0.07632326417278117,0.1232985008318903,,1.0,0.6885855903875606,0.9999999999999999,0.02186325947477106,0.02186325947477104,,-0.0008477117245386537,-0.0034489991544640834,0.019392481726101723,0.019392481726101723,0.019392481726101723,,,0.003423641158190626,0.003423641158190626,-0.027684596912931514,0.07196237947037087,0.07196237947037087,,,0.003423641158190626,,
dormitorios,-0.023361360089910802,0.021863259474771066,-0.056649189159616545,-0.026608484834252304,0.03785054894643328,0.9999999999999999,1.0,0.6885855903875608,0.20463524876282915,0.6522147135295224,0.6724927733621694,0.007968879767701142,-0.015434557401057734,-0.07632326417278053,0.1232985008318892,,0.9999999999999999,0.6885855903875608,1.0,0.02186325947477106,0.021863259474771066,,-0.0008477117245386482,-0.0034489991544641254,0.019392481726102275,0.019392481726102275,0.019392481726102275,,,0.0034236411581906826,0.0034236411581906826,-0.027684596912931642,0.07196237947037161,0.07196237947037161,,,0.0034236411581906826,,
banios,-0.024810817007722735,0.028223902833904874,-0.020916117786761848,-0.011112071311688503,0.032748050720221286,0.6885855903875606,0.6885855903875608,1.0,0.05087652954443291,0.6064218931262142,0.6070188267608139,-0.017689348599447135,-0.008124635154765738,-0.03785018848760513,0.14998126973015158,,0.6885855903875606,1.0,0.6885855903875608,0.028223902833904874,0.02822390283390473,,-0.003067702346666895,0.0029928431056220296,-0.0028637537629217715,-0.0028637537629217715,-0.0028637537629217715,-0.003067702346666892,-0.003067702346666892,,,0.0011763409185902636,0.05825568753856913,0.05825568753856913,,-0.003067702346666892,,-0.003067702346666892,
toilettes,-0.09207975516861923,-0.000361236349489593,0.042383300256285346,0.038597219184249486,-0.008497111258073915,0.20463524876282937,0.20463524876282915,0.05087652954443291,1.0,0.13288788472199567,0.17839492755434835,-0.02865650054662315,0.02098111851589638,-0.007159843741886469,0.14682737613102623,,0.20463524876282935,0.0508765295444329,0.20463524876282915,-0.00036123634948959267,-0.00036123634948959516,,-0.004996308360781263,0.0027254229715833705,-0.0008695185799834151,-0.0008695185799834151,-0.0008695185799834151,-0.004996308360781264,-0.004996308360781264,,,-0.015056286786648944,-0.020663598770294386,-0.020663598770294386,,-0.004996308360781264,,-0.004996308360781264,
camas,-0.04717268915994796,0.022072497100128704,-0.04915986705325574,-0.04208033840165673,0.030495601667370063,0.6522147135295217,0.6522147135295224,0.6064218931262142,0.13288788472199567,1.0,0.7871698720721395,-0.00938343482294581,-0.03618327850226871,-0.025522123444824015,0.12948812851551458,,0.6522147135295218,0.6064218931262142,0.6522147135295224,0.022072497100128704,0.022072497100128652,,-0.0034354606991007413,-0.006365736920037221,-0.0042710701114674465,-0.0042710701114674465,-0.0042710701114674465,-0.003435460699100773,-0.003435460699100773,0.008266242394323503,0.008266242394323503,,0.007625665623001953,0.007625665623001953,,-0.003435460699100773,0.008266242394323503,-0.003435460699100773,
