,pagina_origen,http_status,parse_ok,descripcion,estado_publicacion,inmobiliaria,seller_id,precio,expensas,precio_m2_calculado,altura,unidad,barrio,localidad,partido,provincia,pais,codigo_postal,latitud,longitud,ambientes,dormitorios,banios,toilettes,cocheras,superficie_total_m2,superficie_cubierta_m2,superficie_descubierta_m2,superficie_semicubierta_m2,superficie_terreno_m2,frente_m,fondo_m,antiguedad_anios,estado_inmueble,disposicion,orientacion,luminosidad,cantidad_plantas,cantidad_pisos_edificio,departamentos_por_piso,apto_credito,apto_profesional,permite_mascotas,accesibilidad,amoblado,balcon,terraza,patio,jardin,parrilla,pileta,sum,gimnasio,sauna,laundry,baulera,ascensor,seguridad_24h,vigilancia,aire_acondicionado
pagina_origen,1.0,,,,,,,-0.14297902962553763,-0.3414667408413368,-0.023047200789561163,-0.015385924814627791,,,,,,,,,,-0.08369224232324429,-0.16393919083257893,-0.011972953187824799,,-1.0,-0.22481027932890912,0.1476790779636525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http_status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parse_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estado_publicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inmobiliaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seller_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precio,-0.14297902962553763,,,,,,,1.0,-0.028863985859905014,0.7259654264802954,-0.037910243523351865,,,,,,,,,,0.17229322595014385,0.08656575871986527,-0.011785645945903884,,0.9901754018455505,0.2226450230367882,0.6288566172102835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expensas,-0.3414667408413368,,,,,,,-0.028863985859905014,1.0,0.3820589950899632,-0.5898487522040088,,,,,,,,,,-0.23672604073167952,-0.6629231898640428,-0.3968246603892661,,,-0.5791755351756122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precio_m2_calculado,-0.023047200789561163,,,,,,,0.7259654264802954,0.3820589950899632,1.0,-0.04314018146508145,,,,,,,,,,-0.21366867419808971,-0.34330580393778115,0.018958811294335583,,0.9880415744769934,-0.30759290390104954,-0.34776595230462776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
