,pagina_origen,precio,desde,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,destacado,emprendimiento,posesion,unidades_disponibles,parse_warnings,posicion_pagina,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,cantidad_atributos,completitud_pct,precio_m2_ref,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,inmobiliaria_is_null,barrio_is_null,ambientes_min_is_null,ambientes_max_is_null,banios_min_is_null,banios_max_is_null,dormitorios_min_is_null,dormitorios_max_is_null,superficie_min_m2_is_null,superficie_max_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,atributos_texto_is_null,parse_warnings_is_null,altura_is_null,comuna_is_null,precio_anterior_is_null,descuento_pct_is_null
pagina_origen,1.0,-0.015481571569244595,0.006975849201320857,0.03681618215112013,0.03681618215112013,0.0285807187014995,0.0285807187014995,0.21463099592865229,0.21463099592865229,0.031876825268195776,0.031876825268195776,-0.12771258345813957,-0.011412654233371297,,,,0.02520747944368518,0.011263320144838553,0.07561169785467206,0.28333749237665995,0.265730691564012,-0.023461027709523713,-0.023461027709523713,,,,-0.02766641813093511,0.002082825540095748,-0.03014052412897192,-0.006700882314985288,0.020350889424626668,5.5644201828982846e-05,0.04043578017917948,0.026270101262284223,0.00962754033491822,-0.022375434044540954,-0.023461027709523713,0.031876825268195776,0.03681618215112013,0.0285807187014995,0.21463099592865229,0.029330743493484884,0.037485326356101516,-0.0052318198556864995,-0.0052318198556864995,-0.008099898635464647,-0.008099898635464647,-0.005884479200727918,-0.005884479200727918,0.00196166992297447,0.00196166992297447,0.00196166992297447,,,-0.01226465251524295,,-0.03377986482261703,0.06943221878860131,0.007455683835751731,0.007455683835751731
precio,-0.015481571569244595,1.0,0.008652195720221533,0.03900068747056708,0.03900068747056708,-0.02395018295668889,-0.02395018295668889,0.34420122860600944,0.34420122860600944,-0.026375742479642823,-0.026375742479642823,-0.004273653014348792,0.009201402829836012,,,,-0.012976410583918494,0.029460926468159513,0.07801967184963605,0.0325497647657454,-0.42609943751353163,0.7596302451883419,0.7596302451883419,,,,-0.0465486891632998,0.01264395279438555,0.037509149137274864,-0.001964877013531596,0.005865239270709175,0.024924269372738537,-0.005512265470608238,-0.01981570071941396,0.019466105288637882,-0.001474713632445215,0.7596302451883419,-0.026375742479642823,0.03900068747056708,-0.02395018295668889,0.34420122860600944,0.01739979981591132,-0.0020027560527634105,-0.01442736709661974,-0.01442736709661974,-0.016325786252277638,-0.016325786252277638,0.00340946026679986,0.00340946026679986,-0.00044507273621243376,-0.00044507273621243376,-0.00044507273621243376,,,0.0008632818532171135,,-0.01928623557296978,0.006624052805296716,-0.0036202231517206284,-0.0036202231517206284
desde,0.006975849201320857,0.008652195720221533,1.0,0.004593873402864561,0.004593873402864561,-0.0009492101977936242,-0.0009492101977936242,,,0.00042123018721415594,0.00042123018721415594,0.007609760843722286,-0.0005512796142423676,,,,0.002244256245302458,0.006797884375625264,-0.008478972171550058,,,0.0009327112160430756,0.0009327112160430756,,,,-0.010186512535631234,-0.0008892217177037647,0.00387557373283027,-0.005017923870145281,-0.00422893929693928,0.020018769124563112,0.020621245396723886,0.015404932762648899,-0.008722067052269763,-0.011632140192322291,0.0009327112160430756,0.00042123018721415594,0.004593873402864561,-0.0009492101977936242,,0.00914029936894225,-0.0012582629164039003,0.014892339513902555,0.014892339513902555,-0.0036571619038464546,-0.0036571619038464546,0.0016193529174995875,0.0016193529174995875,-0.001746727828636437,-0.001746727828636437,-0.001746727828636437,,,-0.0004269821416186954,,-0.010793290726201304,-0.003767782577330401,0.0011305755575967465,0.0011305755575967465
ambientes_min,0.03681618215112013,0.03900068747056708,0.004593873402864561,1.0,1.0,0.26213148203303893,0.26213148203303893,,,0.2941153464972368,0.2941153464972368,0.03355525793768912,0.008283406880705155,,,,0.005910114103520877,0.00712381386822589,-0.02745010800358015,0.07441689008004813,-0.33663805824216175,-0.06910788374023813,-0.06910788374023813,,,,-0.5703436461666657,0.018216283988812955,-0.0412814789000822,0.038049754197352875,-0.027431158733718698,0.0021942839739731847,0.19166102283794287,-0.04379085356760474,0.0028756462271518905,0.01182653970637864,-0.06910788374023813,0.2941153464972368,1.0,0.26213148203303893,,-0.01371396617035443,0.017126414136671098,,,-0.011840779296643515,-0.011840779296643515,,,0.01704524372997768,0.01704524372997768,0.01704524372997768,,,,,-0.017934747084583872,0.0030850568297583086,0.010906997962528864,0.010906997962528864
ambientes_max,0.03681618215112013,0.03900068747056708,0.004593873402864561,1.0,1.0,0.26213148203303893,0.26213148203303893,,,0.2941153464972368,0.2941153464972368,0.03355525793768912,0.008283406880705155,,,,0.005910114103520877,0.00712381386822589,-0.02745010800358015,0.07441689008004813,-0.33663805824216175,-0.06910788374023813,-0.06910788374023813,,,,-0.5703436461666657,0.018216283988812955,-0.0412814789000822,0.038049754197352875,-0.027431158733718698,0.0021942839739731847,0.19166102283794287,-0.04379085356760474,0.0028756462271518905,0.01182653970637864,-0.06910788374023813,0.2941153464972368,1.0,0.26213148203303893,,-0.01371396617035443,0.017126414136671098,,,-0.011840779296643515,-0.011840779296643515,,,0.01704524372997768,0.01704524372997768,0.01704524372997768,,,,,-0.017934747084583872,0.0030850568297583086,0.010906997962528864,0.010906997962528864
banios_min,0.0285807187014995,-0.02395018295668889,-0.0009492101977936242,0.26213148203303893,0.26213148203303893,1.0,1.0,0.2626808091984103,0.2626808091984103,0.20649545345164672,0.20649545345164672,0.07394488045143556,0.001809243888172543,,,,-0.004845938201902399,-0.002606961219570804,-0.03888332995169697,-0.09558649645483633,-0.15973011272305396,-0.0504010061893511,-0.0504010061893511,,,,-0.12728668777559995,0.009855273398067754,-0.04978919690718757,0.037239250966411466,0.011239837981612067,0.024896637697313546,0.13642193520205806,0.019368004654690688,0.03010183027257977,0.02984275907072743,-0.0504010061893511,0.20649545345164672,0.26213148203303893,1.0,0.2626808091984103,-0.01801917389503868,-0.002461576253987153,-0.032213464720918766,-0.032213464720918766,,,0.0051268299055900355,0.0051268299055900355,0.0004187558522923484,0.0004187558522923484,0.0004187558522923484,,,,,0.01948773354983383,0.000497457718210688,0.008331680003548102,0.008331680003548102
banios_max,0.0285807187014995,-0.02395018295668889,-0.0009492101977936242,0.26213148203303893,0.26213148203303893,1.0,1.0,0.2626808091984103,0.2626808091984103,0.20649545345164672,0.20649545345164672,0.07394488045143556,0.001809243888172543,,,,-0.004845938201902399,-0.002606961219570804,-0.03888332995169697,-0.09558649645483633,-0.15973011272305396,-0.0504010061893511,-0.0504010061893511,,,,-0.12728668777559995,0.009855273398067754,-0.04978919690718757,0.037239250966411466,0.011239837981612067,0.024896637697313546,0.13642193520205806,0.019368004654690688,0.03010183027257977,0.02984275907072743,-0.0504010061893511,0.20649545345164672,0.26213148203303893,1.0,0.2626808091984103,-0.01801917389503868,-0.002461576253987153,-0.032213464720918766,-0.032213464720918766,,,0.0051268299055900355,0.0051268299055900355,0.0004187558522923484,0.0004187558522923484,0.0004187558522923484,,,,,0.01948773354983383,0.000497457718210688,0.008331680003548102,0.008331680003548102
dormitorios_min,0.21463099592865229,0.34420122860600944,,,,0.2626808091984103,0.2626808091984103,1.0,1.0,0.5525847176686683,0.5525847176686683,-0.09046835805696825,,,,,-0.02385066795272982,-0.04679095784113008,0.06957589978193825,,,-0.04604815295711846,-0.04604815295711846,,,,-0.1294924425707031,-0.09046835805696815,-0.18776690404970267,-0.09046835805696825,,,-0.12949244257070308,-0.21267407730585022,0.09046835805696839,0.40736749485209206,-0.04604815295711846,0.5525847176686683,,0.2626808091984104,1.0,,-0.3859512058969805,,,-0.09046835805696825,-0.09046835805696825,,,,,,,,,,-0.3859512058969805,-0.3859512058969805,,
dormitorios_max,0.21463099592865229,0.34420122860600944,,,,0.2626808091984103,0.2626808091984103,1.0,1.0,0.5525847176686683,0.5525847176686683,-0.09046835805696825,,,,,-0.02385066795272982,-0.04679095784113008,0.06957589978193825,,,-0.04604815295711846,-0.04604815295711846,,,,-0.1294924425707031,-0.09046835805696815,-0.18776690404970267,-0.09046835805696825,,,-0.12949244257070308,-0.21267407730585022,0.09046835805696839,0.40736749485209206,-0.04604815295711846,0.5525847176686683,,0.2626808091984104,1.0,,-0.3859512058969805,,,-0.09046835805696825,-0.09046835805696825,,,,,,,,,,-0.3859512058969805,-0.3859512058969805,,
superficie_min_m2,0.031876825268195776,-0.026375742479642823,0.00042123018721415594,0.2941153464972368,0.2941153464972368,0.20649545345164672,0.20649545345164672,0.5525847176686683,0.5525847176686683,1.0,1.0,0.05905737214117237,-0.0036448474495981765,,,,-0.006313459992740042,-0.017865816916759477,-0.045708481678290544,-0.013611134861695604,-0.22980983066388752,-0.07701670241953071,-0.07701670241953071,,,,-0.17979437133034865,0.004300744318305644,-0.04635785999232457,0.03563056754857784,0.0005994488196828697,0.00653799898971853,0.12614184383365287,-0.0039547579558202595,0.0188105586229436,0.030690819109386154,-0.07701670241953071,1.0,0.2941153464972368,0.20649545345164672,0.5525847176686683,-0.024555210291245456,-0.003375230481313649,-0.04286426141153876,-0.04286426141153876,0.02203416186104106,0.02203416186104106,0.0040102624077343555,0.0040102624077343555,,,,,,,,0.011173120018482108,-0.005885439517958689,0.01057822947228557,0.01057822947228557
superficie_max_m2,0.031876825268195776,-0.026375742479642823,0.00042123018721415594,0.2941153464972368,0.2941153464972368,0.20649545345164672,0.20649545345164672,0.5525847176686683,0.5525847176686683,1.0,1.0,0.05905737214117237,-0.0036448474495981765,,,,-0.006313459992740042,-0.017865816916759477,-0.045708481678290544,-0.013611134861695604,-0.22980983066388752,-0.07701670241953071,-0.07701670241953071,,,,-0.17979437133034865,0.004300744318305644,-0.04635785999232457,0.03563056754857784,0.0005994488196828697,0.00653799898971853,0.12614184383365287,-0.0039547579558202595,0.0188105586229436,0.030690819109386154,-0.07701670241953071,1.0,0.2941153464972368,0.20649545345164672,0.5525847176686683,-0.024555210291245456,-0.003375230481313649,-0.04286426141153876,-0.04286426141153876,0.02203416186104106,0.02203416186104106,0.0040102624077343555,0.0040102624077343555,,,,,,,,0.011173120018482108,-0.005885439517958689,0.01057822947228557,0.01057822947228557
