,pagina_origen,precio,desde,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,destacado,emprendimiento,unidades_disponibles,parse_warnings,posicion_pagina,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,cantidad_atributos,completitud_pct,precio_m2_ref,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,inmobiliaria_is_null,barrio_is_null,provincia_is_null,ambientes_min_is_null,ambientes_max_is_null,banios_min_is_null,banios_max_is_null,dormitorios_min_is_null,dormitorios_max_is_null,superficie_min_m2_is_null,superficie_max_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,atributos_texto_is_null,parse_warnings_is_null,altura_is_null,comuna_is_null,precio_anterior_is_null,descuento_pct_is_null
pagina_origen,1.0,-0.15994305300535336,-0.021088913994054628,-0.0289120546186315,-0.03036896611556059,-0.010623187637833226,-0.011441635414835758,-0.07748896886085903,-0.07748896886085903,-0.003586268405889674,-0.005102475226115459,-0.2852903277166607,-0.02474180792883716,-0.1580786015435128,,0.023581495005696933,0.02044564128897425,0.11599167052113946,-0.9999999835730233,-0.9798644280846676,-0.07498887084443702,-0.07505839391687366,-0.01977982852651231,-0.024199837553319562,-0.0206931689143182,0.012052981676790635,-0.01494972696423461,-0.07703565242104346,-0.0199317020387308,0.00014041176127427708,-0.01964781728206354,-0.04466356213194871,-0.012871716075426372,-0.04224879310397543,-0.049934355989334815,-0.07498887084443702,-0.003586268405889674,-0.0289120546186315,-0.010623187637833226,-0.07748896886085903,0.019751860916137398,0.045418667764219954,-0.028090834474087962,0.048240532947229645,0.048240532947229645,0.01835695353094792,0.01835695353094792,-0.016783794816720012,-0.016783794816720012,0.001991682465093863,0.001991682465093863,0.001991682465093863,0.024741807928840474,0.024741807928840474,-0.010005464048852426,,0.022028088033373132,0.09623423664707821,0.014592426512358892,0.014592426512358892
precio,-0.15994305300535336,1.0,-0.005069749829048555,0.05891419601589612,0.05809768647074786,-0.022803456080025084,-0.023174903302648125,-0.3142464995986745,-0.3142464995986745,-0.05625062774055974,-0.05688914709844766,0.07615258470466925,-0.008748093407032916,-0.39356400235827094,,-0.003236825346173149,0.017968489942028976,-0.028158900388603598,-0.5076000243686116,-0.669273591769185,0.47858354158024563,0.47856107331469044,-0.009666487506535428,-0.01136763541190346,-0.00969951334593735,-0.05969217553115598,-0.010235153049090399,0.1376631057542212,0.023256722664341724,0.004112380891017844,0.04811594369019652,0.02104232196530554,-0.023880799295361056,0.014204270477568821,-0.04583436056531881,0.47858354158024563,-0.05625062774055974,0.05891419601589612,-0.022803456080025084,-0.3142464995986745,0.07745395439285584,0.0018148724271257756,-0.00848416075717261,-0.03039503185674483,-0.03039503185674483,0.005193854952254307,0.005193854952254307,0.016918954903528495,0.016918954903528495,0.012426818413387348,0.012426818413387348,0.012426818413387348,0.008748093407031636,0.008748093407031636,-0.0008476078936477979,,-0.038266244725829936,0.000814067583724584,-0.02923371276745375,-0.02923371276745375
desde,-0.021088913994054628,-0.005069749829048555,1.0,0.00877127690748369,0.056119481969122906,0.008304333460566206,0.03424105992929599,0.28867513459481287,0.28867513459481287,0.0034846728225864276,0.052101314601751235,0.05157910982221987,0.7665305004928348,,,0.016525881031577306,-0.019920766106729933,-0.013646878991969943,,,-0.010186077993603387,-0.008089297801621587,0.6315105545157957,0.7271339424135239,0.641148669177903,-0.025466459801385437,-0.0014920778125675572,-0.01944094877544507,-0.009029773097859678,-0.007982936095876515,-0.006374302350865841,0.019632550610138386,-0.012769070005778744,0.011990612131114168,0.03976292313345176,-0.010186077993603387,0.0034846728225864276,0.00877127690748369,0.008304333460566206,0.28867513459481287,-0.04347581280730293,-0.0034082518660853273,0.2673152802862178,-0.010585186768836685,-0.010585186768836685,-0.00725216911622614,-0.00725216911622614,-0.0710788354911715,-0.0710788354911715,-0.0033417948552034987,-0.0033417948552034987,-0.0033417948552034987,-0.7665305004928349,-0.7665305004928349,-0.0011555716844165365,,-0.013714090967823984,0.063747280227549,0.0011555716844170315,0.0011555716844170315
ambientes_min,-0.0289120546186315,0.05891419601589612,0.00877127690748369,1.0,0.9966848293763066,0.2563709241626908,0.2555500919649296,,,0.7601026313730035,0.7570488754364193,0.03297219420208624,-0.012967909511343282,-0.26582405140849796,,-0.007542310112761881,-0.000229124757698982,-0.04891216735944805,-0.8661160178558537,-0.9484194740622038,-0.08423652835481085,-0.084378581346097,-0.020729826395280218,-0.0223066321870802,-0.020229762583199033,-0.7251609447700651,-0.007852717723243276,-0.01396699103280362,0.03777853516925591,-0.04615023384017265,0.012411473835011497,0.11357608808910906,-0.0706611208770732,0.0005699157190980189,-0.019647743960603883,-0.08423652835481085,0.7601026313730035,1.0,0.2563709241626908,,0.028461365362701375,-0.029151043641392167,-0.011526430428179087,,,-0.011657510487738188,-0.011657510487738188,0.0001800322152383629,0.0001800322152383629,0.02259149909556752,0.02259149909556752,0.02259149909556752,0.012967909511343145,0.012967909511343145,,,0.020456873778124753,0.001867106641261038,0.00031187739100963765,0.00031187739100963765
ambientes_max,-0.03036896611556059,0.05809768647074786,0.056119481969122906,0.9966848293763066,1.0,0.2555165784024629,0.2578168359721825,,,0.7578661238466244,0.7608428252554907,0.038079795941086896,0.04884152748510433,-0.1636440846880098,,-0.007883177851491448,-0.0013932762698861286,-0.0491539391059325,-0.8661160178558537,-0.9484194740622038,-0.08518555548439868,-0.08490902093444452,0.05648089675846062,0.04297499992247087,0.0536727604772386,-0.7258428057339518,-0.007897290102513707,-0.014891894460257791,0.03727875936350216,-0.04646676482376444,0.0120829603570281,0.11285369945431536,-0.07115626984645353,0.000905681234402373,-0.014819028857394514,-0.08518555548439868,0.7578661238466244,0.9966848293763065,0.2555165784024629,,0.02323665192775785,-0.02927306847486228,0.017331747801016685,,,-0.011944429312797218,-0.011944429312797218,0.00021262896641479484,0.00021262896641479484,0.0224085762682473,0.0224085762682473,0.0224085762682473,-0.04884152748510435,-0.04884152748510435,,,0.020233273393876965,0.00782031315979712,0.0003683461163371126,0.0003683461163371126
banios_min,-0.010623187637833226,-0.022803456080025084,0.008304333460566206,0.2563709241626908,0.2555165784024629,1.0,0.9990798545688381,0.4303314829119353,0.4303314829119353,0.31495527534577505,0.3139083461123925,0.04799641774211184,-0.0031685646178729915,-0.3180669285639251,,0.007720812888027409,-0.0041373682687956435,-0.04396696972561662,,,-0.03440334353188626,-0.034441275377611526,-0.005721269088405763,-0.0065876060896615666,-0.006005067204546589,-0.09720736416068454,0.0004245835313854928,-0.02511080896410369,0.021273245791594658,-0.0055386212554119395,0.00927468737182581,0.05799331857326667,-0.011022789668067733,0.030548364566221044,0.015337366110783778,-0.03440334353188626,0.31495527534577505,0.2563709241626908,1.0,0.4303314829119353,0.0019405311109971543,-0.008861011821250302,-0.004605617843426469,-0.030741370375904502,-0.030741370375904502,,,8.875901755206845e-05,8.875901755206845e-05,-0.0022527952739519116,-0.0022527952739519116,-0.0022527952739519116,0.0031685646178730136,0.0031685646178730136,,,0.020479618422754985,0.0004993322503481227,0.0037978138032891615,0.0037978138032891615
banios_max,-0.011441635414835758,-0.023174903302648125,0.03424105992929599,0.2555500919649296,0.2578168359721825,0.9990798545688381,1.0,0.5590169943749476,0.5590169943749476,0.31426409848311393,0.3163421357089846,0.050622548254370514,0.030677921162859716,-0.021865563970349396,,0.007372222495851224,-0.00469170075448608,-0.04426204457760514,,,-0.03496579651750051,-0.03478972394991254,0.03448038224934662,0.029101394647125904,0.029981161417513582,-0.09782673936178445,0.0003848438602961202,-0.025604329415650665,0.021023342319980792,-0.005744380753996529,0.009103623154896382,0.05766235010384883,-0.011349905279937884,0.030792648995048983,0.017956898089890976,-0.03496579651750051,0.31426409848311393,0.2555500919649296,0.999079854568838,0.5590169943749476,-0.0011165850553903132,-0.008945051908193266,0.011855962410232889,-0.030981029941858158,-0.030981029941858158,,,-0.003444446281305896,-0.003444446281305896,-0.0023322038758579414,-0.0023322038758579414,-0.0023322038758579414,-0.030677921162859684,-0.030677921162859684,,,0.020096378738611937,0.003921650364731216,0.0038257628000323797,0.0038257628000323797
dormitorios_min,-0.07748896886085903,-0.3142464995986745,0.28867513459481287,,,0.4303314829119353,0.5590169943749476,1.0,1.0,0.28074071727509586,0.4728289626969568,0.28867513459481275,0.28867513459481275,,,-0.44584015102296715,0.06461137603014609,-0.03575695093294706,,,-0.3313768102189644,-0.3057895317220395,0.2886751345948128,0.28867513459481275,,0.28867513459481275,,,,,,,,,0.2886751345948128,-0.3313768102189644,0.28074071727509586,,0.43033148291193524,1.0,-0.2886751345948128,,,-0.2886751345948128,-0.2886751345948128,,,,,,,,-0.2886751345948128,-0.2886751345948128,,,,,,
dormitorios_max,-0.07748896886085903,-0.3142464995986745,0.28867513459481287,,,0.4303314829119353,0.5590169943749476,1.0,1.0,0.28074071727509586,0.4728289626969568,0.28867513459481275,0.28867513459481275,,,-0.44584015102296715,0.06461137603014609,-0.03575695093294706,,,-0.3313768102189644,-0.3057895317220395,0.2886751345948128,0.28867513459481275,,0.28867513459481275,,,,,,,,,0.2886751345948128,-0.3313768102189644,0.28074071727509586,,0.43033148291193524,1.0,-0.2886751345948128,,,-0.2886751345948128,-0.2886751345948128,,,,,,,,-0.2886751345948128,-0.2886751345948128,,,,,,
superficie_min_m2,-0.003586268405889674,-0.05625062774055974,0.0034846728225864276,0.7601026313730035,0.7578661238466244,0.31495527534577505,0.31426409848311393,0.28074071727509586,0.28074071727509586,1.0,0.9970320678304856,0.04436673812410284,-0.009926761363364152,-0.4817865222030264,,0.0018449551526778052,0.007811378880697774,-0.06992450233185726,-0.891124372687917,-0.9637320695330014,-0.12252032246764066,-0.12257573592203798,-0.014129607665980959,-0.017007256493646192,-0.013255529429198094,-0.42946342110466784,-0.009876162345283707,-0.0556900042713947,0.03173999222067548,-0.03314097844748522,0.0011107625907610154,0.15735343576787894,-0.04228690566606886,0.0701938634153265,0.05548511129957956,-0.12252032246764066,1.0,0.7601026313730035,0.31495527534577505,0.28074071727509586,-0.015010194810008221,-0.02478729564692845,-0.007038107319770738,-0.08162591381148673,-0.08162591381148673,-0.005550336011895677,-0.005550336011895677,-0.018702468707838853,-0.018702468707838853,,,,0.009926761363364072,0.009926761363364072,,,0.0703832251236214,0.0020752277452458865,0.0014474199757966422,0.0014474199757966422
