,pagina_origen,precio,desde,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,destacado,emprendimiento,unidades_disponibles,parse_warnings,posicion_pagina,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,cantidad_atributos,completitud_pct,precio_m2_ref,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,inmobiliaria_is_null,barrio_is_null,provincia_is_null,ambientes_min_is_null,ambientes_max_is_null,banios_min_is_null,banios_max_is_null,dormitorios_min_is_null,dormitorios_max_is_null,superficie_min_m2_is_null,superficie_max_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,atributos_texto_is_null,parse_warnings_is_null,altura_is_null,comuna_is_null,precio_anterior_is_null,descuento_pct_is_null
pagina_origen,1.0,0.013061904879957217,-0.14787772951616435,0.02926375813401761,0.005312220489769413,0.05597418330870926,0.0333256515577672,0.039969865988489194,0.0369379897253662,0.00144763940027266,0.0009553799855745734,-0.18358852049687147,-0.13714003735905153,-0.08888264156626971,,-0.016906100557062223,-0.048286128273233225,0.09794919163269748,0.28830319193949594,-0.3863551087369406,0.0019188188151692002,0.00021380783795865862,-0.09697116240159155,-0.14268535839745983,-0.12502545484483782,0.0048055835996719766,-0.028716131832089827,-0.006832335722574594,0.008059268604597852,0.0097139035189635,0.0029861702368036104,0.02922093820391725,0.0463082754682374,-0.0005650476717711416,0.025214707860654356,0.0019188188151692002,0.00144763940027266,0.02926375813401761,0.05597418330870926,0.039969865988489194,-0.02221970759751252,-0.043103574893858285,-0.010542813644272104,0.002815586148484769,0.002815586148484769,-0.0037893649135905677,-0.0037893649135905677,0.03649435341823276,0.03649435341823276,0.00838333822799807,0.00838333822799807,0.00838333822799807,0.151611777646815,0.151611777646815,-0.00017013242836801085,,0.02884083726766345,-0.09248989572264012,0.02245846065081747,0.02245846065081747
precio,0.013061904879957217,1.0,-0.004281733849651247,0.10702634933729106,0.10574992320651325,0.13712431291421875,0.13433012934305313,0.415528287639104,0.41481555154573757,0.0031744208948266805,0.0031661586261400535,0.02885186261303189,-0.004370866821931975,-0.1760591325888085,,0.001205182363490032,0.02368173961959782,0.00042092782729962565,-0.11026361189576778,0.027232610905646906,0.8833570203204124,0.8825829780466359,-0.0016239259444785791,-0.005966492158966238,-0.006491623385445972,-0.04859656150939995,-0.016305248707231056,-0.012088546888919697,0.029048207667316677,0.014262251392400527,0.007916707257517435,0.04585772341926886,0.023076957116282455,0.005452918150903051,0.019878477907660425,0.8833570203204124,0.0031744208948266805,0.10702634933729106,0.13712431291421875,0.415528287639104,-0.01992547788857887,-0.004238233476549616,-0.0009861848412066126,-0.005297905112641907,-0.005297905112641907,-0.0015517025753553923,-0.0015517025753553923,-0.001356652193190162,-0.001356652193190162,0.0011991130872906718,0.0011991130872906718,0.0011991130872906718,0.00417152829168077,0.00417152829168077,-0.0005458570828565234,,0.002196056550377868,-0.008026783882087283,0.0026697119116188515,0.0026697119116188515
desde,-0.14787772951616435,-0.004281733849651247,1.0,-0.10365024224871623,0.052708149253810094,-0.03262761632136013,0.10888215025520026,-0.13408751374177594,-0.13126489190435936,-0.0021655272230784155,0.0010208564781489142,0.2503694431434841,0.9062700208485731,,,-0.008237899513271776,0.006024915300701797,0.05738353453012703,,,-0.006379265576377405,0.005134998439283658,0.627700475863484,0.9267506193385776,0.8168040869666879,-0.025859125173871286,-0.037110578731465026,-0.08074196121575934,-0.03755266827035904,-0.0032036728038216415,-0.014060841292533887,-0.05492081360494359,0.01011568704731073,0.018696998182375607,0.15562546383247472,-0.006379265576377405,-0.0021655272230784155,-0.10365024224871623,-0.03262761632136013,-0.13408751374177594,-0.16904513047247582,0.01194646965516965,0.02638100354298888,-0.0042483853013515725,-0.0042483853013515725,-0.020611923673536425,-0.020611923673536425,-0.22092065007364312,-0.22092065007364312,-0.0010829198362959347,-0.0010829198362959347,-0.0010829198362959347,-0.9881362660020141,-0.9881362660020141,-0.001669804780581997,,-0.05106395193240394,0.040379297921779744,0.005282547396695373,0.005282547396695373
ambientes_min,0.02926375813401761,0.10702634933729106,-0.10365024224871623,1.0,0.9779470132012944,0.6629742318671422,0.6353864531351006,1.0,1.0,0.015779096080423723,0.015462079485624471,0.03264701921289168,-0.10045135593704195,-0.18701681898770312,,-0.003947778836161958,-0.015666592684760745,-0.06130085726047716,-0.1413748303249532,0.14898118703947894,-0.003286415466969017,-0.004607467893684744,-0.06324981030092151,-0.10888709193725352,-0.11512324196453856,-0.5942527005904175,0.0086377398343527,3.428220928908903e-05,0.07067513799620084,0.02500316465920439,0.030048237629152427,0.19557033713018063,-0.04295257886329226,0.033276815970210295,-0.040224129331956744,-0.003286415466969017,0.015779096080423723,1.0,0.6629742318671422,1.0,0.056296778709096995,-0.011030966435122726,-0.005744664237785875,,,-0.036775536967462795,-0.036775536967462795,0.01314646557566069,0.01314646557566069,0.012894197678373218,0.012894197678373218,0.012894197678373218,0.10336799925506826,0.10336799925506826,,,-0.02627289059828413,-0.02377596173679488,0.0010785842077318565,0.0010785842077318565
ambientes_max,0.005312220489769413,0.10574992320651325,0.052708149253810094,0.9779470132012944,1.0,0.65509294002088,0.6640136590227664,1.0,1.0,0.015400786828974604,0.015763595854521136,0.07400959856612857,0.044732966693871404,0.08393431835084293,,-0.0041675314953621,-0.014452990033588214,-0.052269654814115246,-0.1413748303249532,0.14898118703947894,-0.004838062924961541,-0.004099443557428612,0.07242405240100049,0.0599427627863919,0.07633002703138589,-0.6097479010597296,0.0028183185463145338,-0.013188009231724702,0.06545807304819125,0.02586910375661197,0.027909537863017777,0.18684598199521818,-0.039319606347648174,0.03661987673031318,-0.012927649447007947,-0.004838062924961541,0.015400786828974604,0.9779470132012944,0.65509294002088,1.0,0.027887222720861988,-0.008203234935667398,0.0049900631856407964,,,-0.04003157550115796,-0.04003157550115796,0.014590486210700073,0.014590486210700073,0.012110399071193557,0.012110399071193557,0.012110399071193557,-0.05489039188817977,-0.05489039188817977,,,-0.033851143249435174,-0.018934016133354523,0.0019041367827702558,0.0019041367827702558
banios_min,0.05597418330870926,0.13712431291421875,-0.03262761632136013,0.6629742318671422,0.65509294002088,1.0,0.9740243730244414,0.6552997470923178,0.6557588100577069,0.011421644805334016,0.011316997728325211,0.08444046032987622,-0.02829280232464205,-0.05171444697227963,,0.003179927223441588,-0.013209244761847025,-0.010885098757004946,-0.0887749924932889,0.10429450386611788,0.00803130816449389,0.007448383299578764,-0.02065656552661274,-0.0393714871561296,-0.04554488128988405,-0.2543009296833118,-0.0460947508565877,-0.040716193326704946,0.08108075556351445,0.04821815072483903,0.04495144575515467,0.19928521415459394,0.03114263391742288,0.04193314550309216,0.015524180480420167,0.00803130816449389,0.011421644805334016,0.6629742318671422,1.0,0.6552997470923178,-0.012873441217521743,-0.008375649122668164,-0.001816980921414645,-0.011463218915670564,-0.011463218915670564,,,-0.04428221769291901,-0.04428221769291901,0.008775567728662378,0.008775567728662378,0.008775567728662378,0.03230925980134228,0.03230925980134228,,,0.03956302309301586,-0.023405032356728143,0.008640845582766525,0.008640845582766525
banios_max,0.0333256515577672,0.13433012934305313,0.10888215025520026,0.6353864531351006,0.6640136590227664,0.9740243730244414,1.0,0.6774053672813164,0.6783618768901966,0.010921297081031258,0.011647456475480837,0.12294378165738626,0.10303123826291642,0.1943470373454222,,0.0019432350218398467,-0.012149570050460289,-0.0018704298893279841,-0.0887749924932889,0.10429450386611788,0.0065234598613988495,0.007985747230942478,0.14344195456942,0.1125451219326648,0.1143468049083664,-0.25647406436402465,-0.05059871743819972,-0.052177572679630406,0.07555042150714014,0.04898293474288587,0.042448912892643756,0.1878965316958947,0.033974674891253547,0.04368061064924214,0.03829478944360458,0.0065234598613988495,0.010921297081031258,0.6353864531351006,0.9740243730244412,0.6774053672813164,-0.036389557183689615,-0.007672386710540102,0.006958286535884479,-0.01360158639993908,-0.01360158639993908,,,-0.08020727454866748,-0.08020727454866748,0.007901532627080852,0.007901532627080852,0.007901532627080852,-0.11089590744504578,-0.11089590744504578,,,0.03215271889498712,-0.019016151276428597,0.00924922192169601,0.00924922192169601
dormitorios_min,0.039969865988489194,0.415528287639104,-0.13408751374177594,1.0,1.0,0.6552997470923178,0.6774053672813164,1.0,0.9988196020341853,0.8034827469429459,0.7329778233656048,-0.10673189931571812,-0.13408751374177597,0.21922566783375408,,-0.1460712458284153,-0.05666781665515323,-0.14633310850108625,,,-0.02454565114172545,-0.11350100140083925,-0.0052844941761357326,-0.13361057953206487,,-0.14496907742770243,-0.021139454853486273,-0.02152468406402643,-0.00861028560644273,0.017387771369732883,0.012417212326906424,0.06767416240224983,-0.01877675145320225,-0.0203301859021572,-0.0587441236078056,-0.02454565114172545,0.8034827469429459,1.0,0.6552997470923179,1.0,0.056430059550019486,-0.09229918322259369,,0.11799709159360232,0.11799709159360232,0.02769997384366509,0.02769997384366509,,,-0.012144299502107657,-0.012144299502107657,-0.012144299502107657,0.13408751374177597,0.13408751374177597,,,-0.02149573741129807,-0.1309433891525158,,
dormitorios_max,0.0369379897253662,0.41481555154573757,-0.13126489190435936,1.0,1.0,0.6557588100577069,0.6783618768901966,0.9988196020341853,1.0,0.8031746587986421,0.7338819768472102,-0.1039513186495254,-0.13126489190435936,0.2076744079434241,,-0.14159593393079978,-0.05911871189361881,-0.14192637314809034,,,-0.026617870782351387,-0.11394698101070712,-0.0031910535528341328,-0.13076827136675434,,-0.14916765784782746,-0.021570913204268908,-0.022394734151608992,-0.009308117091257997,0.01705699987329202,0.01193975373816559,0.0667837334371648,-0.019788304860693825,-0.01974546863254716,-0.06155637399395567,-0.026617870782351387,0.8031746587986421,1.0,0.6557588100577069,0.9988196020341854,0.05936628891147999,-0.09351591047250583,,0.121976972791754,0.121976972791754,0.027173030993726838,0.027173030993726838,,,-0.012392165848279112,-0.012392165848279112,-0.012392165848279112,0.13126489190435936,0.13126489190435936,,,-0.023149770614192728,-0.13250089581728294,,
superficie_min_m2,0.00144763940027266,0.0031744208948266805,-0.0021655272230784155,0.015779096080423723,0.015400786828974604,0.011421644805334016,0.010921297081031258,0.8034827469429459,0.8031746587986421,1.0,0.9999871157329427,-0.0012488360231247156,-0.0021770669552839722,-0.2452572475557629,,0.004539786941313247,0.0010795268549837966,0.001308008141373898,-0.17116310872369694,-0.1350724309625303,-0.0004867268711697429,-0.0005190517260537654,-0.0013715784050287161,-0.002211692483237676,-0.0020403921806306773,-0.008936023302279153,-0.0017266078165738329,-0.0031736918235638523,0.00029398483472931373,0.00024739461495421945,-3.709998077015338e-05,0.002475087950289022,-0.001319376325960779,0.0013784373089511005,0.009412702882970095,-0.0004867268711697429,1.0,0.015779096080423723,0.011421644805334016,0.803482746942946,-0.009962738204238552,-0.0005770373983105621,-0.00011418171807832727,-0.0008392315057036414,-0.0008392315057036414,-0.0008736795350208317,-0.0008736795350208317,3.9006929539670807e-05,3.9006929539670807e-05,,,,0.002146628294659421,0.002146628294659421,,,-0.0024737491289387836,-0.0012650738661534506,0.0003160642618336059,0.0003160642618336059
