,pagina_origen,http_status,parse_ok,descripcion,tipo_propiedad,estado_publicacion,seller_id,precio,expensas,precio_m2_calculado,altura,unidad,barrio,localidad,partido,provincia,pais,codigo_postal,latitud,longitud,ambientes,dormitorios,banios,toilettes,cocheras,superficie_total_m2,superficie_cubierta_m2,superficie_descubierta_m2,superficie_semicubierta_m2,superficie_terreno_m2,frente_m,fondo_m,antiguedad_anios,estado_inmueble,disposicion,orientacion,luminosidad,cantidad_plantas,cantidad_pisos_edificio,departamentos_por_piso,apto_credito,apto_profesional,permite_mascotas,accesibilidad,amoblado,balcon,terraza,patio,jardin,parrilla,pileta,sum,gimnasio,sauna,laundry,baulera,ascensor,seguridad_24h,vigilancia,aire_acondicionado
pagina_origen,1.0,,,,,,,0.020369034719465256,0.016856681930976333,0.0381580067745359,,,,,,,,,,,-0.030713026390690037,0.03752265728524885,0.013409966595528646,,0.1898644753388804,-0.01119725076299457,-0.10880838186913636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http_status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parse_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
descripcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipo_propiedad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estado_publicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seller_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precio,0.020369034719465256,,,,,,,1.0,0.2337509682499492,0.6272035622864703,,,,,,,,,,,0.2543005208316246,0.22785971536041333,0.3258772591473774,,-0.07900324483778356,0.35798977721744407,0.38955920410944506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expensas,0.016856681930976333,,,,,,,0.2337509682499492,1.0,-0.24882606596128004,,,,,,,,,,,0.7719696640022476,0.7201303028426391,0.7667062638637866,,-0.23193854603558237,0.9866329317951609,0.8105577392491066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precio_m2_calculado,0.0381580067745359,,,,,,,0.6272035622864703,-0.24882606596128004,1.0,,,,,,,,,,,-0.20396076007824973,-0.11477737168805568,-0.1444403409876658,,-0.07270236390028423,-0.1766673489091124,-0.10946154269452722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provincia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
codigo_postal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longitud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambientes,-0.030713026390690037,,,,,,,0.2543005208316246,0.7719696640022476,-0.20396076007824973,,,,,,,,,,,1.0,0.7722531805986477,0.7081246015800882,,-0.2873387542546896,0.7329566941159554,0.7825186933723414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dormitorios,0.03752265728524885,,,,,,,0.22785971536041333,0.7201303028426391,-0.11477737168805568,,,,,,,,,,,0.7722531805986477,1.0,0.7216176099781378,,0.06189118811332874,0.6360868358984888,0.6634741776812974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banios,0.013409966595528646,,,,,,,0.3258772591473774,0.7667062638637866,-0.1444403409876658,,,,,,,,,,,0.7081246015800882,0.7216176099781378,1.0,,-0.23194156524519852,0.7625756777587966,0.6059475697241075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toilettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cocheras,0.1898644753388804,,,,,,,-0.07900324483778356,-0.23193854603558237,-0.07270236390028423,,,,,,,,,,,-0.2873387542546896,0.06189118811332874,-0.23194156524519852,,1.0,-0.21590696530808418,0.14233559366095555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superficie_total_m2,-0.01119725076299457,,,,,,,0.35798977721744407,0.9866329317951609,-0.1766673489091124,,,,,,,,,,,0.7329566941159554,0.6360868358984888,0.7625756777587966,,-0.21590696530808418,1.0,0.784099738464183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superficie_cubierta_m2,-0.10880838186913636,,,,,,,0.38955920410944506,0.8105577392491066,-0.10946154269452722,,,,,,,,,,,0.7825186933723414,0.6634741776812974,0.6059475697241075,,0.14233559366095555,0.784099738464183,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superficie_descubierta_m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superficie_semicubierta_m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superficie_terreno_m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frente_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fondo_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antiguedad_anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estado_inmueble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disposicion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orientacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luminosidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cantidad_plantas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cantidad_pisos_edificio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
departamentos_por_piso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apto_credito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apto_profesional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
permite_mascotas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accesibilidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amoblado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terraza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parrilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pileta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gimnasio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sauna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baulera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ascensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seguridad_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
