variable_1,variable_2,correlacion,abs_correlacion
cocheras,piso_is_null,1.0,1.0
cocheras,banios_ref_is_null,1.0,1.0
cocheras,ambientes_ref_is_null,1.0,1.0
cocheras,banios_is_null,1.0,1.0
cocheras,ambientes_is_null,1.0,1.0
banios_is_null,banios_ref_is_null,1.0,1.0
superficie_total_m2_is_null,precio_m2_ref_is_null,1.0,1.0
ambientes_is_null,ambientes_ref_is_null,1.0,1.0
dormitorios_is_null,dormitorios_ref_is_null,1.0,1.0
precio_m2_calculado_is_null,superficie_total_m2_is_null,1.0,1.0
expensas_is_null,expensas_texto_is_null,1.0,1.0
precio_m2_calculado_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_m2_calculado_is_null,precio_m2_ref_is_null,1.0,1.0
superficie_total_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_m2_ref_is_null,superficie_ref_m2_is_null,1.0,1.0
expensas_moneda_is_null,expensas_is_null,0.8444554912731873,0.8444554912731873
expensas_moneda_is_null,expensas_texto_is_null,0.8444554912731873,0.8444554912731873
expensas,expensas_moneda_is_null,-0.8263663211579356,0.8263663211579356
expensas,ambientes_is_null,-0.6804381667866358,0.6804381667866358
expensas,ambientes_ref_is_null,-0.6804381667866358,0.6804381667866358
expensas,piso_is_null,-0.58766202542635,0.58766202542635
