variable_1,variable_2,correlacion,abs_correlacion
emprendimiento,posesion_is_null,-1.0,1.0
emprendimiento,unidades_disponibles_is_null,-1.0,1.0
superficie_max_m2_is_null,tipo_superficie_is_null,1.0,1.0
superficie_min_m2_is_null,amplitud_superficie_m2_is_null,1.0,1.0
superficie_min_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_ref_is_null,1.0,1.0
superficie_min_m2_is_null,es_rango_superficie_is_null,1.0,1.0
ambientes_max_is_null,ambientes_ref_is_null,1.0,1.0
banios_min_is_null,banios_max_is_null,1.0,1.0
banios_min_is_null,banios_ref_is_null,1.0,1.0
banios_max_is_null,banios_ref_is_null,1.0,1.0
dormitorios_min_is_null,dormitorios_max_is_null,1.0,1.0
dormitorios_min_is_null,dormitorios_ref_is_null,1.0,1.0
dormitorios_max_is_null,dormitorios_ref_is_null,1.0,1.0
superficie_min_m2_is_null,superficie_max_m2_is_null,1.0,1.0
superficie_min_m2_is_null,tipo_superficie_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_min_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_max_is_null,1.0,1.0
barrio_is_null,barrio_norm_is_null,1.0,1.0
ambientes_max_is_null,es_rango_ambientes_is_null,1.0,1.0
ambientes_min_is_null,ambientes_ref_is_null,1.0,1.0
ambientes_min_is_null,es_rango_ambientes_is_null,1.0,1.0
ambientes_min_is_null,ambientes_max_is_null,1.0,1.0
precio_m2_max_is_null,superficie_ref_m2_is_null,1.0,1.0
amplitud_superficie_m2_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_min_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_min_is_null,precio_m2_ref_is_null,1.0,1.0
precio_m2_min_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_m2_max_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_m2_max_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_max_is_null,precio_m2_ref_is_null,1.0,1.0
es_rango_superficie_is_null,precio_m2_ref_is_null,1.0,1.0
es_rango_superficie_is_null,superficie_ref_m2_is_null,1.0,1.0
amplitud_superficie_m2_is_null,precio_m2_ref_is_null,1.0,1.0
tipo_superficie_is_null,superficie_ref_m2_is_null,1.0,1.0
posesion_is_null,unidades_disponibles_is_null,1.0,1.0
precio_anterior_is_null,descuento_pct_is_null,1.0,1.0
precio_m2_min_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_m2_min_is_null,precio_m2_max_is_null,1.0,1.0
es_rango_ambientes_is_null,ambientes_ref_is_null,1.0,1.0
precio_m2_ref_is_null,superficie_ref_m2_is_null,1.0,1.0
amplitud_superficie_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_ref_is_null,1.0,1.0
superficie_max_m2_is_null,es_rango_superficie_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_ref_is_null,1.0,1.0
tipo_superficie_is_null,es_rango_superficie_is_null,1.0,1.0
tipo_superficie_is_null,amplitud_superficie_m2_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_max_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_min_is_null,1.0,1.0
superficie_max_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_min_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_max_is_null,1.0,1.0
superficie_max_m2_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_anterior,comuna_is_null,-0.9999999835730233,0.9999999835730233
descuento_pct,comuna_is_null,-0.9798644280846673,0.9798644280846673
es_rango_superficie,unidades_disponibles_is_null,-0.9486062413718315,0.9486062413718315
es_rango_superficie,posesion_is_null,-0.9486062413718315,0.9486062413718315
emprendimiento,estado_entrega_is_null,-0.8578771767228432,0.8578771767228432
unidades_disponibles_is_null,estado_entrega_is_null,0.8578771767228432,0.8578771767228432
posesion_is_null,estado_entrega_is_null,0.8578771767228432,0.8578771767228432
es_rango_ambientes,posesion_is_null,-0.8364487576380213,0.8364487576380213
es_rango_ambientes,unidades_disponibles_is_null,-0.8364487576380213,0.8364487576380213
amplitud_superficie_m2,posesion_is_null,-0.8238576396495372,0.8238576396495372
amplitud_superficie_m2,unidades_disponibles_is_null,-0.8238576396495372,0.8238576396495372
es_rango_superficie,estado_entrega_is_null,-0.8037200155609066,0.8037200155609066
cantidad_atributos,ambientes_min_is_null,-0.8009219556166046,0.8009219556166046
cantidad_atributos,ambientes_ref_is_null,-0.8009219556166046,0.8009219556166046
cantidad_atributos,es_rango_ambientes_is_null,-0.8009219556166046,0.8009219556166046
cantidad_atributos,ambientes_max_is_null,-0.8009219556166046,0.8009219556166046
unidades_disponibles,dormitorios_min_is_null,-0.7882528229627714,0.7882528229627714
unidades_disponibles,dormitorios_ref_is_null,-0.7882528229627714,0.7882528229627714
unidades_disponibles,dormitorios_max_is_null,-0.7882528229627714,0.7882528229627714
desde,posesion_is_null,-0.7665305004928349,0.7665305004928349
desde,unidades_disponibles_is_null,-0.7665305004928349,0.7665305004928349
completitud_pct,inmobiliaria_is_null,-0.7580533904310958,0.7580533904310958
es_rango_ambientes,estado_entrega_is_null,-0.6833221617137111,0.6833221617137111
descuento_pct,altura_is_null,-0.6628462878788224,0.6628462878788224
desde,estado_entrega_is_null,-0.657422985669881,0.657422985669881
cantidad_atributos,banios_min_is_null,-0.6505387344547254,0.6505387344547254
