variable_1,variable_2,correlacion,abs_correlacion
dormitorios_min_is_null,dormitorios_ref_is_null,1.0,1.0
dormitorios_max_is_null,dormitorios_ref_is_null,1.0,1.0
superficie_min_m2_is_null,superficie_max_m2_is_null,1.0,1.0
superficie_min_m2_is_null,tipo_superficie_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_min_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_max_is_null,1.0,1.0
barrio_is_null,barrio_norm_is_null,1.0,1.0
ambientes_max_is_null,es_rango_ambientes_is_null,1.0,1.0
ambientes_min_is_null,ambientes_ref_is_null,1.0,1.0
ambientes_min_is_null,es_rango_ambientes_is_null,1.0,1.0
ambientes_min_is_null,ambientes_max_is_null,1.0,1.0
precio_m2_max_is_null,superficie_ref_m2_is_null,1.0,1.0
amplitud_superficie_m2_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_min_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_min_is_null,precio_m2_ref_is_null,1.0,1.0
precio_m2_min_is_null,superficie_ref_m2_is_null,1.0,1.0
precio_m2_max_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_m2_max_is_null,es_rango_superficie_is_null,1.0,1.0
precio_m2_max_is_null,precio_m2_ref_is_null,1.0,1.0
es_rango_superficie_is_null,precio_m2_ref_is_null,1.0,1.0
es_rango_superficie_is_null,superficie_ref_m2_is_null,1.0,1.0
amplitud_superficie_m2_is_null,precio_m2_ref_is_null,1.0,1.0
dormitorios_min_is_null,dormitorios_max_is_null,1.0,1.0
banios_max_is_null,banios_ref_is_null,1.0,1.0
banios_min_is_null,banios_ref_is_null,1.0,1.0
banios_min_is_null,banios_max_is_null,1.0,1.0
ambientes_max_is_null,ambientes_ref_is_null,1.0,1.0
superficie_min_m2_is_null,es_rango_superficie_is_null,1.0,1.0
superficie_min_m2_is_null,precio_m2_ref_is_null,1.0,1.0
superficie_min_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_min_m2_is_null,amplitud_superficie_m2_is_null,1.0,1.0
superficie_max_m2_is_null,tipo_superficie_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_ref_is_null,1.0,1.0
tipo_superficie_is_null,es_rango_superficie_is_null,1.0,1.0
tipo_superficie_is_null,amplitud_superficie_m2_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_max_is_null,1.0,1.0
tipo_superficie_is_null,precio_m2_min_is_null,1.0,1.0
superficie_max_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_ref_is_null,1.0,1.0
superficie_max_m2_is_null,es_rango_superficie_is_null,1.0,1.0
superficie_max_m2_is_null,amplitud_superficie_m2_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_max_is_null,1.0,1.0
superficie_max_m2_is_null,precio_m2_min_is_null,1.0,1.0
es_rango_ambientes_is_null,ambientes_ref_is_null,1.0,1.0
precio_m2_ref_is_null,superficie_ref_m2_is_null,1.0,1.0
amplitud_superficie_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
tipo_superficie_is_null,superficie_ref_m2_is_null,1.0,1.0
posesion_is_null,unidades_disponibles_is_null,1.0,1.0
precio_anterior_is_null,descuento_pct_is_null,1.0,1.0
precio_m2_min_is_null,amplitud_superficie_m2_is_null,1.0,1.0
precio_m2_min_is_null,precio_m2_max_is_null,1.0,1.0
desde,posesion_is_null,-0.9881362660020141,0.9881362660020141
desde,unidades_disponibles_is_null,-0.9881362660020141,0.9881362660020141
es_rango_superficie,unidades_disponibles_is_null,-0.9378860594986587,0.9378860594986587
es_rango_superficie,posesion_is_null,-0.9378860594986587,0.9378860594986587
emprendimiento,posesion_is_null,-0.9172723330498095,0.9172723330498095
emprendimiento,unidades_disponibles_is_null,-0.9172723330498095,0.9172723330498095
completitud_pct,inmobiliaria_is_null,-0.8911555868783156,0.8911555868783156
cantidad_atributos,banios_max_is_null,-0.8269286135802274,0.8269286135802274
cantidad_atributos,banios_ref_is_null,-0.8269286135802274,0.8269286135802274
cantidad_atributos,banios_min_is_null,-0.8269286135802274,0.8269286135802274
es_rango_ambientes,unidades_disponibles_is_null,-0.8267116244432154,0.8267116244432154
es_rango_ambientes,posesion_is_null,-0.8267116244432154,0.8267116244432154
amplitud_superficie_m2,unidades_disponibles_is_null,-0.6352426570517841,0.6352426570517841
amplitud_superficie_m2,posesion_is_null,-0.6352426570517841,0.6352426570517841
posesion_is_null,estado_entrega_is_null,0.6243902280498913,0.6243902280498913
unidades_disponibles_is_null,estado_entrega_is_null,0.6243902280498913,0.6243902280498913
desde,estado_entrega_is_null,-0.6224326939536688,0.6224326939536688
es_rango_superficie,estado_entrega_is_null,-0.5826197967486053,0.5826197967486053
emprendimiento,estado_entrega_is_null,-0.5796429186635133,0.5796429186635133
cantidad_atributos,ambientes_max_is_null,-0.5755921153323321,0.5755921153323321
cantidad_atributos,ambientes_ref_is_null,-0.5755921153323321,0.5755921153323321
cantidad_atributos,ambientes_min_is_null,-0.5755921153323321,0.5755921153323321
cantidad_atributos,es_rango_ambientes_is_null,-0.5755921153323321,0.5755921153323321
es_rango_ambientes,estado_entrega_is_null,-0.5116026777811431,0.5116026777811431
