variable_1,variable_2,correlacion,abs_correlacion
moneda_is_null,precio_is_null,1.0,1.0
moneda_is_null,moneda_norm_is_null,1.0,1.0
precio_is_null,moneda_norm_is_null,1.0,1.0
superficie_total_m2_is_null,superficie_ref_m2_is_null,1.0,1.0
expensas_is_null,expensas_texto_is_null,1.0,1.0
precio_m2_calculado_is_null,precio_m2_ref_is_null,1.0,1.0
ambientes_is_null,ambientes_ref_is_null,1.0,1.0
dormitorios_is_null,dormitorios_ref_is_null,1.0,1.0
banios_is_null,banios_ref_is_null,1.0,1.0
moneda_is_null,precio_m2_calculado_is_null,0.7824442834243882,0.7824442834243882
moneda_is_null,precio_m2_ref_is_null,0.7824442834243882,0.7824442834243882
moneda_norm_is_null,precio_m2_ref_is_null,0.7824442834243882,0.7824442834243882
precio_m2_calculado_is_null,moneda_norm_is_null,0.7824442834243882,0.7824442834243882
precio_is_null,precio_m2_calculado_is_null,0.7824442834243882,0.7824442834243882
precio_is_null,precio_m2_ref_is_null,0.7824442834243882,0.7824442834243882
precio_m2_calculado_is_null,superficie_total_m2_is_null,0.6176241300944706,0.6176241300944706
precio_m2_calculado_is_null,superficie_ref_m2_is_null,0.6176241300944706,0.6176241300944706
superficie_total_m2_is_null,precio_m2_ref_is_null,0.6176241300944706,0.6176241300944706
precio_m2_ref_is_null,superficie_ref_m2_is_null,0.6176241300944706,0.6176241300944706
