variable_categorica,label,n_registros,variable_faltante,pct_faltante
fuente_norm,mercado_libre,61682,precio_m2_ref_is_null,0.19
fuente_norm,mercado_libre,61682,superficie_ref_m2_is_null,0.19
fuente_norm,mercado_libre,61682,barrio_norm_is_null,0.34
fuente_norm,mercado_libre,61682,altura_is_null,16.91
fuente_norm,mercado_libre,61682,latitud_is_null,100.0
fuente_norm,mercado_libre,61682,longitud_is_null,100.0
fuente_norm,mercado_libre,61682,inmobiliaria_is_null,82.2
fuente_norm,airbnb,9596,precio_m2_ref_is_null,100.0
fuente_norm,airbnb,9596,superficie_ref_m2_is_null,100.0
fuente_norm,airbnb,9596,barrio_norm_is_null,0.8
fuente_norm,airbnb,9596,altura_is_null,100.0
fuente_norm,airbnb,9596,latitud_is_null,0.0
fuente_norm,airbnb,9596,longitud_is_null,0.0
fuente_norm,airbnb,9596,inmobiliaria_is_null,100.0
fuente_norm,zonaprop,980,precio_m2_ref_is_null,1.33
fuente_norm,zonaprop,980,superficie_ref_m2_is_null,0.51
fuente_norm,zonaprop,980,barrio_norm_is_null,0.0
fuente_norm,zonaprop,980,altura_is_null,100.0
fuente_norm,zonaprop,980,latitud_is_null,100.0
fuente_norm,zonaprop,980,longitud_is_null,100.0
fuente_norm,zonaprop,980,inmobiliaria_is_null,0.0
fuente_norm,argenprop,162,precio_m2_ref_is_null,8.02
fuente_norm,argenprop,162,superficie_ref_m2_is_null,8.02
fuente_norm,argenprop,162,barrio_norm_is_null,0.0
fuente_norm,argenprop,162,altura_is_null,1.23
fuente_norm,argenprop,162,latitud_is_null,100.0
fuente_norm,argenprop,162,longitud_is_null,100.0
fuente_norm,argenprop,162,inmobiliaria_is_null,100.0
tipo_operacion_norm,venta,44580,precio_m2_ref_is_null,0.12
tipo_operacion_norm,venta,44580,superficie_ref_m2_is_null,0.11
tipo_operacion_norm,venta,44580,barrio_norm_is_null,0.35
tipo_operacion_norm,venta,44580,altura_is_null,17.64
tipo_operacion_norm,venta,44580,latitud_is_null,100.0
tipo_operacion_norm,venta,44580,longitud_is_null,100.0
tipo_operacion_norm,venta,44580,inmobiliaria_is_null,78.45
tipo_operacion_norm,alquiler_temporal,15786,precio_m2_ref_is_null,60.95
tipo_operacion_norm,alquiler_temporal,15786,superficie_ref_m2_is_null,60.95
tipo_operacion_norm,alquiler_temporal,15786,barrio_norm_is_null,0.65
tipo_operacion_norm,alquiler_temporal,15786,altura_is_null,69.69
tipo_operacion_norm,alquiler_temporal,15786,latitud_is_null,39.21
tipo_operacion_norm,alquiler_temporal,15786,longitud_is_null,39.21
tipo_operacion_norm,alquiler_temporal,15786,inmobiliaria_is_null,96.0
tipo_operacion_norm,alquiler,12054,precio_m2_ref_is_null,0.52
tipo_operacion_norm,alquiler,12054,superficie_ref_m2_is_null,0.52
tipo_operacion_norm,alquiler,12054,barrio_norm_is_null,0.22
tipo_operacion_norm,alquiler,12054,altura_is_null,17.75
tipo_operacion_norm,alquiler,12054,latitud_is_null,100.0
tipo_operacion_norm,alquiler,12054,longitud_is_null,100.0
tipo_operacion_norm,alquiler,12054,inmobiliaria_is_null,85.71
moneda_norm,USD,62150,precio_m2_ref_is_null,15.58
moneda_norm,USD,62150,superficie_ref_m2_is_null,15.58
moneda_norm,USD,62150,barrio_norm_is_null,0.42
moneda_norm,USD,62150,altura_is_null,31.22
moneda_norm,USD,62150,latitud_is_null,84.56
moneda_norm,USD,62150,longitud_is_null,84.56
moneda_norm,USD,62150,inmobiliaria_is_null,82.38
moneda_norm,ARS,10262,precio_m2_ref_is_null,0.5
moneda_norm,ARS,10262,superficie_ref_m2_is_null,0.5
moneda_norm,ARS,10262,barrio_norm_is_null,0.25
moneda_norm,ARS,10262,altura_is_null,15.58
moneda_norm,ARS,10262,latitud_is_null,100.0
moneda_norm,ARS,10262,longitud_is_null,100.0
moneda_norm,ARS,10262,inmobiliaria_is_null,90.25
barrio_norm,palermo,8874,precio_m2_ref_is_null,36.57
barrio_norm,palermo,8874,superficie_ref_m2_is_null,36.53
barrio_norm,palermo,8874,barrio_norm_is_null,0.0
barrio_norm,palermo,8874,altura_is_null,48.39
barrio_norm,palermo,8874,latitud_is_null,63.71
barrio_norm,palermo,8874,longitud_is_null,63.71
barrio_norm,palermo,8874,inmobiliaria_is_null,84.98
barrio_norm,recoleta,5521,precio_m2_ref_is_null,24.02
barrio_norm,recoleta,5521,superficie_ref_m2_is_null,24.02
barrio_norm,recoleta,5521,barrio_norm_is_null,0.0
barrio_norm,recoleta,5521,altura_is_null,38.07
barrio_norm,recoleta,5521,latitud_is_null,76.07
barrio_norm,recoleta,5521,longitud_is_null,76.07
barrio_norm,recoleta,5521,inmobiliaria_is_null,81.11
barrio_norm,belgrano,4122,precio_m2_ref_is_null,12.03
barrio_norm,belgrano,4122,superficie_ref_m2_is_null,11.98
barrio_norm,belgrano,4122,barrio_norm_is_null,0.0
barrio_norm,belgrano,4122,altura_is_null,27.58
barrio_norm,belgrano,4122,latitud_is_null,88.06
barrio_norm,belgrano,4122,longitud_is_null,88.06
barrio_norm,belgrano,4122,inmobiliaria_is_null,72.59
barrio_norm,caballito,3345,precio_m2_ref_is_null,4.36
barrio_norm,caballito,3345,superficie_ref_m2_is_null,4.36
barrio_norm,caballito,3345,barrio_norm_is_null,0.0
barrio_norm,caballito,3345,altura_is_null,22.21
barrio_norm,caballito,3345,latitud_is_null,95.81
barrio_norm,caballito,3345,longitud_is_null,95.81
barrio_norm,caballito,3345,inmobiliaria_is_null,80.03
barrio_norm,almagro,3275,precio_m2_ref_is_null,11.45
barrio_norm,almagro,3275,superficie_ref_m2_is_null,11.45
barrio_norm,almagro,3275,barrio_norm_is_null,0.0
barrio_norm,almagro,3275,altura_is_null,25.19
barrio_norm,almagro,3275,latitud_is_null,88.61
barrio_norm,almagro,3275,longitud_is_null,88.61
barrio_norm,almagro,3275,inmobiliaria_is_null,82.26
barrio_norm,nunez,3081,precio_m2_ref_is_null,7.17
barrio_norm,nunez,3081,superficie_ref_m2_is_null,7.14
barrio_norm,nunez,3081,barrio_norm_is_null,0.0
barrio_norm,nunez,3081,altura_is_null,24.15
barrio_norm,nunez,3081,latitud_is_null,92.92
barrio_norm,nunez,3081,longitud_is_null,92.92
barrio_norm,nunez,3081,inmobiliaria_is_null,72.09
barrio_norm,balvanera,2912,precio_m2_ref_is_null,12.47
barrio_norm,balvanera,2912,superficie_ref_m2_is_null,12.43
barrio_norm,balvanera,2912,barrio_norm_is_null,0.0
barrio_norm,balvanera,2912,altura_is_null,26.3
barrio_norm,balvanera,2912,latitud_is_null,87.81
barrio_norm,balvanera,2912,longitud_is_null,87.81
barrio_norm,balvanera,2912,inmobiliaria_is_null,85.85
barrio_norm,villa urquiza,2751,precio_m2_ref_is_null,0.04
barrio_norm,villa urquiza,2751,superficie_ref_m2_is_null,0.04
barrio_norm,villa urquiza,2751,barrio_norm_is_null,0.0
barrio_norm,villa urquiza,2751,altura_is_null,14.58
barrio_norm,villa urquiza,2751,latitud_is_null,100.0
barrio_norm,villa urquiza,2751,longitud_is_null,100.0
barrio_norm,villa urquiza,2751,inmobiliaria_is_null,85.57
barrio_norm,puerto madero,2743,precio_m2_ref_is_null,0.29
barrio_norm,puerto madero,2743,superficie_ref_m2_is_null,0.29
barrio_norm,puerto madero,2743,barrio_norm_is_null,0.0
barrio_norm,puerto madero,2743,altura_is_null,26.54
barrio_norm,puerto madero,2743,latitud_is_null,100.0
barrio_norm,puerto madero,2743,longitud_is_null,100.0
barrio_norm,puerto madero,2743,inmobiliaria_is_null,80.9
barrio_norm,villa crespo,2628,precio_m2_ref_is_null,0.11
barrio_norm,villa crespo,2628,superficie_ref_m2_is_null,0.11
barrio_norm,villa crespo,2628,barrio_norm_is_null,0.0
barrio_norm,villa crespo,2628,altura_is_null,19.98
barrio_norm,villa crespo,2628,latitud_is_null,100.0
barrio_norm,villa crespo,2628,longitud_is_null,100.0
barrio_norm,villa crespo,2628,inmobiliaria_is_null,77.74
barrio_norm,flores,2395,precio_m2_ref_is_null,2.0
barrio_norm,flores,2395,superficie_ref_m2_is_null,2.0
barrio_norm,flores,2395,barrio_norm_is_null,0.0
barrio_norm,flores,2395,altura_is_null,13.78
barrio_norm,flores,2395,latitud_is_null,98.16
barrio_norm,flores,2395,longitud_is_null,98.16
barrio_norm,flores,2395,inmobiliaria_is_null,91.15
barrio_norm,monserrat,1976,precio_m2_ref_is_null,20.85
barrio_norm,monserrat,1976,superficie_ref_m2_is_null,20.85
barrio_norm,monserrat,1976,barrio_norm_is_null,0.0
barrio_norm,monserrat,1976,altura_is_null,35.43
barrio_norm,monserrat,1976,latitud_is_null,79.35
barrio_norm,monserrat,1976,longitud_is_null,79.35
barrio_norm,monserrat,1976,inmobiliaria_is_null,89.27
barrio_norm,colegiales,1975,precio_m2_ref_is_null,12.3
barrio_norm,colegiales,1975,superficie_ref_m2_is_null,12.3
barrio_norm,colegiales,1975,barrio_norm_is_null,0.0
barrio_norm,colegiales,1975,altura_is_null,27.24
barrio_norm,colegiales,1975,latitud_is_null,87.7
barrio_norm,colegiales,1975,longitud_is_null,87.7
barrio_norm,colegiales,1975,inmobiliaria_is_null,76.96
barrio_norm,villa devoto,1869,precio_m2_ref_is_null,0.27
barrio_norm,villa devoto,1869,superficie_ref_m2_is_null,0.27
barrio_norm,villa devoto,1869,barrio_norm_is_null,0.0
barrio_norm,villa devoto,1869,altura_is_null,18.99
barrio_norm,villa devoto,1869,latitud_is_null,100.0
barrio_norm,villa devoto,1869,longitud_is_null,100.0
barrio_norm,villa devoto,1869,inmobiliaria_is_null,88.18
barrio_norm,retiro,1866,precio_m2_ref_is_null,25.35
barrio_norm,retiro,1866,superficie_ref_m2_is_null,25.35
barrio_norm,retiro,1866,barrio_norm_is_null,0.0
barrio_norm,retiro,1866,altura_is_null,36.44
barrio_norm,retiro,1866,latitud_is_null,74.81
barrio_norm,retiro,1866,longitud_is_null,74.81
barrio_norm,retiro,1866,inmobiliaria_is_null,87.94
barrio_norm,saavedra,1563,precio_m2_ref_is_null,3.84
barrio_norm,saavedra,1563,superficie_ref_m2_is_null,3.84
barrio_norm,saavedra,1563,barrio_norm_is_null,0.0
barrio_norm,saavedra,1563,altura_is_null,18.75
barrio_norm,saavedra,1563,latitud_is_null,96.23
barrio_norm,saavedra,1563,longitud_is_null,96.23
barrio_norm,saavedra,1563,inmobiliaria_is_null,76.14
barrio_norm,san telmo,1505,precio_m2_ref_is_null,0.27
barrio_norm,san telmo,1505,superficie_ref_m2_is_null,0.27
barrio_norm,san telmo,1505,barrio_norm_is_null,0.0
barrio_norm,san telmo,1505,altura_is_null,16.94
barrio_norm,san telmo,1505,latitud_is_null,100.0
barrio_norm,san telmo,1505,longitud_is_null,100.0
barrio_norm,san telmo,1505,inmobiliaria_is_null,86.91
barrio_norm,san nicolas,1448,precio_m2_ref_is_null,0.28
barrio_norm,san nicolas,1448,superficie_ref_m2_is_null,0.28
barrio_norm,san nicolas,1448,barrio_norm_is_null,0.0
barrio_norm,san nicolas,1448,altura_is_null,12.78
barrio_norm,san nicolas,1448,latitud_is_null,100.0
barrio_norm,san nicolas,1448,longitud_is_null,100.0
barrio_norm,san nicolas,1448,inmobiliaria_is_null,87.71
barrio_norm,villa del parque,1371,precio_m2_ref_is_null,0.07
barrio_norm,villa del parque,1371,superficie_ref_m2_is_null,0.07
barrio_norm,villa del parque,1371,barrio_norm_is_null,0.0
barrio_norm,villa del parque,1371,altura_is_null,15.68
barrio_norm,villa del parque,1371,latitud_is_null,100.0
barrio_norm,villa del parque,1371,longitud_is_null,100.0
barrio_norm,villa del parque,1371,inmobiliaria_is_null,83.22
barrio_norm,san cristobal,1335,precio_m2_ref_is_null,0.07
barrio_norm,san cristobal,1335,superficie_ref_m2_is_null,0.07
barrio_norm,san cristobal,1335,barrio_norm_is_null,0.0
barrio_norm,san cristobal,1335,altura_is_null,22.92
barrio_norm,san cristobal,1335,latitud_is_null,100.0
barrio_norm,san cristobal,1335,longitud_is_null,100.0
barrio_norm,san cristobal,1335,inmobiliaria_is_null,72.36
barrio_norm,barracas,1102,precio_m2_ref_is_null,6.26
barrio_norm,barracas,1102,superficie_ref_m2_is_null,6.26
