dataset,variable_categorica,label,n_registros,variable_faltante,pct_faltante
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,superficie_cubierta_m2_is_null,92.68
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,expensas_moneda_is_null,93.9
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,expensas_is_null,92.68
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,expensas_texto_is_null,92.68
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,banios_ref_is_null,58.54
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,banios_is_null,58.54
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,piso_is_null,41.46
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,ambientes_ref_is_null,24.39
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,ambientes_is_null,24.39
df_preprocesado_argenprop,tipo_operacion_norm,venta,82,dormitorios_is_null,18.29
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,superficie_cubierta_m2_is_null,98.75
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,expensas_moneda_is_null,96.25
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,expensas_is_null,93.75
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,expensas_texto_is_null,93.75
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,banios_ref_is_null,52.5
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,banios_is_null,52.5
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,piso_is_null,43.75
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,ambientes_ref_is_null,42.5
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,ambientes_is_null,42.5
df_preprocesado_argenprop,tipo_operacion_norm,alquiler,80,dormitorios_is_null,17.5
df_preprocesado_argenprop,moneda_norm,USD,96,superficie_cubierta_m2_is_null,93.75
df_preprocesado_argenprop,moneda_norm,USD,96,expensas_moneda_is_null,94.79
df_preprocesado_argenprop,moneda_norm,USD,96,expensas_is_null,92.71
df_preprocesado_argenprop,moneda_norm,USD,96,expensas_texto_is_null,92.71
df_preprocesado_argenprop,moneda_norm,USD,96,banios_ref_is_null,59.38
df_preprocesado_argenprop,moneda_norm,USD,96,banios_is_null,59.38
df_preprocesado_argenprop,moneda_norm,USD,96,piso_is_null,43.75
df_preprocesado_argenprop,moneda_norm,USD,96,ambientes_ref_is_null,27.08
df_preprocesado_argenprop,moneda_norm,USD,96,ambientes_is_null,27.08
df_preprocesado_argenprop,moneda_norm,USD,96,dormitorios_is_null,15.62
df_preprocesado_argenprop,moneda_norm,ARS,66,superficie_cubierta_m2_is_null,98.48
df_preprocesado_argenprop,moneda_norm,ARS,66,expensas_moneda_is_null,95.45
df_preprocesado_argenprop,moneda_norm,ARS,66,expensas_is_null,93.94
df_preprocesado_argenprop,moneda_norm,ARS,66,expensas_texto_is_null,93.94
df_preprocesado_argenprop,moneda_norm,ARS,66,banios_ref_is_null,50.0
df_preprocesado_argenprop,moneda_norm,ARS,66,banios_is_null,50.0
df_preprocesado_argenprop,moneda_norm,ARS,66,piso_is_null,40.91
df_preprocesado_argenprop,moneda_norm,ARS,66,ambientes_ref_is_null,42.42
df_preprocesado_argenprop,moneda_norm,ARS,66,ambientes_is_null,42.42
df_preprocesado_argenprop,moneda_norm,ARS,66,dormitorios_is_null,21.21
