dataset,variable_categorica,label,n_registros,variable_faltante,pct_faltante
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,inmobiliaria_is_null,87.4
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,altura_is_null,25.01
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,comuna_is_null,4.31
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,ambientes_ref_is_null,2.99
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,es_rango_ambientes_is_null,2.99
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,ambientes_max_is_null,2.99
df_preprocesado_meli_alq_temp,moneda_norm,USD,4382,ambientes_min_is_null,2.99
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,inmobiliaria_is_null,95.58
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,altura_is_null,17.15
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,comuna_is_null,4.7
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,ambientes_ref_is_null,6.14
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,es_rango_ambientes_is_null,6.14
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,ambientes_max_is_null,6.14
df_preprocesado_meli_alq_temp,moneda_norm,ARS,1808,ambientes_min_is_null,6.14
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,inmobiliaria_is_null,89.35
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,altura_is_null,23.9
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,ambientes_ref_is_null,4.19
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,es_rango_ambientes_is_null,4.19
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,ambientes_max_is_null,4.19
df_preprocesado_meli_alq_temp,barrio_norm,palermo,1456,ambientes_min_is_null,4.19
df_preprocesado_meli_alq_temp,barrio_norm,recoleta,710,inmobiliaria_is_null,87.75
df_preprocesado_meli_alq_temp,barrio_norm,recoleta,710,altura_is_null,22.54
