dataset,variable_categorica,label,n_registros,variable_faltante,pct_faltante
df_preprocesado_meli_vtas,moneda_norm,USD,44010,unidades_disponibles_is_null,97.09
df_preprocesado_meli_vtas,moneda_norm,USD,44010,posesion_is_null,97.09
df_preprocesado_meli_vtas,moneda_norm,USD,44010,estado_entrega_is_null,93.71
df_preprocesado_meli_vtas,moneda_norm,USD,44010,inmobiliaria_is_null,79.27
df_preprocesado_meli_vtas,moneda_norm,USD,44010,altura_is_null,16.77
df_preprocesado_meli_vtas,moneda_norm,USD,44010,banios_min_is_null,2.17
df_preprocesado_meli_vtas,moneda_norm,USD,44010,banios_ref_is_null,2.17
df_preprocesado_meli_vtas,moneda_norm,USD,44010,banios_max_is_null,2.17
df_preprocesado_meli_vtas,moneda_norm,USD,44010,comuna_is_null,2.02
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,unidades_disponibles_is_null,91.83
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,posesion_is_null,91.83
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,estado_entrega_is_null,89.12
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,inmobiliaria_is_null,69.11
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,altura_is_null,14.43
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,banios_min_is_null,1.51
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,banios_ref_is_null,1.51
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,banios_max_is_null,1.51
df_preprocesado_meli_vtas,barrio_norm,palermo,2509,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,unidades_disponibles_is_null,93.86
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,posesion_is_null,93.86
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,estado_entrega_is_null,88.74
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,inmobiliaria_is_null,61.88
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,altura_is_null,14.31
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,banios_min_is_null,0.93
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,banios_ref_is_null,0.93
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,banios_max_is_null,0.93
df_preprocesado_meli_vtas,barrio_norm,belgrano,2264,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,unidades_disponibles_is_null,96.13
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,posesion_is_null,96.13
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,estado_entrega_is_null,94.31
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,inmobiliaria_is_null,69.95
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,altura_is_null,15.66
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,banios_min_is_null,2.41
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,banios_ref_is_null,2.41
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,banios_max_is_null,2.41
df_preprocesado_meli_vtas,barrio_norm,recoleta,2196,comuna_is_null,1.96
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,unidades_disponibles_is_null,93.16
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,posesion_is_null,93.16
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,estado_entrega_is_null,90.9
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,inmobiliaria_is_null,75.52
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,altura_is_null,18.79
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,banios_min_is_null,2.07
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,banios_ref_is_null,2.07
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,banios_max_is_null,2.07
df_preprocesado_meli_vtas,barrio_norm,caballito,2177,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,unidades_disponibles_is_null,95.05
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,posesion_is_null,95.05
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,estado_entrega_is_null,90.3
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,inmobiliaria_is_null,66.09
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,altura_is_null,17.8
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,banios_min_is_null,2.26
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,banios_ref_is_null,2.26
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,banios_max_is_null,2.26
df_preprocesado_meli_vtas,barrio_norm,nunez,2123,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,unidades_disponibles_is_null,97.4
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,posesion_is_null,97.4
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,estado_entrega_is_null,89.92
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,inmobiliaria_is_null,84.71
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,altura_is_null,14.25
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,banios_min_is_null,1.66
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,banios_ref_is_null,1.66
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,banios_max_is_null,1.66
df_preprocesado_meli_vtas,barrio_norm,villa urquiza,2113,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,unidades_disponibles_is_null,96.56
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,posesion_is_null,96.56
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,estado_entrega_is_null,90.86
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,inmobiliaria_is_null,76.22
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,altura_is_null,19.62
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,banios_min_is_null,1.29
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,banios_ref_is_null,1.29
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,banios_max_is_null,1.29
df_preprocesado_meli_vtas,barrio_norm,villa crespo,2090,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,unidades_disponibles_is_null,96.59
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,posesion_is_null,96.59
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,estado_entrega_is_null,94.05
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,inmobiliaria_is_null,76.5
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,altura_is_null,15.4
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,banios_min_is_null,1.2
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,banios_ref_is_null,1.2
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,banios_max_is_null,1.2
df_preprocesado_meli_vtas,barrio_norm,almagro,2085,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,unidades_disponibles_is_null,99.03
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,posesion_is_null,99.03
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,estado_entrega_is_null,98.84
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,inmobiliaria_is_null,83.69
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,altura_is_null,16.02
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,banios_min_is_null,1.79
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,banios_ref_is_null,1.79
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,banios_max_is_null,1.79
df_preprocesado_meli_vtas,barrio_norm,balvanera,2066,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,flores,1920,unidades_disponibles_is_null,99.43
df_preprocesado_meli_vtas,barrio_norm,flores,1920,posesion_is_null,99.43
df_preprocesado_meli_vtas,barrio_norm,flores,1920,estado_entrega_is_null,96.41
df_preprocesado_meli_vtas,barrio_norm,flores,1920,inmobiliaria_is_null,90.42
df_preprocesado_meli_vtas,barrio_norm,flores,1920,altura_is_null,12.24
df_preprocesado_meli_vtas,barrio_norm,flores,1920,banios_min_is_null,1.56
df_preprocesado_meli_vtas,barrio_norm,flores,1920,banios_ref_is_null,1.56
df_preprocesado_meli_vtas,barrio_norm,flores,1920,banios_max_is_null,1.56
df_preprocesado_meli_vtas,barrio_norm,flores,1920,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,unidades_disponibles_is_null,99.11
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,posesion_is_null,99.11
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,estado_entrega_is_null,94.89
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,inmobiliaria_is_null,87.94
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,altura_is_null,17.68
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,banios_min_is_null,2.87
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,banios_ref_is_null,2.87
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,banios_max_is_null,2.87
df_preprocesado_meli_vtas,barrio_norm,villa devoto,1567,comuna_is_null,0.0
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,unidades_disponibles_is_null,98.38
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,posesion_is_null,98.38
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,estado_entrega_is_null,96.97
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,inmobiliaria_is_null,81.36
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,altura_is_null,21.6
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,banios_min_is_null,2.76
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,banios_ref_is_null,2.76
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,banios_max_is_null,2.76
df_preprocesado_meli_vtas,barrio_norm,puerto madero,1486,comuna_is_null,0.0
