dataset,variable_categorica,label,n_registros,variable_faltante,pct_faltante
df_preprocesado_meli_alq,moneda_norm,ARS,8232,inmobiliaria_is_null,90.67
df_preprocesado_meli_alq,moneda_norm,ARS,8232,altura_is_null,13.79
df_preprocesado_meli_alq,moneda_norm,ARS,8232,ambientes_max_is_null,3.34
df_preprocesado_meli_alq,moneda_norm,ARS,8232,es_rango_ambientes_is_null,3.34
df_preprocesado_meli_alq,moneda_norm,ARS,8232,ambientes_ref_is_null,3.34
df_preprocesado_meli_alq,moneda_norm,ARS,8232,ambientes_min_is_null,3.34
df_preprocesado_meli_alq,moneda_norm,USD,3247,inmobiliaria_is_null,85.83
df_preprocesado_meli_alq,moneda_norm,USD,3247,altura_is_null,15.65
df_preprocesado_meli_alq,moneda_norm,USD,3247,ambientes_max_is_null,1.97
df_preprocesado_meli_alq,moneda_norm,USD,3247,es_rango_ambientes_is_null,1.97
df_preprocesado_meli_alq,moneda_norm,USD,3247,ambientes_ref_is_null,1.97
df_preprocesado_meli_alq,moneda_norm,USD,3247,ambientes_min_is_null,1.97
df_preprocesado_meli_alq,barrio_norm,palermo,1482,inmobiliaria_is_null,86.77
df_preprocesado_meli_alq,barrio_norm,palermo,1482,altura_is_null,10.59
df_preprocesado_meli_alq,barrio_norm,palermo,1482,ambientes_max_is_null,2.83
df_preprocesado_meli_alq,barrio_norm,palermo,1482,es_rango_ambientes_is_null,2.83
df_preprocesado_meli_alq,barrio_norm,palermo,1482,ambientes_ref_is_null,2.83
df_preprocesado_meli_alq,barrio_norm,palermo,1482,ambientes_min_is_null,2.83
df_preprocesado_meli_alq,barrio_norm,recoleta,1173,inmobiliaria_is_null,85.08
df_preprocesado_meli_alq,barrio_norm,recoleta,1173,altura_is_null,13.3
df_preprocesado_meli_alq,barrio_norm,recoleta,1173,ambientes_max_is_null,1.96
df_preprocesado_meli_alq,barrio_norm,recoleta,1173,es_rango_ambientes_is_null,1.96
df_preprocesado_meli_alq,barrio_norm,recoleta,1173,ambientes_ref_is_null,1.96
df_preprocesado_meli_alq,barrio_norm,recoleta,1173,ambientes_min_is_null,1.96
df_preprocesado_meli_alq,barrio_norm,belgrano,960,inmobiliaria_is_null,85.0
df_preprocesado_meli_alq,barrio_norm,belgrano,960,altura_is_null,16.46
df_preprocesado_meli_alq,barrio_norm,belgrano,960,ambientes_max_is_null,2.81
df_preprocesado_meli_alq,barrio_norm,belgrano,960,es_rango_ambientes_is_null,2.81
df_preprocesado_meli_alq,barrio_norm,belgrano,960,ambientes_ref_is_null,2.81
df_preprocesado_meli_alq,barrio_norm,belgrano,960,ambientes_min_is_null,2.81
df_preprocesado_meli_alq,barrio_norm,puerto madero,833,inmobiliaria_is_null,87.39
df_preprocesado_meli_alq,barrio_norm,puerto madero,833,altura_is_null,24.97
df_preprocesado_meli_alq,barrio_norm,puerto madero,833,ambientes_max_is_null,0.84
df_preprocesado_meli_alq,barrio_norm,puerto madero,833,es_rango_ambientes_is_null,0.84
df_preprocesado_meli_alq,barrio_norm,puerto madero,833,ambientes_ref_is_null,0.84
df_preprocesado_meli_alq,barrio_norm,puerto madero,833,ambientes_min_is_null,0.84
df_preprocesado_meli_alq,barrio_norm,caballito,802,inmobiliaria_is_null,90.9
df_preprocesado_meli_alq,barrio_norm,caballito,802,altura_is_null,13.72
df_preprocesado_meli_alq,barrio_norm,caballito,802,ambientes_max_is_null,1.75
df_preprocesado_meli_alq,barrio_norm,caballito,802,es_rango_ambientes_is_null,1.75
df_preprocesado_meli_alq,barrio_norm,caballito,802,ambientes_ref_is_null,1.75
df_preprocesado_meli_alq,barrio_norm,caballito,802,ambientes_min_is_null,1.75
df_preprocesado_meli_alq,barrio_norm,villa urquiza,515,inmobiliaria_is_null,92.23
df_preprocesado_meli_alq,barrio_norm,villa urquiza,515,altura_is_null,11.26
df_preprocesado_meli_alq,barrio_norm,villa urquiza,515,ambientes_max_is_null,6.41
df_preprocesado_meli_alq,barrio_norm,villa urquiza,515,es_rango_ambientes_is_null,6.41
df_preprocesado_meli_alq,barrio_norm,villa urquiza,515,ambientes_ref_is_null,6.41
df_preprocesado_meli_alq,barrio_norm,villa urquiza,515,ambientes_min_is_null,6.41
df_preprocesado_meli_alq,barrio_norm,nunez,486,inmobiliaria_is_null,84.36
df_preprocesado_meli_alq,barrio_norm,nunez,486,altura_is_null,9.47
df_preprocesado_meli_alq,barrio_norm,nunez,486,ambientes_max_is_null,3.5
df_preprocesado_meli_alq,barrio_norm,nunez,486,es_rango_ambientes_is_null,3.5
df_preprocesado_meli_alq,barrio_norm,nunez,486,ambientes_ref_is_null,3.5
df_preprocesado_meli_alq,barrio_norm,nunez,486,ambientes_min_is_null,3.5
df_preprocesado_meli_alq,barrio_norm,almagro,439,inmobiliaria_is_null,91.12
df_preprocesado_meli_alq,barrio_norm,almagro,439,altura_is_null,9.11
df_preprocesado_meli_alq,barrio_norm,almagro,439,ambientes_max_is_null,4.78
df_preprocesado_meli_alq,barrio_norm,almagro,439,es_rango_ambientes_is_null,4.78
df_preprocesado_meli_alq,barrio_norm,almagro,439,ambientes_ref_is_null,4.78
df_preprocesado_meli_alq,barrio_norm,almagro,439,ambientes_min_is_null,4.78
df_preprocesado_meli_alq,barrio_norm,flores,379,inmobiliaria_is_null,95.51
df_preprocesado_meli_alq,barrio_norm,flores,379,altura_is_null,10.03
df_preprocesado_meli_alq,barrio_norm,flores,379,ambientes_max_is_null,2.64
df_preprocesado_meli_alq,barrio_norm,flores,379,es_rango_ambientes_is_null,2.64
df_preprocesado_meli_alq,barrio_norm,flores,379,ambientes_ref_is_null,2.64
df_preprocesado_meli_alq,barrio_norm,flores,379,ambientes_min_is_null,2.64
df_preprocesado_meli_alq,barrio_norm,villa crespo,334,inmobiliaria_is_null,88.92
df_preprocesado_meli_alq,barrio_norm,villa crespo,334,altura_is_null,14.07
df_preprocesado_meli_alq,barrio_norm,villa crespo,334,ambientes_max_is_null,4.49
df_preprocesado_meli_alq,barrio_norm,villa crespo,334,es_rango_ambientes_is_null,4.49
df_preprocesado_meli_alq,barrio_norm,villa crespo,334,ambientes_ref_is_null,4.49
df_preprocesado_meli_alq,barrio_norm,villa crespo,334,ambientes_min_is_null,4.49
df_preprocesado_meli_alq,barrio_norm,balvanera,325,inmobiliaria_is_null,88.92
