,ambientes_is_null,ambientes_ref_is_null,dormitorios_is_null,dormitorios_ref_is_null,banios_is_null,banios_ref_is_null,barrio_is_null,barrio_norm_is_null,comuna_is_null,toilettes_is_null,rating_is_null,reviews_is_null
ambientes_is_null,1.0,1.0,1.0,1.0,-0.0003611448801541931,-0.0003611448801541931,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0003611448801541931,0.013492963175469353,0.013492963175469353
ambientes_ref_is_null,1.0,1.0,1.0,1.0,-0.0003611448801541931,-0.0003611448801541931,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0003611448801541931,0.013492963175469356,0.013492963175469356
dormitorios_is_null,1.0,1.0,1.0,1.0,-0.0003611448801541931,-0.0003611448801541931,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0003611448801541931,0.013492963175469353,0.013492963175469353
dormitorios_ref_is_null,1.0,1.0,1.0,1.0,-0.0003611448801541931,-0.0003611448801541931,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0003611448801541931,0.013492963175469356,0.013492963175469356
banios_is_null,-0.0003611448801541931,-0.0003611448801541931,-0.0003611448801541931,-0.0003611448801541931,1.0,1.0,-0.0022496555159187692,-0.0022496555159187692,-0.0022496555159187692,1.0,0.023375371187156664,0.023375371187156664
banios_ref_is_null,-0.0003611448801541931,-0.0003611448801541931,-0.0003611448801541931,-0.0003611448801541931,1.0,1.0,-0.0022496555159187692,-0.0022496555159187692,-0.0022496555159187692,1.0,0.023375371187156664,0.023375371187156664
barrio_is_null,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0022496555159187692,-0.0022496555159187692,1.0,1.0,1.0,-0.0022496555159187692,0.04728066209156443,0.04728066209156443
barrio_norm_is_null,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0022496555159187692,-0.0022496555159187692,1.0,1.0,1.0,-0.0022496555159187692,0.04728066209156443,0.04728066209156443
comuna_is_null,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,-0.0022496555159187692,-0.0022496555159187692,1.0,1.0,1.0,-0.0022496555159187692,0.04728066209156443,0.04728066209156443
toilettes_is_null,-0.0003611448801541931,-0.0003611448801541931,-0.0003611448801541931,-0.0003611448801541931,1.0,1.0,-0.0022496555159187692,-0.0022496555159187692,-0.0022496555159187692,1.0,0.023375371187156664,0.023375371187156664
rating_is_null,0.013492963175469353,0.013492963175469356,0.013492963175469353,0.013492963175469356,0.023375371187156664,0.023375371187156664,0.04728066209156443,0.04728066209156443,0.04728066209156443,0.023375371187156664,1.0,1.0
reviews_is_null,0.013492963175469353,0.013492963175469356,0.013492963175469353,0.013492963175469356,0.023375371187156664,0.023375371187156664,0.04728066209156443,0.04728066209156443,0.04728066209156443,0.023375371187156664,1.0,1.0
