,amplitud_superficie_m2_is_null,es_rango_superficie_is_null,precio_m2_max_is_null,precio_m2_min_is_null,precio_m2_ref_is_null,superficie_max_m2_is_null,superficie_min_m2_is_null,superficie_ref_m2_is_null,tipo_superficie_is_null,ambientes_max_is_null,ambientes_min_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,banios_max_is_null,banios_min_is_null,banios_ref_is_null,dormitorios_max_is_null,dormitorios_min_is_null,dormitorios_ref_is_null,barrio_is_null,barrio_norm_is_null,comuna_is_null,descuento_pct_is_null,inmobiliaria_is_null,precio_anterior_is_null
amplitud_superficie_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239570794e-05,0.002831627518208508,0.014332916001699862,0.002831627518208508
es_rango_superficie_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239570794e-05,0.002831627518208508,0.014332916001699862,0.002831627518208508
precio_m2_max_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239570794e-05,0.002831627518208508,0.014332916001699862,0.002831627518208508
precio_m2_min_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239570794e-05,0.002831627518208508,0.014332916001699862,0.002831627518208508
precio_m2_ref_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.02467571192701549,2.3900934239570794e-05,0.002831627518208508,0.014332916001699862,0.002831627518208508
superficie_max_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239568988e-05,0.0028316275182085167,0.014332916001699862,0.0028316275182085167
superficie_min_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239568988e-05,0.0028316275182085167,0.014332916001699862,0.0028316275182085167
superficie_ref_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.02467571192701549,2.3900934239570794e-05,0.002831627518208508,0.014332916001699862,0.002831627518208508
tipo_superficie_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.004055814095814209,0.004055814095814209,0.004055814095814215,0.02467571192701549,0.024675711927015488,2.3900934239568988e-05,0.0028316275182085167,0.014332916001699862,0.0028316275182085167
ambientes_max_is_null,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,1.0,1.0,1.0,1.0,0.08188124117672028,0.08188124117672028,0.08188124117672028,-0.35151179369333896,-0.35151179369333896,-0.35151179369333896,0.132409324362489,0.132409324362489,0.03767435024207897,-0.004573829680893563,0.032074525125853,-0.004573829680893563
ambientes_min_is_null,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,1.0,1.0,1.0,1.0,0.08188124117672028,0.08188124117672028,0.08188124117672028,-0.35151179369333896,-0.35151179369333896,-0.35151179369333896,0.132409324362489,0.132409324362489,0.03767435024207897,-0.004573829680893563,0.032074525125853,-0.004573829680893563
ambientes_ref_is_null,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,1.0,1.0,1.0,1.0,0.08188124117672028,0.08188124117672028,0.08188124117672028,-0.351511793693339,-0.351511793693339,-0.35151179369333896,0.132409324362489,0.132409324362489,0.03767435024207897,-0.00457382968089357,0.032074525125853,-0.00457382968089357
es_rango_ambientes_is_null,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,0.011903748620069083,1.0,1.0,1.0,1.0,0.08188124117672028,0.08188124117672028,0.08188124117672028,-0.351511793693339,-0.351511793693339,-0.35151179369333896,0.132409324362489,0.132409324362489,0.03767435024207897,-0.00457382968089357,0.032074525125853,-0.00457382968089357
banios_max_is_null,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.08188124117672028,0.08188124117672028,0.08188124117672028,0.08188124117672028,1.0,1.0,1.0,-0.002003167008008664,-0.002003167008008664,-0.002003167008008664,-0.006598221296051169,-0.006598221296051169,-0.015172746809002359,-0.009074635531474891,0.008519573336273192,-0.009074635531474891
