,amplitud_superficie_m2_is_null,es_rango_superficie_is_null,precio_m2_max_is_null,precio_m2_min_is_null,precio_m2_ref_is_null,superficie_max_m2_is_null,superficie_min_m2_is_null,superficie_ref_m2_is_null,tipo_superficie_is_null,estado_entrega_is_null,posesion_is_null,unidades_disponibles_is_null,ambientes_max_is_null,ambientes_min_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,banios_max_is_null,banios_min_is_null,banios_ref_is_null,dormitorios_max_is_null,dormitorios_min_is_null,dormitorios_ref_is_null,altura_is_null,comuna_is_null,barrio_is_null
amplitud_superficie_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903686,0.002561587682903686,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
es_rango_superficie_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903686,0.002561587682903686,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
precio_m2_max_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903686,0.002561587682903686,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
precio_m2_min_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903686,0.002561587682903686,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
precio_m2_ref_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157895,0.002561587682903686,0.002561587682903686,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
superficie_max_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903682,0.002561587682903682,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
superficie_min_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903682,0.002561587682903682,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
superficie_ref_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157895,0.002561587682903686,0.002561587682903686,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
tipo_superficie_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0026868332173157813,0.002561587682903682,0.002561587682903682,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.06633568595749206,0.06633568595749206,0.06633568595749205,0.0026868332173158836,0.0026868332173158836,0.0026868332173158854,-0.016283949076703202,-0.01370454630541666,-0.00413579327631228
estado_entrega_is_null,0.0026868332173157813,0.0026868332173157813,0.0026868332173157813,0.0026868332173157813,0.0026868332173157895,0.0026868332173157813,0.0026868332173157813,0.0026868332173157895,0.0026868332173157813,1.0,0.8578771767228432,0.8578771767228432,0.008510585674556318,0.008510585674556318,0.008510585674556318,0.008510585674556318,0.005830809407323616,0.005830809407323616,0.005830809407323624,0.08929070605717358,0.08929070605717358,0.0892907060571736,0.013718829351563289,-0.06551406985373588,0.0027402652537207735
posesion_is_null,0.002561587682903686,0.002561587682903686,0.002561587682903686,0.002561587682903686,0.002561587682903686,0.002561587682903682,0.002561587682903682,0.002561587682903686,0.002561587682903682,0.8578771767228432,1.0,1.0,0.008113868511726718,0.008113868511726718,0.008113868511726725,0.008113868511726725,0.005559008822319424,0.005559008822319424,0.005559008822319428,0.09381102939703008,0.09381102939703008,0.09381102939703007,0.012206530735105086,-0.06957187580578546,0.0026125290087162596
unidades_disponibles_is_null,0.002561587682903686,0.002561587682903686,0.002561587682903686,0.002561587682903686,0.002561587682903686,0.002561587682903682,0.002561587682903682,0.002561587682903686,0.002561587682903682,0.8578771767228432,1.0,1.0,0.008113868511726718,0.008113868511726718,0.008113868511726725,0.008113868511726725,0.005559008822319424,0.005559008822319424,0.005559008822319428,0.09381102939703008,0.09381102939703008,0.09381102939703007,0.012206530735105086,-0.06957187580578546,0.0026125290087162596
ambientes_max_is_null,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.008510585674556318,0.008113868511726718,0.008113868511726718,1.0,1.0,1.0,1.0,0.16266797793547125,0.16266797793547125,0.16266797793547125,-0.18938770630704616,-0.18938770630704616,-0.18938770630704616,-0.055637915670706445,-0.02314755712185753,-0.013100189019352263
