,amplitud_superficie_m2_is_null,es_rango_superficie_is_null,precio_m2_max_is_null,precio_m2_min_is_null,precio_m2_ref_is_null,superficie_max_m2_is_null,superficie_min_m2_is_null,superficie_ref_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,estado_entrega_is_null,ambientes_max_is_null,ambientes_min_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,banios_max_is_null,banios_min_is_null,banios_ref_is_null,dormitorios_max_is_null,dormitorios_min_is_null,dormitorios_ref_is_null,barrio_is_null,barrio_norm_is_null,descuento_pct_is_null
amplitud_superficie_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529182,0.0009697872573529182,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552451032
es_rango_superficie_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529182,0.0009697872573529182,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552451032
precio_m2_max_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529182,0.0009697872573529182,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552451032
precio_m2_min_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529182,0.0009697872573529182,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552451032
precio_m2_ref_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529182,0.0009697872573529182,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552451032
superficie_max_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529185,0.0009697872573529185,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552450963
superficie_min_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529185,0.0009697872573529185,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552450963
superficie_ref_m2_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529182,0.0009697872573529182,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552451032
tipo_superficie_is_null,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009697872573529185,0.0009697872573529185,-0.0010808095273826554,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.02566506875228062,0.02566506875228062,0.025665068752280612,-0.008756424843731032,-0.008756424843731032,-0.008756424843731042,-0.0018491697955008975,-0.0018491697955008975,0.0009321341552450963
posesion_is_null,0.0009697872573529182,0.0009697872573529182,0.0009697872573529182,0.0009697872573529182,0.0009697872573529182,0.0009697872573529185,0.0009697872573529185,0.0009697872573529182,0.0009697872573529185,1.0,1.0,0.6243902280498913,0.0038375540792805734,0.0038375540792805734,0.0038375540792805795,0.0038375540792805795,0.020240003001970413,0.020240003001970413,0.020240003001970413,0.22369222440756087,0.22369222440756087,0.22369222440756095,-0.012324113575415319,-0.012324113575415319,-0.005219876659549666
unidades_disponibles_is_null,0.0009697872573529182,0.0009697872573529182,0.0009697872573529182,0.0009697872573529182,0.0009697872573529182,0.0009697872573529185,0.0009697872573529185,0.0009697872573529182,0.0009697872573529185,1.0,1.0,0.6243902280498913,0.0038375540792805734,0.0038375540792805734,0.0038375540792805795,0.0038375540792805795,0.020240003001970413,0.020240003001970413,0.020240003001970413,0.22369222440756087,0.22369222440756087,0.22369222440756095,-0.012324113575415319,-0.012324113575415319,-0.005219876659549666
estado_entrega_is_null,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,-0.0010808095273826554,0.6243902280498913,0.6243902280498913,1.0,0.0058576612571629065,0.0058576612571629065,0.0058576612571629065,0.0058576612571629065,0.012335756064885012,0.012335756064885012,0.01233575606488501,0.13700867208857548,0.13700867208857548,0.13700867208857545,-0.0017561165855659517,-0.0017561165855659439,-0.00781630878969501
ambientes_max_is_null,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.0038375540792805734,0.0038375540792805734,0.0058576612571629065,1.0,1.0,1.0,1.0,0.10309733958543073,0.10309733958543073,0.10309733958543073,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,0.06147861282620581,0.06147861282620581,-0.003339857690821256
ambientes_min_is_null,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.0038375540792805734,0.0038375540792805734,0.0058576612571629065,1.0,1.0,1.0,1.0,0.10309733958543073,0.10309733958543073,0.10309733958543073,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,0.06147861282620581,0.06147861282620581,-0.003339857690821256
