,precio,precio_m2_ref,superficie_ref_m2,superficie_total_m2,ambientes_ref,ambientes,dormitorios_ref,dormitorios,banios_ref,banios,altura,cantidad_imagenes
superficie_cubierta_m2_is_null,0.0507571558578414,0.08434251156314462,-0.0982607544801666,-0.0982607544801666,-0.13474274293582253,-0.13474274293582253,-0.09541181683647786,-0.09541181683647786,0.0228323298075746,0.0228323298075746,-0.1549019834410293,-0.011629263226669373
expensas_moneda_is_null,0.030570705075071064,-0.0016593970600130151,0.06911209352088327,0.06911209352088327,0.11988384234483827,0.11988384234483827,0.16783321586512306,0.16783321586512306,0.035349568616167594,0.035349568616167594,-0.03364034053589054,-0.025100914940753654
expensas_is_null,-0.0021028134030430037,0.030870819212630525,-0.03884224096528163,-0.03884224096528163,0.10041161847900301,0.10041161847900301,0.060406650309293534,0.060406650309293534,0.04131674815321111,0.04131674815321111,-0.1252256381103628,-0.02020787810839253
expensas_texto_is_null,-0.0021028134030430037,0.030870819212630525,-0.03884224096528163,-0.03884224096528163,0.10041161847900301,0.10041161847900301,0.060406650309293534,0.060406650309293534,0.04131674815321111,0.04131674815321111,-0.1252256381103628,-0.02020787810839253
banios_ref_is_null,-0.015046440399299714,-0.06796084208051546,0.08424942629625713,0.08424942629625713,-0.019789819021254897,-0.019789819021254897,-0.16724924785015494,-0.16724924785015494,,,0.13024617831667834,-0.002141371808172889
banios_is_null,-0.015046440399299714,-0.06796084208051546,0.08424942629625713,0.08424942629625713,-0.019789819021254897,-0.019789819021254897,-0.16724924785015494,-0.16724924785015494,,,0.13024617831667834,-0.002141371808172889
piso_is_null,0.012501517595711857,-0.014950314798535728,0.09201691034477893,0.09201691034477893,-0.037952024462419985,-0.037952024462419985,0.009665901999195873,0.009665901999195873,0.04007869911976371,0.04007869911976371,0.14815836421001305,0.2546365035999347
ambientes_ref_is_null,0.12660470822451977,0.1702171581850645,0.08822480129201181,0.08822480129201181,,,0.1989278116553278,0.1989278116553278,-0.1303112598060102,-0.1303112598060102,0.0957603134572052,0.047401285617690844
ambientes_is_null,0.12660470822451977,0.1702171581850645,0.08822480129201181,0.08822480129201181,,,0.1989278116553278,0.1989278116553278,-0.1303112598060102,-0.1303112598060102,0.0957603134572052,0.047401285617690844
dormitorios_is_null,-0.13329658305961936,0.15409392422320975,-0.3541783347947082,-0.3541783347947082,-0.4290314607739224,-0.4290314607739224,,,-0.14902359248529395,-0.14902359248529395,-0.03058555382220905,0.1825719110630057
dormitorios_ref_is_null,-0.13329658305961936,0.15409392422320975,-0.3541783347947082,-0.3541783347947082,-0.4290314607739224,-0.4290314607739224,,,-0.14902359248529395,-0.14902359248529395,-0.03058555382220905,0.1825719110630057
precio_m2_calculado_is_null,0.06716271677832933,,,,-0.02738498685790981,-0.02738498685790981,-0.0086167558083924,-0.0086167558083924,-0.08535562155469845,-0.08535562155469845,-0.009792607310260064,-0.029157283971666538
precio_m2_ref_is_null,0.06716271677832933,,,,-0.02738498685790981,-0.02738498685790981,-0.0086167558083924,-0.0086167558083924,-0.08535562155469845,-0.08535562155469845,-0.009792607310260064,-0.029157283971666538
superficie_total_m2_is_null,0.06716271677832933,,,,-0.02738498685790981,-0.02738498685790981,-0.0086167558083924,-0.0086167558083924,-0.08535562155469845,-0.08535562155469845,-0.009792607310260064,-0.029157283971666538
superficie_ref_m2_is_null,0.06716271677832933,,,,-0.02738498685790981,-0.02738498685790981,-0.0086167558083924,-0.0086167558083924,-0.08535562155469845,-0.08535562155469845,-0.009792607310260064,-0.029157283971666538
