dataset,columna,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
df_raw_meli_alq,pagina_origen,11479.0,8.589337050265703,9.126466850977776,1.0,1.0,1.0,2.0,5.0,12.0,31.0,40.0,42.0
df_raw_meli_alq,precio,11479.0,647977.4077881349,1161666.7983246113,10.0,500.0,750.0,4000.0,650000.0,880000.0,1500000.0,2300000.0,111111111.0
df_raw_meli_alq,desde,11479.0,0.000696924819235125,0.026391282481727354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq,ambientes_min,11140.0,2.1878815080789944,1.3138363990442992,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,71.0
df_raw_meli_alq,ambientes_max,11140.0,2.1878815080789944,1.3138363990442992,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,71.0
df_raw_meli_alq,banios_min,11263.0,1.2939714108141702,1.2350926267822453,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,76.0
df_raw_meli_alq,banios_max,11263.0,1.2939714108141702,1.2350926267822453,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,76.0
df_raw_meli_alq,dormitorios_min,43.0,1.255813953488372,0.4414814484488266,1.0,1.0,1.0,1.0,1.0,1.5,2.0,2.0,2.0
df_raw_meli_alq,dormitorios_max,43.0,1.255813953488372,0.4414814484488266,1.0,1.0,1.0,1.0,1.0,1.5,2.0,2.0,2.0
df_raw_meli_alq,superficie_min_m2,11429.0,59.166418759296526,91.64801537236944,1.0,20.0,25.0,35.0,43.0,63.0,141.0,254.71999999999935,5116.0
df_raw_meli_alq,superficie_max_m2,11429.0,59.166418759296526,91.64801537236944,1.0,20.0,25.0,35.0,43.0,63.0,141.0,254.71999999999935,5116.0
df_raw_meli_alq,destacado,11479.0,0.14774806167784652,0.354865527173647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_alq,emprendimiento,11479.0,0.00043557801202195314,0.020866868865129864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq,posesion,0.0,,,,,,,,,,,
df_raw_meli_alq,unidades_disponibles,0.0,,,,,,,,,,,
df_raw_meli_alq,parse_warnings,0.0,,,,,,,,,,,
df_raw_meli_alq,posicion_pagina,11479.0,23.696576356825506,13.867311663143226,1.0,1.0,3.0,12.0,23.0,36.0,46.0,48.0,48.0
df_raw_meli_alq,altura,9836.0,2140.6599227328184,1705.4947344141947,0.0,2.0,100.0,800.0,1800.0,3000.0,5400.0,7194.7499999999945,13136.0
df_raw_meli_alq,comuna,11250.0,7.898933333333333,5.188028979998707,1.0,1.0,1.0,2.0,7.0,13.0,14.0,15.0,15.0
df_raw_meli_alq,precio_anterior,21.0,146498.19047619047,305450.35351307405,350.0,550.8,1354.0,1800.0,1957.0,3045.0,790000.0,798000.0,800000.0
df_raw_meli_alq,descuento_pct,21.0,-28729.40619047619,19023.827847022396,-58984.19,-56611.796,-47122.22,-42592.94,-33114.1,-14281.59,0.0,0.0,0.0
df_raw_meli_alq,precio_m2_min,11429.0,15339.460464607575,36777.6010663877,0.06,10.642399999999999,15.314,34.09,17368.42,21428.57,27864.166000000005,34782.61,2923976.61
df_raw_meli_alq,precio_m2_max,11429.0,15339.460464607575,36777.6010663877,0.06,10.642399999999999,15.314,34.09,17368.42,21428.57,27864.166000000005,34782.61,2923976.61
df_raw_meli_alq,amplitud_superficie_m2,11429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df_raw_meli_alq,es_rango_superficie,11429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df_raw_meli_alq,es_rango_ambientes,11140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df_raw_meli_alq,monoambiente,11479.0,0.3021169091384267,0.45919565721352174,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
df_raw_meli_alq,apto_credito,11479.0,0.0011325028312570782,0.03363508323336137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq,balcon,11479.0,0.19217701890408573,0.39402860016789254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_alq,terraza,11479.0,0.03484624096175625,0.18339822948460624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq,pileta,11479.0,0.02500217789006011,0.15613837708545808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq,parrilla,11479.0,0.01968812614339228,0.13893230493250652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq,cochera_mencionada,11479.0,0.12065510933008101,0.32574023004765096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_alq,amenities_mencionadas,11479.0,0.08624444638034671,0.2807369012241911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_alq,cantidad_atributos,11479.0,2.9510410314487325,0.23024587032350216,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
df_raw_meli_alq,completitud_pct,11479.0,86.44374074396725,5.7469457313368935,42.9,71.4,85.7,85.7,85.7,85.7,100.0,100.0,100.0
df_raw_meli_alq_temp,pagina_origen,6190.0,10.089660743134088,11.202301357745057,1.0,1.0,1.0,2.0,4.0,16.0,36.0,41.0,42.0
df_raw_meli_alq_temp,precio,6190.0,212329.74684975768,392224.25188403635,10.0,60.0,520.0,800.0,1300.0,266000.0,980000.0,1500000.0,3999000.0
df_raw_meli_alq_temp,desde,6190.0,0.0027463651050080775,0.052337989208902806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq_temp,ambientes_min,5948.0,2.0137861466039007,0.9930707917567966,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,10.0
df_raw_meli_alq_temp,ambientes_max,5948.0,2.01630800268998,0.9946399246683459,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,10.0
df_raw_meli_alq_temp,banios_min,6074.0,1.1840632202831742,1.0774561676176886,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,76.0
df_raw_meli_alq_temp,banios_max,6074.0,1.185544945670069,1.0781950971798726,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,76.0
df_raw_meli_alq_temp,dormitorios_min,11.0,1.5454545454545454,0.5222329678670935,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
df_raw_meli_alq_temp,dormitorios_max,11.0,1.5454545454545454,0.5222329678670935,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
df_raw_meli_alq_temp,superficie_min_m2,6165.0,50.96058394160584,29.88999793070423,1.0,20.0,25.0,35.0,42.0,60.0,100.0,182.0,400.0
df_raw_meli_alq_temp,superficie_max_m2,6165.0,51.03714517437145,29.94629763444691,1.0,20.0,25.0,35.0,42.0,60.0,100.0,182.0,400.0
df_raw_meli_alq_temp,destacado,6190.0,0.16478190630048464,0.37101356755338977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_alq_temp,emprendimiento,6190.0,0.0016155088852988692,0.04016415844644253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq_temp,unidades_disponibles,10.0,7.9,7.622335600063803,1.0,1.09,1.45,4.0,5.0,9.5,21.39999999999999,24.28,25.0
df_raw_meli_alq_temp,parse_warnings,0.0,,,,,,,,,,,
df_raw_meli_alq_temp,posicion_pagina,6190.0,23.805654281098548,13.880635120992126,1.0,1.0,3.0,12.0,23.0,36.0,46.0,48.0,48.0
df_raw_meli_alq_temp,altura,4784.0,2129.2052675585282,2301.4882345461583,0.0,24.14999999999999,200.0,900.0,1800.0,3000.0,5100.0,6217.000000000007,118500.0
df_raw_meli_alq_temp,comuna,5916.0,8.03262339418526,5.61420586280717,1.0,1.0,1.0,2.0,9.0,14.0,15.0,15.0,15.0
df_raw_meli_alq_temp,precio_anterior,3.0,233951.33333333334,402743.96594528056,1354.0,1356.92,1368.6,1427.0,1500.0,350250.0,629250.0,685050.0,699000.0
df_raw_meli_alq_temp,descuento_pct,3.0,-35183.62,31096.045375029604,-58984.19,-58735.8396,-57742.438,-52775.43,-46566.67,-23283.335,-4656.667000000004,-931.3334000000008,0.0
df_raw_meli_alq_temp,precio_m2_min,6165.0,5472.641829683699,18282.906599870385,0.22,1.4264,12.26,18.75,25.86,4225.0,24000.0,31945.529599999973,860000.0
df_raw_meli_alq_temp,precio_m2_max,6165.0,5474.657675587997,18282.504161239565,0.22,1.4264,12.26,18.75,25.86,4225.0,24000.0,31945.529599999973,860000.0
df_raw_meli_alq_temp,amplitud_superficie_m2,6165.0,0.07656123276561233,2.30571698341629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
df_raw_meli_alq_temp,es_rango_superficie,6165.0,0.00145985401459854,0.038183233632160404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq_temp,es_rango_ambientes,5948.0,0.0011768661735036988,0.03428817316557366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
df_raw_meli_alq_temp,monoambiente,6190.0,0.34894991922455576,0.47667659978695176,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
df_raw_meli_alq_temp,apto_credito,6190.0,0.0008077544426494346,0.028411835289519464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
