item_id,fuente,url,search_url,pagina_origen,scraped_at_utc,titulo,tipo_propiedad,tipo_operacion,moneda,precio,precio_texto,desde,inmobiliaria,direccion,barrio,localidad,provincia,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,tipo_superficie,imagen_principal,destacado,emprendimiento,posesion,unidades_disponibles,atributos_texto,texto_tarjeta,parse_warnings,posicion_pagina,slug,calle,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,estado_entrega,cantidad_atributos,completitud_pct,imagen_id,imagen_extension
MLA3811068662,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3811068662-alquiler-temporario-mensual-en-almagro-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.967100+00:00,Alquiler Temporario Mensual En Almagro,departamento,alquiler temporal,USD,750.0,US$ 750,0,Alternativa Propiedades,"Av, Rivadavia 4300, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,2,2,1,1,,,36.0,36.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_921330-MLA115640877816_092026-E.webp,1,0,,,2 ambs. | 1 baño | 36 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporario Mensual En Almagro Alternativa Propiedades US$ 750 2 ambs. 1 baño 36 m² cubiertos Av, Rivadavia 4300, Almagro, Capital Federal Destacado",,1,MLA-3811068662-alquiler-temporario-mensual-en-almagro-_JM,Av,,5,,,20.83,20.83,0.0,0,0,0,0,0,0,0,0,0,0,,3,100.0,D_NQ_NP_2X_921330-MLA115640877816_092026-E,webp
MLA3790100162,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3790100162-alquiler-temporario-mensual-en-buenos-aires-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.968065+00:00,Alquiler Temporario Mensual En Buenos Aires,departamento,alquiler temporal,USD,750.0,US$ 750,0,Alternativa Propiedades,"Yatay Al 700 5°, Entre Av. Corrientes Y Sarmiento, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,1,1,1,1,,,37.0,37.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_761981-MLA114811765542_082026-E.webp,1,0,,,1 amb. | 1 baño | 37 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporario Mensual En Buenos Aires Alternativa Propiedades US$ 750 1 amb. 1 baño 37 m² cubiertos Yatay Al 700 5°, Entre Av. Corrientes Y Sarmiento, Almagro, Capital Federal Destacado",,2,MLA-3790100162-alquiler-temporario-mensual-en-buenos-aires-_JM,Yatay Al 700 5°,,5,,,20.27,20.27,0.0,0,0,1,0,0,0,0,0,0,0,,3,100.0,D_NQ_NP_2X_761981-MLA114811765542_082026-E,webp
MLA3875661160,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3875661160-departamento-2-ambientes-con-balcon-y-pileta-en-almagro-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.968522+00:00,Departamento 2 Ambientes Con Balcón Y Pileta En Almagro,departamento,alquiler temporal,USD,550.0,US$ 550,0,,"Sanchez De Loria Al 400, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,2,2,1,1,,,40.0,40.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_728868-MLA115489956728_082026-E.webp,1,0,,,2 ambs. | 1 baño | 40 m² cubiertos,"Departamento en alquiler temporal Departamento 2 Ambientes Con Balcón Y Pileta En Almagro US$ 550 2 ambs. 1 baño 40 m² cubiertos Sanchez De Loria Al 400, Almagro, Capital Federal Destacado",,3,MLA-3875661160-departamento-2-ambientes-con-balcon-y-pileta-en-almagro-_JM,Sanchez De Loria Al,400,5,,,13.75,13.75,0.0,0,0,0,0,1,0,1,0,0,0,,3,85.7,D_NQ_NP_2X_728868-MLA115489956728_082026-E,webp
MLA2898633614,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2898633614-alquiler-temporario-mensual-en-buenos-aires-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.969009+00:00,Alquiler Temporario Mensual En Buenos Aires,departamento,alquiler temporal,USD,800.0,US$ 800,0,Alternativa Propiedades,"Guardia Vieja 4100 Entre Francisco Acuña De Figueroa Y Gascon, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,1,1,1,1,,,38.0,38.0,total,https://http2.mlstatic.com/D_NQ_NP_2X_806360-MLA106842322178_022026-E.webp,1,0,,,1 amb. | 1 baño | 38 m² totales,"Departamento en alquiler temporal Alquiler Temporario Mensual En Buenos Aires Alternativa Propiedades US$ 800 1 amb. 1 baño 38 m² totales Guardia Vieja 4100 Entre Francisco Acuña De Figueroa Y Gascon, Almagro, Capital Federal Destacado",,4,MLA-2898633614-alquiler-temporario-mensual-en-buenos-aires-_JM,Guardia Vieja 4100 Entre Francisco Acuña De Figueroa Y Gascon,,5,,,21.05,21.05,0.0,0,0,1,0,0,0,0,0,0,0,,3,100.0,D_NQ_NP_2X_806360-MLA106842322178_022026-E,webp
MLA3836465586,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3836465586-departamento-en-alquiler-temporal-en-almagro-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.969460+00:00,Departamento En Alquiler Temporal En Almagro,departamento,alquiler temporal,USD,850.0,US$ 850,0,,"HUMAHUACA Al 3535. Entre Bilinghurst Y Sanchez De Bustamante, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,2,2,1,1,,,44.0,44.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_797450-MLA114998158832_082026-E.webp,1,0,,,2 ambs. | 1 baño | 44 m² cubiertos,"Departamento en alquiler temporal Departamento En Alquiler Temporal En Almagro US$ 850 2 ambs. 1 baño 44 m² cubiertos HUMAHUACA Al 3535. Entre Bilinghurst Y Sanchez De Bustamante, Almagro, Capital Federal Destacado",,5,MLA-3836465586-departamento-en-alquiler-temporal-en-almagro-_JM,HUMAHUACA Al 3535. Entre Bilinghurst Y Sanchez De Bustamante,,5,,,19.32,19.32,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_797450-MLA114998158832_082026-E,webp
MLA3600409974,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3600409974-monoambiente-amoblado-con-amenities-en-alquiler-temporario-en-almagro-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.969903+00:00,Monoambiente Amoblado Con Amenities En Alquiler Temporario En Almagro,departamento,alquiler temporal,USD,585.0,US$ 585,0,,"Colombres Al 500, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,1,1,1,1,,,22.0,22.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_719651-MLA114493433909_072026-E.webp,1,0,,,1 amb. | 1 baño | 22 m² cubiertos,"Departamento en alquiler temporal Monoambiente Amoblado Con Amenities En Alquiler Temporario En Almagro US$ 585 1 amb. 1 baño 22 m² cubiertos Colombres Al 500, Almagro, Capital Federal Destacado",,6,MLA-3600409974-monoambiente-amoblado-con-amenities-en-alquiler-temporario-en-almagro-_JM,Colombres Al,500,5,,,26.59,26.59,0.0,0,0,1,0,0,0,0,0,0,1,,3,85.7,D_NQ_NP_2X_719651-MLA114493433909_072026-E,webp
MLA3874083362,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3874083362-departamento-temporario-dia-semana-mes-mts-hpital-italiano-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.970324+00:00,Departamento Temporario Dia Semana Mes Mts. Hpital Italiano,departamento,alquiler temporal,ARS,68000.0,$ 68.000,0,,"PALESTINA 550, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,3,3,1,1,,,65.0,65.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_22871-MLA20237851925_022015-E.webp,1,0,,,3 ambs. | 1 baño | 65 m² cubiertos,"Departamento en alquiler temporal Departamento Temporario Dia Semana Mes Mts. Hpital Italiano $ 68.000 3 ambs. 1 baño 65 m² cubiertos PALESTINA 550, Almagro, Capital Federal Destacado",,7,MLA-3874083362-departamento-temporario-dia-semana-mes-mts-hpital-italiano-_JM,PALESTINA,550,5,,,1046.15,1046.15,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_22871-MLA20237851925_022015-E,webp
MLA3692914430,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3692914430-departamento-en-zona-hospital-italiano-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.970743+00:00,Departamento En Zona Hospital Italiano,departamento,alquiler temporal,ARS,68000.0,$ 68.000,0,,"Potosí 4015, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,1,1,1,1,,,45.0,45.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_902491-MLA81834522249_012025-E.webp,1,0,,,1 amb. | 1 baño | 45 m² cubiertos,"Departamento en alquiler temporal Departamento En Zona Hospital Italiano $ 68.000 1 amb. 1 baño 45 m² cubiertos Potosí 4015, Almagro, Capital Federal Destacado",,8,MLA-3692914430-departamento-en-zona-hospital-italiano-_JM,Potosí,4015,5,,,1511.11,1511.11,0.0,0,0,1,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_902491-MLA81834522249_012025-E,webp
MLA3874083224,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3874083224-departamento-2-amb-temporario-zona-hospital-italiano-cochera-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.971526+00:00,Departamento 2 Amb Temporario Zona Hospital Italiano Cochera,departamento,alquiler temporal,ARS,65000.0,$ 65.000,0,,"GASCON 600, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,2,2,1,1,,,70.0,70.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_19924-MLA20181252663_102014-E.webp,1,0,,,2 ambs. | 1 baño | 70 m² cubiertos,"Departamento en alquiler temporal Departamento 2 Amb Temporario Zona Hospital Italiano Cochera $ 65.000 2 ambs. 1 baño 70 m² cubiertos GASCON 600, Almagro, Capital Federal Destacado",,9,MLA-3874083224-departamento-2-amb-temporario-zona-hospital-italiano-cochera-_JM,GASCON,600,5,,,928.57,928.57,0.0,0,0,0,0,0,0,0,0,1,0,,3,85.7,D_NQ_NP_2X_19924-MLA20181252663_102014-E,webp
MLA3692913848,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3692913848-alquiler-temporario-frente-al-hospital-italiano-nuevo-con-piscina-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/almagro/,1,2026-09-05T20:08:29.972052+00:00,Alquiler Temporario Frente Al Hospital Italiano Nuevo Con Piscina,departamento,alquiler temporal,ARS,56000.0,$ 56.000,0,,"Tte. Juan D. Perón 4171, Almagro, Capital Federal",Almagro,Capital Federal,Capital Federal,1,1,1,1,,,21.0,21.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_677898-MLA44917012672_022021-E.webp,1,0,,,1 amb. | 1 baño | 21 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporario Frente Al Hospital Italiano Nuevo Con Piscina $ 56.000 1 amb. 1 baño 21 m² cubiertos Tte. Juan D. Perón 4171, Almagro, Capital Federal Destacado",,10,MLA-3692913848-alquiler-temporario-frente-al-hospital-italiano-nuevo-con-piscina-_JM,Tte. Juan D. Perón,4171,5,,,2666.67,2666.67,0.0,0,0,1,0,0,0,1,0,0,0,,3,85.7,D_NQ_NP_2X_677898-MLA44917012672_022021-E,webp
