item_id,fuente,url,search_url,pagina_origen,scraped_at_utc,titulo,tipo_propiedad,tipo_operacion,moneda,precio,precio_texto,desde,inmobiliaria,direccion,barrio,localidad,provincia,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,tipo_superficie,imagen_principal,destacado,emprendimiento,posesion,unidades_disponibles,atributos_texto,texto_tarjeta,parse_warnings,posicion_pagina,slug,calle,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,estado_entrega,cantidad_atributos,completitud_pct,imagen_id,imagen_extension
MLA3834072592,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3834072592-departamento-3-ambientes-con-balcon-y-cochera-en-agronomia-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.663171+00:00,Departamento 3 Ambientes Con Balcon Y Cochera En Agronomia,departamento,alquiler,ARS,1150000.0,$ 1.150.000,0,OPEN HOUSE,"Navarro Y Condarco, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,3,3,1,1,,,50.0,50.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_727319-MLA116499264681_082026-E.webp,1,0,,,3 ambs. | 1 baño | 50 m² cubiertos,"Departamento en alquiler Departamento 3 Ambientes Con Balcon Y Cochera En Agronomia OPEN HOUSE $ 1.150.000 3 ambs. 1 baño 50 m² cubiertos Navarro Y Condarco, Agronomía, Capital Federal Destacado",,1,MLA-3834072592-departamento-3-ambientes-con-balcon-y-cochera-en-agronomia-_JM,Navarro Y Condarco,,15,,,23000.0,23000.0,0.0,0,0,0,0,1,0,0,0,1,0,,3,100.0,D_NQ_NP_2X_727319-MLA116499264681_082026-E,webp
MLA2019002239,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2019002239-alquiler-monoambiente-divisible-agronomia-42m2-balcon-corrido-super-luminoso-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.664157+00:00,Alquiler Monoambiente Divisible Agronomía - 42m2 Balcón Corrido Super Luminoso,departamento,alquiler,ARS,600000.0,$ 600.000,0,,"Av. S. Martín 4200 - 4500, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,1,1,1,1,,,38.0,38.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_692181-MLA116493905755_082026-E.webp,1,0,,,1 amb. | 1 baño | 38 m² cubiertos,"Departamento en alquiler Alquiler Monoambiente Divisible Agronomía - 42m2 Balcón Corrido Super Luminoso $ 600.000 1 amb. 1 baño 38 m² cubiertos Av. S. Martín 4200 - 4500, Agronomía, Capital Federal Destacado",,2,MLA-2019002239-alquiler-monoambiente-divisible-agronomia-42m2-balcon-corrido-super-luminoso-_JM,Av. S. Martín 4200 -,4500,15,,,15789.47,15789.47,0.0,0,0,1,0,1,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_692181-MLA116493905755_082026-E,webp
MLA3868541154,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3868541154-alquiler-departamento-2-ambientes-agronomia-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.664625+00:00,Alquiler Departamento 2 Ambientes Agronomía,departamento,alquiler,ARS,800000.0,$ 800.000,0,CONNECTION NEGOCIOS INMOB.,"San Martin Al 4800, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,2,2,1,1,,,44.0,44.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_906837-MLA116769183807_082026-E.webp,0,0,,,2 ambs. | 1 baño | 44 m² cubiertos,"Departamento en alquiler Alquiler Departamento 2 Ambientes Agronomía CONNECTION NEGOCIOS INMOB. $ 800.000 2 ambs. 1 baño 44 m² cubiertos San Martin Al 4800, Agronomía, Capital Federal",,3,MLA-3868541154-alquiler-departamento-2-ambientes-agronomia-_JM,San Martin Al,4800,15,,,18181.82,18181.82,0.0,0,0,0,0,0,0,0,0,0,0,,3,100.0,D_NQ_NP_2X_906837-MLA116769183807_082026-E,webp
MLA2004590217,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2004590217-alquiler-departamento-monoambiente-agronomia-coch-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.665065+00:00,Alquiler Departamento Monoambiente Agronomía Coch,departamento,alquiler,ARS,640000.0,$ 640.000,0,,"Avenida Chorroarín 0, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,1,1,1,1,,,33.0,33.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_615707-MLA116368129015_082026-E.webp,0,0,,,1 amb. | 1 baño | 33 m² cubiertos,"Departamento en alquiler Alquiler Departamento Monoambiente Agronomía Coch $ 640.000 1 amb. 1 baño 33 m² cubiertos Avenida Chorroarín 0, Agronomía, Capital Federal",,4,MLA-2004590217-alquiler-departamento-monoambiente-agronomia-coch-_JM,Avenida Chorroarín,0,15,,,19393.94,19393.94,0.0,0,0,1,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_615707-MLA116368129015_082026-E,webp
MLA3861887466,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3861887466-excelente-2-amb-con-balcon-le-brique-propiedades--_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.665471+00:00,Excelente 2 Amb Con Balcón - Le Brique Propiedades -,departamento,alquiler,ARS,780000.0,$ 780.000,0,,"Basilio Cittadini 2300, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,2,2,1,1,,,39.0,39.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_852303-MLA116717969319_082026-E.webp,0,0,,,2 ambs. | 1 baño | 39 m² cubiertos,"Departamento en alquiler Excelente 2 Amb Con Balcón - Le Brique Propiedades - $ 780.000 2 ambs. 1 baño 39 m² cubiertos Basilio Cittadini 2300, Agronomía, Capital Federal",,5,MLA-3861887466-excelente-2-amb-con-balcon-le-brique-propiedades--_JM,Basilio Cittadini,2300,15,,,20000.0,20000.0,0.0,0,0,0,0,1,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_852303-MLA116717969319_082026-E,webp
MLA3435801158,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3435801158-departamento-en-agronomia-alquiler-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.665918+00:00,Departamento En Agronomia Alquiler,departamento,alquiler,ARS,600000.0,$ 600.000,0,,"Asuncion Al 2100, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,1,1,1,1,,,31.0,31.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_887370-MLA111831940654_062026-E.webp,0,0,,,1 amb. | 1 baño | 31 m² cubiertos,"Departamento en alquiler Departamento En Agronomia Alquiler $ 600.000 1 amb. 1 baño 31 m² cubiertos Asuncion Al 2100, Agronomía, Capital Federal",,6,MLA-3435801158-departamento-en-agronomia-alquiler-_JM,Asuncion Al,2100,15,,,19354.84,19354.84,0.0,0,0,1,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_887370-MLA111831940654_062026-E,webp
MLA1972747997,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1972747997-monoambiente-con-balcon-en-villa-del-parque-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.666343+00:00,Monoambiente Con Balcón En Villa Del Parque,departamento,alquiler,ARS,480000.0,$ 480.000,0,,"Asunción 2100, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,1,1,1,1,,,29.0,29.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_741472-MLA115902850729_082026-E.webp,0,0,,,1 amb. | 1 baño | 29 m² cubiertos,"Departamento en alquiler Monoambiente Con Balcón En Villa Del Parque $ 480.000 1 amb. 1 baño 29 m² cubiertos Asunción 2100, Agronomía, Capital Federal",,7,MLA-1972747997-monoambiente-con-balcon-en-villa-del-parque-_JM,Asunción,2100,15,,,16551.72,16551.72,0.0,0,0,1,0,1,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_741472-MLA115902850729_082026-E,webp
MLA3912116920,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3912116920-departamento-alquiler-2-ambientes-bajas-expensas-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.666759+00:00,Departamento Alquiler 2 Ambientes Bajas Expensas,departamento,alquiler,ARS,800000.0,$ 800.000,0,,"Francisco López Merino 4000, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,2,2,1,1,,,39.0,39.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_846043-MLA117164722183_092026-E.webp,0,0,,,2 ambs. | 1 baño | 39 m² cubiertos,"PUBLICADO HOY Departamento en alquiler Departamento Alquiler 2 Ambientes Bajas Expensas $ 800.000 2 ambs. 1 baño 39 m² cubiertos Francisco López Merino 4000, Agronomía, Capital Federal",,8,MLA-3912116920-departamento-alquiler-2-ambientes-bajas-expensas-_JM,Francisco López Merino,4000,15,,,20512.82,20512.82,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_846043-MLA117164722183_092026-E,webp
MLA3914440398,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3914440398-departamento-2-ambientes-alquiler-agronomia-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.667154+00:00,Departamento 2 Ambientes Alquiler Agronomía,departamento,alquiler,ARS,750000.0,$ 750.000,0,,"ARTIGAS, JOSE G. DE, GRAL. Al 3800. Entre Asuncion Y Pedro Moran, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,2,2,1,1,,,46.0,46.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_762951-MLA115740315272_092026-E.webp,0,0,,,2 ambs. | 1 baño | 46 m² cubiertos,"PUBLICADO HOY Departamento en alquiler Departamento 2 Ambientes Alquiler Agronomía $ 750.000 2 ambs. 1 baño 46 m² cubiertos ARTIGAS, JOSE G. DE, GRAL. Al 3800. Entre Asuncion Y Pedro Moran, Agronomía, Capital Federal",,9,MLA-3914440398-departamento-2-ambientes-alquiler-agronomia-_JM,ARTIGAS,,15,,,16304.35,16304.35,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_762951-MLA115740315272_092026-E,webp
MLA3835769374,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3835769374-departamento-2-ambientes-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/agronomia/,1,2026-09-05T19:25:49.667549+00:00,Departamento 2 Ambientes,departamento,alquiler,ARS,850000.0,$ 850.000,0,,"AV SALVADOR MARIA DEL CARRIL Al 2760. Entre Terrada Y Condarco, Agronomía, Capital Federal",Agronomía,Capital Federal,Capital Federal,2,2,1,1,,,39.0,39.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_921258-MLA111066410018_052026-E.webp,0,0,,,2 ambs. | 1 baño | 39 m² cubiertos,"Departamento en alquiler Departamento 2 Ambientes $ 850.000 2 ambs. 1 baño 39 m² cubiertos AV SALVADOR MARIA DEL CARRIL Al 2760. Entre Terrada Y Condarco, Agronomía, Capital Federal",,10,MLA-3835769374-departamento-2-ambientes-_JM,AV SALVADOR MARIA DEL CARRIL Al 2760. Entre Terrada Y Condarco,,15,,,21794.87,21794.87,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_921258-MLA111066410018_052026-E,webp
