property_id,fuente,url,scraped_at_utc,search_url,pagina_origen,http_status,parse_ok,parse_warnings,titulo,descripcion,tipo_operacion,tipo_propiedad,estado_publicacion,fecha_publicacion,inmobiliaria,seller_id,moneda,precio,precio_texto,expensas_moneda,expensas,expensas_texto,precio_m2_calculado,direccion_completa,calle,altura,piso,unidad,barrio,localidad,partido,provincia,pais,codigo_postal,latitud,longitud,ambientes,dormitorios,banios,toilettes,cocheras,superficie_total_m2,superficie_cubierta_m2,superficie_descubierta_m2,superficie_semicubierta_m2,superficie_terreno_m2,frente_m,fondo_m,antiguedad_anios,estado_inmueble,disposicion,orientacion,luminosidad,cantidad_plantas,cantidad_pisos_edificio,departamentos_por_piso,apto_credito,apto_profesional,permite_mascotas,accesibilidad,amoblado,balcon,terraza,patio,jardin,parrilla,pileta,sum,gimnasio,sauna,laundry,baulera,ascensor,seguridad_24h,vigilancia,aire_acondicionado,calefaccion,losa_radiante,gas_natural,agua_corriente,electricidad,cloaca,internet,vista_rio,vista_abierta,reciclado,a_refaccionar,cantidad_imagenes,imagen_principal,video_url,tour_virtual_url,cantidad_atributos_extra,atributos_extra_json,jsonld_raw
e197e9f1c643db6d77d3,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423,2026-08-15T23:56:14.395650+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO!,,venta,departamento,,,,,USD,2400000.0,USD 2.400.000 + $2.200.000 expensas,,,,8000.0,Jerónimo Salguero 2700,Jerónimo Salguero,2700,,,,,,,,,,,,3,,,2,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/32499781/e0063af1-49cc-48e2-b1f3-27eb92fa9aaa_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 38 Ver más fotos 1 /46 Visto 72.002 USD 2.400.000 &plus; $2.200.000 expensas Jerónimo Salguero 2700 Departamento en Venta en Palermo Chico, Palermo 300 m² cubie. 3 dorm. 17 años TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO! “Torre bellini” de revista! Impecable piso muy alto! Balcón con espectacular vista panorámica a la ciudad y al río! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! Todo a nuevo! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 master suite con 2 vestidores! 1 dormitorio en suite! 1 dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full amenities: piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax, sum, parrilla, juegos para niños, espacio verde, microcine, jaulas de golf y laundry! Calefacción y aire acondicionado central con regulación individual! Aberturas de aluminio con dvh! 2 cocheras fijas y cubiertas! 2 bauleras! Grupo electrógeno! 3 ascensores! Estacionamiento de cortesía! El edificio cuenta con encargado y 2 ayudantes! Vigilancia 24hs! Apto crédito! Excelente ubicación! La mejor zona de palermo! A metros de av. Libertador y plaza alemania! Único! Oportunidad! * Esta propiedad posee rampa de acceso para personas con movilidad reducida *las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula cucicba 2204 WhatsApp Contactar""}",
c6d712804e8920b7c44a,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-2-ambientes--19974218,2026-08-15T23:56:14.405039+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,IMPECABLE 2 AMBIENTES! ESPECTACULAR PATIO PROPIO CON JARDÍN! Todo a nuevo! Muy luminoso! ÚNICO! OPORT!,,venta,departamento,,,,,USD,175000.0,USD 175.000 + $250.000 expensas,,,,1944.44,Juan Francisco Seguí 3900,Juan Francisco Seguí,3900,,,,,,,,,,,2,1,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/81247991/3393d3b7-6920-45d3-82a0-e6c1d83bc828_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 20 Ver más fotos 1 /28 Visto 72.001 USD 175.000 &plus; $250.000 expensas Juan Francisco Seguí 3900 Departamento en Venta en Palermo Chico, Palermo 90 m² cubie. 1 dorm. 40 años IMPECABLE 2 AMBIENTES! ESPECTACULAR PATIO PROPIO CON JARDÍN! Todo a nuevo! Muy luminoso! ÚNICO! OPORT! Impecable 2 ambientes! Espectacular patio propio con jardin! Muy luminoso! Excelente distribución! Todo a nuevo! Hall de entrada! Living-comedor! Baño completo a nuevo con ventilación natural! Dormitorio! Amplio placard! Cocina completa con barra desayunadora a nueva! Segundo patio con lavadero! Pisos de madera! 2 splits frio-calor! Persianas eléctricas! El edificio cuenta con encargado! Apto crédito! Inmejorable ubicación! Único! Oportunidad! *Esta propiedad no posee acceso para personas con movilidad reducida *las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula cucicba 2204 WhatsApp Contactar""}",
30c011d5c7b29cc7d1b4,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--10043598,2026-08-15T23:56:14.413241+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,BOHO BOTANICO,,venta,departamento,,,,,USD,800000.0,USD 800.000,,,,4678.36,"República Árabe Siria 3100, Piso 1",República Árabe Siria,3100,1,,,,,,,,,,,3,,,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/89534001/abc6b317-36eb-48cc-b317-ad0e7f8f330c_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 26 Ver más fotos 1 /34 Visto 72.001 USD 800.000 República Árabe Siria 3100, Piso 1 Departamento en Venta en Palermo Chico, Palermo 171 m² cubie. 3 dorm. En pozo BOHO BOTANICO Boho botanico piso 1° espectacular piso de 171 m2. Palier privado. Amplios balcones in/out con parrilla. Barandas de vidrio de seguridad. Imponente master suite con vestidor. 2 dormitorios. Baño en suite con hidromasaje, ducha y doble bacha. Puerta de ingreso con cerradura biométrica. Domótica personalizada + instalación especializada para full wifi. Cocina con isla central. Carpintería de aluminio anodizado con vidrio dvh. Espejos y herrajes de líneas rectas. Revestimiento de porcelanatos en grandes piezas. Mesadas y alzadas de cocina y baños en cuarzo. Alacenas y bajo mesadas en melamina texturada. Herrajes de primera línea. Placares en dormitorios con frentes corredizos. Sanitarios y griferías de primera marca, línea europea. Mamparas de vidrio templado. Instalación para lavarropas y lavavajillas bajo mesada. Cochera fija y cubierta! La zona mas linda de palermo! Único! Oportunidad! *Fecha de entrega estimada abril 2026. WhatsApp Contactar""}",
005063ed8b36c3914daa,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19871596,2026-08-15T23:56:14.420875+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,VENTA 3 AMBIENTES PALERMO,,venta,departamento,,,,,USD,229000.0,USD 229.000,,,,3693.55,"Jorge Luis Borges 2100, Piso 2",Jorge Luis Borges,2100,2,,,,,,,,,,3,2,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/69517891/723a95de-b089-495c-94df-b2c233adc643_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 7 Ver más fotos 1 /15 Visto 72.000 USD 229.000 Jorge Luis Borges 2100, Piso 2 Departamento en Venta en Palermo, CABA 62 m² cubie. 2 dorm. A Estrenar VENTA 3 AMBIENTES PALERMO Venta departamento palermo excelente semipiso de 3 amb al frente de 73 m2 en edificio de gran categoría. El mismo esta ubicado a 300 mts de av. Santa fe y próximo a estación de subte d, plaza serrano y plaza armenia.Excelente oportunidad de inversión. Amenities: gimnasio y terraza con parrilla en piso 10º. La unidad cuenta con habitación principal en suite con frente e interiores de placard ya colocados, baño principal completo para 2da habitación, amplia cocina integrada y living con salida a balcón de grandes dimensiones. Con un total de dos baños completos. Posee conexión para lavarropas, calefacción por losa radiante con caldera individual, cocina a gas y mueble bajo mesada y alacena completa. Se encuentra alquilado hasta 05/3/2027 lepore propiedades lepore propiedades s.A. Cuit : -9 c.U.C.I.C.B.A. Matrícula nº 931 (sucursales caballito - palermo - centro) aviso legal: las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general nº 2371 de la afip (pedido de coti) WhatsApp Contactar""}",
be6b436761c9e7ea7525,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19829078,2026-08-15T23:56:14.429637+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,"Departamento - Venta - Argentina, Capital Federal - SANTA ROSA 5100",,venta,departamento,,,,,USD,135000.0,USD 135.000 + $124.000 expensas,ARS,124000.0,expensas $124.000,2934.78,Santa Rosa 5100,Santa Rosa,5100,,,,,,,,,,,3,2,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/87092891/388fe324-b55c-4dac-8723-19b784652e49_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 15 Ver más fotos 1 /23 Visto 70.003 USD 135.000 &plus; $124.000 expensas Santa Rosa 5100 Departamento en Venta en Palermo Soho, Palermo 46 m² cubie. 2 dorm. 54 años Departamento - Venta - Argentina, Capital Federal - SANTA ROSA 5100 Departamento en venta en palermo soho, capital federal 3 ambientes 46m2 en la zona de palermo soho con hermosa vista 5to piso al frente, luminoso y silencioso. - Apto credito refaccionado a nuevo, living comedor y cocina integrados, mesada de granito negro con cocina a gas industrial, alacenas y bajomesadas con lavadero incorporado y extractor. Pisos de parquet en excelente estado en toda al unidad, hall de entrada. Pasillo de dsitrubucion con amplio placard empotrado, dos dormitorios y un baño completo. Living comedor con estufa a gas y aire acondicionado. Agua caliente individual por medio de calefón que esta en el balcón y calefaccion por estufa que se encuentra en el living. Edificio con 9 pisos, del 1er al 6to piso tenemos 4 uf por piso en 7mo y 8vo piso son solo dos unidades una sola unidad en el 9no 1 ascensor. Precio us$ 135.000 expensas $124.000 apto credito tomas tripputi - mat. Cucicba n 7969 aviso todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar. WhatsApp Contactar""}",
0ae96622ea5e34dbf889,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19548301,2026-08-15T23:56:14.437620+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,Monoambiente Apto Profesional con Vista Abierta al Río- A metros de Plaza Italia-,,venta,departamento,,,,,USD,69900.0,USD 69.900 + $165.000 expensas,,,,,Avenida Santa Fe 4400,Avenida Santa Fe,4400,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/10384591/93932b9b-67fa-4e76-ba37-b24f3e7923ae_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 27 Ver más fotos 1 /35 Visto 70.000 USD 69.900 &plus; $165.000 expensas Avenida Santa Fe 4400 Departamento en Venta en Palermo, Capital Federal 50 años 1 baño Monoam. Monoambiente Apto Profesional con Vista Abierta al Río- A metros de Plaza Italia- Departamento monoambiente - apto profesional av. Santa fe 4437 palermo - ubicado en una de las zonas más buscadas de la ciudad, a metros de plaza italia y puente pacífico, con acceso inmediato a múltiples medios de transporte (subte línea d, metrobus y principales avenidas), se presenta este departamento apto profesional, ideal tanto para vivienda como inversión. La unidad se destaca por su excelente luminosidad y vista abierta al río, lo que le aporta amplitud visual y calidad de vida. Cuenta con: -ambiente amplio y funcional, con excelente entrada de luz natural -vista abierta con orientación privilegiada -cocina integrada, práctica y bien resuelta -baño completo -sistema de losa radiante, que garantiza confort térmico -aire acondicionado instalado -su condición de apto profesional lo convierte en una opción versátil: ideal para uso residencial, consultorio u oficina. Apto profesional muy luminoso excelente conectividad ubicación premium servicios profesionales tasaciones judiciales y profesionales – sucesiones – operaciones simultáneas – alquileres – administración – trámites notariales – asesoramiento integral sin costo. Cucicba mat. 7402 emanuel villalba - villalba soluciones inmobiliarias el inmueble publicado no es accesible para personas con capacidades físicas reducidas. El inmueble publicado no es accesible para personas con capacidades físicas reducidas. Las descripciones arquitectónicas y funcionales, así como los valores de expensas, impuestos, servicios, fotografías y medidas de este inmueble, son aproximados. La información ha sido proporcionada por el propietario y puede no estar actualizada al momento de su visualización. El interesado deberá realizar las verificaciones correspondientes antes de concretar cualquier operación. WhatsApp Contactar""}",
4081adc26b2894d7a1bf,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19622671,2026-08-15T23:56:14.446256+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,DEPARTAMENTO 3 AMBIENTES CON BALCÓN + DEPENDENCIA- EXCELENTE DISTRIBUCIÓN,,venta,departamento,,,,,USD,155000.0,USD 155.000 + $55.000 expensas,,,,2012.99,Nicaragua 4400,Nicaragua,4400,,,,,,,,,,,3,2,2,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/17622691/ef206135-fced-4578-b138-0a79a30800f4_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 18 Ver más fotos 1 /26 Visto 64.795 USD 155.000 &plus; $55.000 expensas Nicaragua 4400 Departamento en Venta en Palermo, Capital Federal 2 dorm. 2 baños 3 ambientes DEPARTAMENTO 3 AMBIENTES CON BALCÓN + DEPENDENCIA- EXCELENTE DISTRIBUCIÓN Departamento 3 ambientes al frente con balcón corrido, amplios ambientes, dependencia y ubicación estratégica en el corazón de palermo soho. Ideal vivienda o inversión. 2° piso por escalera. Nicaragua 4472 palermo soho excelente departamento de 3 ambientes con dependencia, ubicado en una de las zonas más buscadas de la ciudad, rodeado de propuestas gastronómicas, espacios verdes, medios de transporte y el perfil urbano característico de palermo soho. La propiedad se destaca por su distribución funcional, ambientes amplios y excelente luminosidad natural. Living comedor cómodo y luminoso. 2 dormitorios con placard. Cocina independiente con buen espacio de guardado. Dependencia de servicio / escritorio. Baño completo. Toilette o baño de servicio. Lavadero independiente. Muy buena ventilación en todos los ambientes. Terraza de uso común ficha técnica - living comedor: 5 x 4.10m - cocina: 3.35 x 3.20 m - hall de recepción: 3 x 1.70m - baño completo: 2.10 x 0.70 m - lavadero: 2.10 x 0.70 m - dependencia: 2.50 x 3 m - balcón: 7.70 x 1.20 m - dormitorio: 3 x 3.60 m - dormitorio: 3 x 3.50 m - toilette: 2 x 1 m - superficie cubierta: 77 m2 - sup total: 85 m2 ideal tanto para vivienda permanente como para inversión, por su ubicación estratégica y tipología muy buscada en el barrio. Ubicación: situado en pleno palermo soho, con cercanía a polos gastronómicos, comercios, plazas y múltiples medios de transporte. Una propiedad con metros, distribución y ubicación difícil de encontrar hoy en el barrio. Servicios inmobiliarios profesionales vsi consultá por: sucesiones tasaciones judiciales y profesionales operaciones de compra-venta simultáneas alquileres administración de propiedades trámites notariales asesoramiento integral y gratuito cucicba mat. 7402 emanuel villalba- villalba soluciones inmobiliarias el inmueble publicado no es accesible para personas con capacidades físicas reducidas. Las descripciones arquitectónicas y funcionales, valores de expensas impuestos, servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización. El interesado deberá realizar las verificaciones previamente a realizar cualquier operación. WhatsApp Contactar""}",
517e2fae5c2dbcbf988a,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--20075391,2026-08-15T23:56:14.455503+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,Duplex 90m2 Palermo Hollywood C/ Balcón Terraza y Cochera,,venta,departamento,,,,,USD,335000.0,USD 335.000 + $320.000 expensas,ARS,320000.0,expensas $320.000,3722.22,"Arévalo 1900, Piso 7",Arévalo,1900,7,,,,,,,,,,3,2,2,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/19357002/82408874-0400-46a2-bbe6-145a5e90ac4d_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 26 Ver más fotos 1 /34 Visto 61.709 USD 335.000 &plus; $320.000 expensas Arévalo 1900, Piso 7 Departamento en Venta en Palermo Hollywood, Palermo 90 m² cubie. 2 dorm. 17 años Duplex 90m2 Palermo Hollywood C/ Balcón Terraza y Cochera Departamento 3 ambientes en palermo hollywood, capital federal duplex 3 ambientes 90m2 c/ cochera, 2 baños, balcón aterrizado y vista panorámica en la mejor zona de palermo. 7mo piso, al frente, orientación este. Ubicado en arevalo casi esquina nicaragua - ubicacion premiun superficie total: 90m2 superficie cubierta 71,16m2 superficie descubierta: 18,44m2 apto credito planta baja, compuesta por un living comedor amplio todo ventanal al balcon terraza, cocina independiente y toilette de recepción. Living comedor con pisos de madera recien plastificados y aire acondicionado frio/calor, terraza con pisos de porcelanato. Cocina equipada con caldera maxi dual, mesada de cuarzo blanco con muy buen espacio de alacenas y bajo mesadas con cierre inteligente, conexión para lavarropas con carga frontal toilette de recepción con griferia fv y sanitarios roca monaco, mesada de marmol gris. Planta alta , compuesta por un pasillo amplio que puede ser un escritorio con dos dormitorios que dan al frente, ambos con placares empatados de piso a techo con puertas corredizas y con sus interiores. Dormitorio principal con aire acondicioando ferio/calor. Baño completo con bañera, pisos de porcelana, paredes de venecianas, sanitarios linea monaco de roca, griferia fv, bañera y mesada de mármol. Edificio de 9 pisos, con 1 solo ascensor y solo dos unidades funcionales por piso. Del 1er al 4 piso son dos unidades por piso y del 5 al 7 son duplex. No tiene encargado, portería alquilada que absorbe las expensas. Agua caliente individual y calefacción por losa radiante individual cochera a nivel de vereda - ingresas sin maniobrar. Precio us$ 335.000 (incluye cochera) expensas $320.000 (incluye aysa) - julio 2026 tomas tripputi - mat. Cucicba n 7969 aviso todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar. WhatsApp Contactar""}",
525444132d09afda30ab,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625,2026-08-15T23:56:14.464400+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,Araoz 1268,,venta,departamento,,,,,USD,330000.0,USD 330.000 + $203.300 expensas,,,,3666.67,"ARAOZ 1200, Piso 8",ARAOZ,1200,8,,,,,,,,,,4,3,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,https://www.argenprop.com/static-content/52644391/41b2eade-ae28-42b8-bf7c-8d29abd0873a_u_small.jpg,,,1,"{""texto_tarjeta"": ""+ 45 Ver más fotos 1 /53 Visto 54.004 USD 330.000 &plus; $203.300 expensas ARAOZ 1200, Piso 8 Departamento en Venta en Palermo, Capital Federal 90 m² cubie. 3 dorm. A Estrenar Araoz 1268 Venta 4 ambientes con balcón palermo + cochera u$s 30.000 + baulera u$s 10.000 ubicado en el corazón de palermo, a metros de av. Scalabrini ortiz y av. Córdoba, y en cercanía a plaza armenia y plaza serrano. Emplazado en una de las zonas más buscadas de la ciudad, rodeado de propuestas gastronómicas, comerciales y excelentes conexiones de transporte. Semipiso en piso alto con vista abierta, gran luminosidad y excelente distribución. Ideal para quienes buscan confort, ubicación y calidad constructiva. La unidad: piso alto al contra frente. Amplio living comedor con salida a balcón. Cocina independiente con comedor diario. Dormitorio principal en suite con vestidor. Dos dormitorios con frente interior de placard. Segundo baño completo con bañera. Excelente luz natural en todos los ambientes. El edificio: cocheras y bauleras. Bicicleteros. Terraza con parrilla. Solárium y duchas. Sistema de cámaras de seguridad con acceso remoto. Detalles de terminación: pisos de porcellanato en todos los ambientes. Aires acondicionados frio/calor. Artefactos sanitarios ferrum o roca. Grifería fv o similar. Cocina a gas de primera marca. Muebles de cocina completos. Conexión para lavarropas y lava vajilla. Sunscreens en living y blackouts en dormitorios. Lepore palermo lepore propiedades s.A. Cuit : -9 c.U.C.I.C.B.A. Matrícula nº 931 (sucursales caballito - palermo - centro) nota: los materiales y especificaciones del plano están sujetos a modificaciones arquitectónicas y otras a la sola discreción del desarrollador, constructor o arquitecto, o que así se requiera por ley. Los planos de planta pueden no ser a escala. Cualquier mueble, electrodoméstico o artículo de decorado representado aquí se muestra únicamente con fines artísticos e ilustrativos y no está incluido en la compra y venta de la residencia. Las dimensiones indicadas se miden a los límites exteriores de la pared exterior y la línea central de las paredes interiores y, de hecho, varían de las dimensiones que se determinarían mediante el uso de la descripción y definición de la \""unidad\"" que se establece en la declaración (que generalmente sólo incluye el espacio aéreo interno entre las paredes perimetrales y excluye los componentes estructurales interiores). Además, las mediciones de habitaciones establecidas en cualquier plano de planta se toman generalmente en los mayores puntos de cada habitación determinada (como si la habitación fuera un rectángulo perfecto), sin tener en cuenta las salidas del corte. En consecuencia, el área de la habitación real será típicamente menor que el producto obtenido multiplicando la longitud por la anchura declarados. Todas las dimensiones son aproximadas y todos los planos y planes de desarrollo están sujetos a cambios. Representaciones orales no pueden considerarse como correctas declaraciones del desarrollador. Propiedad según ley 5115 la accesibilidad para las personas con discapacidades físicas. \""Accesible\"" WhatsApp Contactar""}",
edfa9e851f65c8a047a2,Argenprop,https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214,2026-08-15T23:56:14.472675+00:00,https://www.argenprop.com/departamentos/venta/capital-federal,1,200,1,modo_listado_sin_ficha_detallada,"Semipiso 4 Ambientes, Cochera Fija, baulera, SUITE dos baños completos, balcón aterrazado",,venta,departamento,,,,,USD,280000.0,USD 280.000 + $300.000 expensas,,,,3218.39,"Honduras 3900, Piso 2º",Honduras,3900,2,,,,,,,,,,4,2,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,https://www.argenprop.com/static-content/4120709/f2504496-303d-4f8b-9111-72c584828d55_u_small.jpg,,,1,"{""texto_tarjeta"": ""1 /3 Visto 54.001 USD 280.000 &plus; $300.000 expensas Honduras 3900, Piso 2º Departamento en Venta en Palermo Viejo, Palermo 87 m² cubie. 2 dorm. 20 años Semipiso 4 Ambientes, Cochera Fija, baulera, SUITE dos baños completos, balcón aterrazado Venta semipiso 4 ambientes, dos baños completos, jacuzzi, gran baulera, impecable estado - con cochera fija cubierta + gran baulera (habitación) semipiso al frente y contra frente con balcón aterrazado + baulera (habitación) impecable y muy luminoso departamento en semipiso de cuatro ambientes: con balcón y vista al frente y contra frente - dos dormitorios con el principal en suite y baño con hidromasaje, (dos baños completos) superficie total: 88 m2. (Como corresponde, en esta superficie no están incluidadas las de la cochera ni de la baulera) - en impecable estado - antigüedad 20 años - acceso desde la calle por doble puerta de seguridad - gran baulera. En este precio está incluida una cochera fija y cubierta de este departamento. - Acceso a cocheras mediante cómoda rampa - el ascensor llega hasta el subsuelo mostramos este inmueble en el día amplio y luminoso estar más comedor. Posee un gran ventanal apaisado con salida a balcón aterrazado. Cocina separada con comedor diario, cocina equipada con alacenas y bajo mesadas. Lavadero incorporado, dos baños completos con el principal en suite. Dormitorio secundario con amplio placard. - Calefacción y agua caliente por caldera propia (peisa) - baulera (habitaciön) - cochera fija cubierta incluida en el precio publicado - balcón aterrazado al contra frente de 3,72 x 1,60 metros - aire acondicionado split - sistema de cableado para televisión/internet embutido edificio no apto para personas con capacidades disminuidas excelente ubicación por estar ubicado sobre la arbolada av. Honduras y cerca de av. Santa fé y alto palermo con numerosas líneas de colectivos y línea de subte d. WhatsApp Contactar""}",
