property_id,fuente,url,search_url,pagina_origen,posicion_pagina,scraped_at_utc,http_status,parse_ok,parse_warnings,titulo,tipo_propiedad,tipo_operacion,descripcion,anfitrion,superhost,estado_publicacion,moneda,precio,precio_texto,precio_por_noche_texto,precio_total_texto,expensas_texto,precio_m2_calculado,direccion_completa,barrio,localidad,provincia,pais,codigo_postal,latitud,longitud,huespedes,dormitorios,camas,banios,superficie_total_m2,rating,cantidad_resenas,categoria_airbnb,distancia_texto,ubicacion_texto,amenities_texto,atributos_texto,cantidad_imagenes,imagen_principal,imagen_id,texto_tarjeta,datos_embebidos_json
AIRBNB1756893228277400761,Airbnb,https://www.airbnb.com.ar/rooms/1756893228277400761,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,1,2026-09-05T17:17:16.959162+00:00,200,1,,Loft en Montserrat,loft,alquiler temporal,,,0,publica,ARS,175.0,$ 175,$ 175,,,,Monoambiente Premium totalmente equipado,,,,Argentina,,,,,,2,1,,,,,,Monoambiente Premium totalmente equipado,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1756893228277400761/original/476c2087-f6af-4ccd-920a-15609f5023df.jpeg?im_w=720,,"Loft en Montserrat Monoambiente Premium totalmente equipado 2 camas 2 camas , · 1 baño 1 baño 28 de oct al 2 de nov 28 de oct al 2 de nov $ 175 USD Mostrar el desglose del precio por 5 noches $ 175 USD por 5 noches Cancelación gratuita Lugar nuevo para alojarse Nuevo",
AIRBNB1758226527045792966,Airbnb,https://www.airbnb.com.ar/rooms/1758226527045792966,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,2,2026-09-05T17:17:17.006509+00:00,200,1,,Departamento en Balvanera,departamento,alquiler temporal,,,1,publica,ARS,215.0,$ 215,$ 215,,,,Departamento único y elegante de un dormitorio,,,,Argentina,,,,,1,2,1,,,,,,Departamento único y elegante de un dormitorio,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1758226527045792966/original/67651b08-2b4b-459e-acd0-3572aa6159bd.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Balvanera Departamento único y elegante de un dormitorio 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 baño 1 baño 07 – 12 de 09 07 – 12 de 09 $ 215 USD Mostrar el desglose del precio por 5 noches $ 215 USD por 5 noches Lugar nuevo para alojarse Nuevo",
AIRBNB1694209521771979215,Airbnb,https://www.airbnb.com.ar/rooms/1694209521771979215,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,3,2026-09-05T17:17:17.043151+00:00,200,1,,Departamento en Almagro,departamento,alquiler temporal,,,0,publica,ARS,243.0,$ 243,$ 243,,,,Excelente depto. Palermo Almagro zona centro Bs As,,,,Argentina,,,,,1,2,1,,,,,,Excelente depto. Palermo Almagro zona centro Bs As,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1694209521771979215/original/b0d9c73a-5dff-418b-9734-178fc53c3dfa.jpeg?im_w=720,,"Departamento en Almagro Excelente depto. Palermo Almagro zona centro Bs As 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 baño 1 baño 13 – 18 de 09 13 – 18 de 09 $ 243 USD Mostrar el desglose del precio por 5 noches $ 243 USD por 5 noches Cancelación gratuita",
AIRBNB1758147922514654880,Airbnb,https://www.airbnb.com.ar/rooms/1758147922514654880,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,4,2026-09-05T17:17:17.087114+00:00,200,1,,Departamento en Barracas,departamento,alquiler temporal,,,0,publica,ARS,200.0,$ 200,$ 200,,,,Departamento en Moca 2 Barracas. Nuevo. Airbnb,,,,Argentina,,,,,1,1,1,,,,,,Departamento en Moca 2 Barracas. Nuevo. Airbnb,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1758147922514654880/original/31592976-3a1f-48f6-afe7-d55d2025e295.jpeg?im_w=720,,"Departamento en Barracas Departamento en Moca 2 Barracas. Nuevo. Airbnb 1 dormitorio 1 dormitorio , · 1 cama doble 1 cama doble , · 1 baño 1 baño 27 de sept al 2 de oct 27 de sept al 2 de oct $ 200 USD Mostrar el desglose del precio por 5 noches $ 200 USD por 5 noches Cancelación gratuita Lugar nuevo para alojarse Nuevo",
AIRBNB1740793141102206063,Airbnb,https://www.airbnb.com.ar/rooms/1740793141102206063,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,5,2026-09-05T17:17:17.127165+00:00,200,1,,Departamento en complejo residencial en Montserrat,departamento,alquiler temporal,,,0,publica,ARS,220.0,$ 220,$ 220,,,,Departamento en Buenos Aires Céntrico y luminoso,,,,Argentina,,,,,1,1,1,,4.93,,,,Departamento en Buenos Aires Céntrico y luminoso,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en complejo residencial en Montserrat Departamento en Buenos Aires Céntrico y luminoso 1 dormitorio 1 dormitorio , · 1 cama doble 1 cama doble , · 1 baño 1 baño 18 – 23 de 09 18 – 23 de 09 $ 220 USD Mostrar el desglose del precio por 5 noches $ 220 USD por 5 noches Cancelación gratuita Calificación promedio: 4,93 de 5. 15 evaluaciones 4,93 (15)",
AIRBNB1751659538884366407,Airbnb,https://www.airbnb.com.ar/rooms/1751659538884366407,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,6,2026-09-05T17:17:17.165688+00:00,200,1,,Departamento en Recoleta,departamento,alquiler temporal,,,0,publica,ARS,225.0,$ 225,$ 225,,,,Ubicación Top en Recoleta - Céntrico y Seguro,,,,Argentina,,,,,1,2,1,,5.0,,,,Ubicación Top en Recoleta - Céntrico y Seguro,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Recoleta Ubicación Top en Recoleta - Céntrico y Seguro 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 baño 1 baño 20 – 25 de 09 20 – 25 de 09 $ 225 USD Mostrar el desglose del precio por 5 noches $ 225 USD por 5 noches Cancelación gratuita Calificación promedio: 5,0 de 5. 6 evaluaciones 5,0 (6)",
AIRBNB1016109598432866518,Airbnb,https://www.airbnb.com.ar/rooms/1016109598432866518,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,7,2026-09-05T17:17:17.201742+00:00,200,1,,Departamento en Palermo,departamento,alquiler temporal,,,1,publica,USD,340.0,$ 340 USD $ 295 USD Mostrar el desglose del precio por 5 noches,$ 340 USD $ 295 USD Mostrar el desglose del precio por 5 noches,,,,Monoambiente alto palermo,,,,Argentina,,,,,1,1,1,,4.85,,,,Monoambiente alto palermo,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1016109598432866518/original/aa3a86c4-b727-45f0-836c-01a638027d4f.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Palermo Monoambiente alto palermo 1 dormitorio 1 dormitorio , · 1 cama 1 cama , · 1 baño 1 baño 04 – 09 de 10 04 – 09 de 10 $ 340 USD $ 295 USD Mostrar el desglose del precio por 5 noches Cancelación gratuita Calificación promedio: 4,85 de 5. 291 evaluaciones 4,85 (291)",
AIRBNB1745264676838743025,Airbnb,https://www.airbnb.com.ar/rooms/1745264676838743025,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,8,2026-09-05T17:17:17.239273+00:00,200,1,,Departamento en San Nicolás,departamento,alquiler temporal,,,0,publica,ARS,330.0,$ 330,$ 330,,,,"Unico, cómodo, con ubicación preferencial y garage",,,,Argentina,,,,,1,4,1,,4.75,,,,"Unico, cómodo, con ubicación preferencial y garage",,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1745264676838743025/original/2693d0cc-9e28-4532-8138-0f87a24959c8.jpeg?im_w=720,,"Departamento en San Nicolás Unico, cómodo, con ubicación preferencial y garage 1 dormitorio 1 dormitorio , · 4 camas 4 camas , · 1 baño 1 baño 27 de sept al 2 de oct 27 de sept al 2 de oct $ 330 USD Mostrar el desglose del precio por 5 noches $ 330 USD por 5 noches Cancelación gratuita Calificación promedio: 4,75 de 5. 4 evaluaciones 4,75 (4)",
AIRBNB1747536218929896725,Airbnb,https://www.airbnb.com.ar/rooms/1747536218929896725,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,9,2026-09-05T17:17:17.276466+00:00,200,1,,Departamento en Chacarita,departamento,alquiler temporal,,,0,publica,ARS,264.0,$ 264,$ 264,,,,Hermoso Dpto en Chacarita a Mts del Movistar Arena,,,,Argentina,,,,,1,2,1,,5.0,,,,Hermoso Dpto en Chacarita a Mts del Movistar Arena,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Chacarita Hermoso Dpto en Chacarita a Mts del Movistar Arena 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 264 USD Mostrar el desglose del precio por 5 noches $ 264 USD por 5 noches Calificación promedio: 5,0 de 5. 6 evaluaciones 5,0 (6)",
AIRBNB1754745023009101928,Airbnb,https://www.airbnb.com.ar/rooms/1754745023009101928,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,10,2026-09-05T17:17:17.315610+00:00,200,1,,Departamento en San Nicolás,departamento,alquiler temporal,,,0,publica,ARS,275.0,$ 275,$ 275,,,,"Luz, diseño y confort en el corazón de BA",,,,Argentina,,,,,2,2,1,,,,,,"Luz, diseño y confort en el corazón de BA",,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1754745023009101928/original/ba724796-845c-4c71-9552-977ef1d3ca8e.jpeg?im_w=720,,"Departamento en San Nicolás Luz, diseño y confort en el corazón de BA 2 dormitorios 2 dormitorios , · 2 camas 2 camas , · 1 baño 1 baño 26 de sept al 1 de oct 26 de sept al 1 de oct $ 275 USD Mostrar el desglose del precio por 5 noches $ 275 USD por 5 noches Cancelación gratuita Lugar nuevo para alojarse Nuevo",
AIRBNB1433455619351402139,Airbnb,https://www.airbnb.com.ar/rooms/1433455619351402139,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,1,1,2026-09-05T17:20:35.913162+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,ARS,537.0,$ 537,$ 537,,,,Departamento de lujo | Gimnasio y cowork | Centro de BA Obelisco,,,,Argentina,,,,,,1,1,,4.97,,,,Departamento de lujo | Gimnasio y cowork | Centro de BA Obelisco,,,2,https://a0.muscache.com/im/pictures/airbnb-platform-assets/AirbnbPlatformAssets-GuestFavorite/original/4d090f93-f9a5-4f06-95e4-ca737c0d0ab5.png?im_w=240,,"Favorito entre los huéspedes más destacados Favorito entre huéspedes Departamento en Buenos Aires Departamento de lujo | Gimnasio y cowork | Centro de BA Obelisco 1 cama queen 1 cama queen , · 1 baño 1 baño 09 – 14 de 09 09 – 14 de 09 $ 537 USD Mostrar el desglose del precio por 5 noches $ 537 USD por 5 noches Calificación promedio: 4,97 de 5. 554 evaluaciones 4,97 (554)",
AIRBNB1743194054137533306,Airbnb,https://www.airbnb.com.ar/rooms/1743194054137533306,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,3,2026-09-05T17:20:49.510903+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,1,publica,ARS,683.0,$ 683,$ 683,,,,Mansión Botánico Exclusive,,,,Argentina,,,,,1,2,1,,5.0,,,,Mansión Botánico Exclusive,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1743194054137533306/original/fdd0267a-fe8c-4173-9218-ddf4263b35e8.jpeg?im_w=720,,"Superanfitrión Superanfitrión Departamento en Buenos Aires Mansión Botánico Exclusive 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 baño 1 baño 13 – 18 de 09 13 – 18 de 09 $ 683 USD Mostrar el desglose del precio por 5 noches $ 683 USD por 5 noches Cancelación gratuita Calificación promedio: 5,0 de 5. 5 evaluaciones 5,0 (5)",
AIRBNB1728487435633735272,Airbnb,https://www.airbnb.com.ar/rooms/1728487435633735272,https://www.airbnb.com.ar/s/Buenos-Aires--Argentina/homes,2,4,2026-09-05T17:20:49.554819+00:00,200,1,,Departamento en Buenos Aires,departamento,alquiler temporal,,,0,publica,USD,248.0,$ 248 USD $ 204 USD Mostrar el desglose del precio por 5 noches,$ 248 USD $ 204 USD Mostrar el desglose del precio por 5 noches,,,,Elegante estudio en Palermo Chico by Magno,,,,Argentina,,,,,1,2,1,,5.0,,,,Elegante estudio en Palermo Chico by Magno,,,1,https://a0.muscache.com/im/pictures/hosting/Hosting-1728487435633735272/original/3ef7ed78-6d02-453d-b105-913cf6122f59.jpeg?im_w=720,,"Favorito entre huéspedes Favorito entre huéspedes Departamento en Buenos Aires Elegante estudio en Palermo Chico by Magno 1 dormitorio 1 dormitorio , · 2 camas 2 camas , · 1 baño 1 baño 06 – 11 de 09 06 – 11 de 09 $ 248 USD $ 204 USD Mostrar el desglose del precio por 5 noches Calificación promedio: 5,0 de 5. 8 evaluaciones 5,0 (8)",
