item_id,fuente,url,search_url,pagina_origen,scraped_at_utc,titulo,tipo_propiedad,tipo_operacion,moneda,precio,precio_texto,desde,inmobiliaria,direccion,barrio,localidad,provincia,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,tipo_superficie,imagen_principal,destacado,emprendimiento,posesion,unidades_disponibles,atributos_texto,texto_tarjeta,parse_warnings,posicion_pagina,slug,calle,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,estado_entrega,cantidad_atributos,completitud_pct,imagen_id,imagen_extension
MLA2698335478,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2698335478-departamento-alquiler-temporario-3-ambientes-amoblado-y-equipado-recoleta-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.502870+00:00,Departamento Alquiler Temporario 3 Ambientes Amoblado Y Equipado Recoleta,departamento,alquiler temporal,USD,1400.0,US$ 1.400,0,,"Av. Cnel. Díaz 2400, Recoleta, Capital Federal",Recoleta,Capital Federal,Capital Federal,3,3,3,3,,,120.0,120.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_786192-MLA102668267049_122025-E.webp,1,0,,,3 ambs. | 3 baños | 120 m² cubiertos,"Departamento en alquiler temporal Departamento Alquiler Temporario 3 Ambientes Amoblado Y Equipado Recoleta US$ 1.400 3 ambs. 3 baños 120 m² cubiertos Av. Cnel. Díaz 2400, Recoleta, Capital Federal Destacado",,1,MLA-2698335478-departamento-alquiler-temporario-3-ambientes-amoblado-y-equipado-recoleta-_JM,Av. Cnel. Díaz,2400,2,,,11.67,11.67,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_786192-MLA102668267049_122025-E,webp
MLA1613951673,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1613951673-departamento-alquiler-temporario-4-ambientes-amoblado-y-equipado-recoleta-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.504281+00:00,Departamento Alquiler Temporario 4 Ambientes Amoblado Y Equipado Recoleta,departamento,alquiler temporal,USD,1400.0,US$ 1.400,0,,"Av. Cnel. Díaz 2400, Recoleta, Capital Federal",Recoleta,Capital Federal,Capital Federal,4,4,3,3,,,120.0,120.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_936064-MLA102667552269_122025-E.webp,1,0,,,4 ambs. | 3 baños | 120 m² cubiertos,"Departamento en alquiler temporal Departamento Alquiler Temporario 4 Ambientes Amoblado Y Equipado Recoleta US$ 1.400 4 ambs. 3 baños 120 m² cubiertos Av. Cnel. Díaz 2400, Recoleta, Capital Federal Destacado",,2,MLA-1613951673-departamento-alquiler-temporario-4-ambientes-amoblado-y-equipado-recoleta-_JM,Av. Cnel. Díaz,2400,2,,,11.67,11.67,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_936064-MLA102667552269_122025-E,webp
MLA3809030658,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3809030658-alquiler-temporal-3-ambientes-puerto-madero-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.505059+00:00,Alquiler Temporal 3 Ambientes Puerto Madero,departamento,alquiler temporal,USD,4000.0,US$ 4.000,0,,"Lola Mora Al 400. Entre Juana Manso Y Julieta Lanteri, Puerto Madero, Capital Federal",Puerto Madero,Capital Federal,Capital Federal,3,3,1,1,,,100.0,100.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_950518-MLA114987131426_082026-E.webp,1,0,,,3 ambs. | 1 baño | 100 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporal 3 Ambientes Puerto Madero US$ 4.000 3 ambs. 1 baño 100 m² cubiertos Lola Mora Al 400. Entre Juana Manso Y Julieta Lanteri, Puerto Madero, Capital Federal Destacado",,3,MLA-3809030658-alquiler-temporal-3-ambientes-puerto-madero-_JM,Lola Mora Al 400. Entre Juana Manso Y Julieta Lanteri,,1,,,40.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_950518-MLA114987131426_082026-E,webp
MLA3731193956,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3731193956-alquiler-temporal-amoblado-3-ambientes-cbalcon-colegiales-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.506094+00:00,Alquiler Temporal Amoblado 3 Ambientes C/balcón Colegiales,departamento,alquiler temporal,USD,2300.0,US$ 2.300,0,,"Enrique Martinez Al 200. Entre Santos Dumont Y Av Jorge Newbery, Colegiales, Capital Federal",Colegiales,Capital Federal,Capital Federal,3,3,2,2,,,71.0,71.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_775173-MLA114307029642_082026-E.webp,1,0,,,3 ambs. | 2 baños | 71 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporal Amoblado 3 Ambientes C/balcón Colegiales US$ 2.300 3 ambs. 2 baños 71 m² cubiertos Enrique Martinez Al 200. Entre Santos Dumont Y Av Jorge Newbery, Colegiales, Capital Federal Destacado",,4,MLA-3731193956-alquiler-temporal-amoblado-3-ambientes-cbalcon-colegiales-_JM,Enrique Martinez Al 200. Entre Santos Dumont Y Av Jorge Newbery,,13,,,32.39,32.39,0.0,0,0,0,0,1,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_775173-MLA114307029642_082026-E,webp
MLA3862278974,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3862278974-alquiler-amoblado-2-ambientes-concepcion-live-colegiales-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.507157+00:00,Alquiler Amoblado 2 Ambientes Concepción Live Colegiales,departamento,alquiler temporal,USD,2200.0,US$ 2.200,0,,"Concepcion Arenal Al 2900. Entre Zapiola Y Conesa, Palermo Hollywood, Capital Federal",Palermo Hollywood,Capital Federal,Capital Federal,2,2,1,1,,,45.0,45.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_853635-MLA116722972359_082026-E.webp,1,0,,,2 ambs. | 1 baño | 45 m² cubiertos,"Departamento en alquiler temporal Alquiler Amoblado 2 Ambientes Concepción Live Colegiales US$ 2.200 2 ambs. 1 baño 45 m² cubiertos Concepcion Arenal Al 2900. Entre Zapiola Y Conesa, Palermo Hollywood, Capital Federal Destacado",,5,MLA-3862278974-alquiler-amoblado-2-ambientes-concepcion-live-colegiales-_JM,Concepcion Arenal Al 2900. Entre Zapiola Y Conesa,,14,,,48.89,48.89,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_853635-MLA116722972359_082026-E,webp
MLA3868959096,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3868959096-departamento-en-alquiler-amoblado-temporario-2-pax-lavarropas-recoleta-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.507903+00:00,Departamento En Alquiler Amoblado Temporario 2 Pax. Lavarropas. Recoleta,departamento,alquiler temporal,USD,700.0,US$ 700,0,,"Uriburu 1514 Al 1500, Recoleta, Capital Federal",Recoleta,Capital Federal,Capital Federal,2,2,1,1,,,30.0,30.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_782360-MLA116773788855_082026-E.webp,1,0,,,2 ambs. | 1 baño | 30 m² cubiertos,"Departamento en alquiler temporal Departamento En Alquiler Amoblado Temporario 2 Pax. Lavarropas. Recoleta US$ 700 2 ambs. 1 baño 30 m² cubiertos Uriburu 1514 Al 1500, Recoleta, Capital Federal Destacado",,6,MLA-3868959096-departamento-en-alquiler-amoblado-temporario-2-pax-lavarropas-recoleta-_JM,Uriburu 1514 Al,1500,2,,,23.33,23.33,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_782360-MLA116773788855_082026-E,webp
MLA3770431896,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3770431896-alquiler-temporal-2-ambientes-concepcion-live-colegiales-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.508680+00:00,Alquiler Temporal 2 Ambientes Concepción Live Colegiales,departamento,alquiler temporal,USD,2000.0,US$ 2.000 BAJÓ DE PRECIO,0,,"Concepcion Arenal Al 2900. Entre Zapiola Y Conesa, Colegiales, Capital Federal",Colegiales,Capital Federal,Capital Federal,2,2,1,1,,,47.0,47.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_683008-MLA115963493569_082026-E.webp,1,0,,,2 ambs. | 1 baño | 47 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporal 2 Ambientes Concepción Live Colegiales US$ 2.500 US$ 2.000 BAJÓ DE PRECIO 2 ambs. 1 baño 47 m² cubiertos Concepcion Arenal Al 2900. Entre Zapiola Y Conesa, Colegiales, Capital Federal Destacado",,7,MLA-3770431896-alquiler-temporal-2-ambientes-concepcion-live-colegiales-_JM,Concepcion Arenal Al 2900. Entre Zapiola Y Conesa,,13,,,42.55,42.55,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_683008-MLA115963493569_082026-E,webp
MLA1981334047,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1981334047-alquiler-temporal-4-ambientes-amoblado-con-cochera-bajo-belgrano-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.509940+00:00,Alquiler Temporal 4 Ambientes Amoblado Con Cochera Bajo Belgrano,departamento,alquiler temporal,USD,3100.0,US$ 3.100,0,,"Dragones Al 2200. Entre Av. Olazabal Y Mendoza, Belgrano, Capital Federal",Belgrano,Capital Federal,Capital Federal,4,4,2,2,,,107.0,107.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_746972-MLA116025845805_082026-E.webp,1,0,,,4 ambs. | 2 baños | 107 m² cubiertos,"Departamento en alquiler temporal Alquiler Temporal 4 Ambientes Amoblado Con Cochera Bajo Belgrano US$ 3.100 4 ambs. 2 baños 107 m² cubiertos Dragones Al 2200. Entre Av. Olazabal Y Mendoza, Belgrano, Capital Federal Destacado",,8,MLA-1981334047-alquiler-temporal-4-ambientes-amoblado-con-cochera-bajo-belgrano-_JM,Dragones Al 2200. Entre Av. Olazabal Y Mendoza,,13,,,28.97,28.97,0.0,0,0,0,0,0,0,0,0,1,0,,3,85.7,D_NQ_NP_2X_746972-MLA116025845805_082026-E,webp
MLA3792111602,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3792111602-departamento-en-puerto-madero-2-ambientes-amoblado-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.510713+00:00,Departamento En Puerto Madero 2 Ambientes Amoblado,departamento,alquiler temporal,USD,3200.0,US$ 3.200,0,,"The Link Tower - 2 Ambientes - 65 M2 - Puerto Madero, Puerto Madero, Capital Federal",Puerto Madero,Capital Federal,Capital Federal,2,2,1,1,,,65.0,65.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_609551-MLA116210242073_082026-E.webp,1,0,,,2 ambs. | 1 baño | 65 m² cubiertos,"Departamento en alquiler temporal Departamento En Puerto Madero 2 Ambientes Amoblado US$ 3.200 2 ambs. 1 baño 65 m² cubiertos The Link Tower - 2 Ambientes - 65 M2 - Puerto Madero, Puerto Madero, Capital Federal Destacado",,9,MLA-3792111602-departamento-en-puerto-madero-2-ambientes-amoblado-_JM,The Link Tower - 2 Ambientes - 65 M2 - Puerto Madero,,1,,,49.23,49.23,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_609551-MLA116210242073_082026-E,webp
MLA3899903132,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3899903132-departamento-alquiler-temporal-monoambiente-amenities-las-canitas-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler-temporal/capital-federal/,1,2026-09-03T17:22:27.511560+00:00,Departamento Alquiler Temporal Monoambiente Amenities Las Cañitas,departamento,alquiler temporal,ARS,650000.0,$ 650.000,0,,"Federico Lacroze 1800, Las Cañitas, Capital Federal",Las Cañitas,Capital Federal,Capital Federal,1,1,1,1,,,35.0,35.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_612926-MLA115589565578_092026-E.webp,1,0,,,1 amb. | 1 baño | 35 m² cubiertos,"PUBLICADO ESTA SEMANA Departamento en alquiler temporal Departamento Alquiler Temporal Monoambiente Amenities Las Cañitas $ 650.000 1 amb. 1 baño 35 m² cubiertos Federico Lacroze 1800, Las Cañitas, Capital Federal Destacado",,10,MLA-3899903132-departamento-alquiler-temporal-monoambiente-amenities-las-canitas-_JM,Federico Lacroze,1800,,,,18571.43,18571.43,0.0,0,0,1,0,0,0,0,0,0,1,,3,85.7,D_NQ_NP_2X_612926-MLA115589565578_092026-E,webp
