item_id,fuente,url,search_url,pagina_origen,scraped_at_utc,titulo,tipo_propiedad,tipo_operacion,moneda,precio,precio_texto,desde,inmobiliaria,direccion,barrio,localidad,provincia,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,tipo_superficie,imagen_principal,destacado,emprendimiento,posesion,unidades_disponibles,atributos_texto,texto_tarjeta,parse_warnings,posicion_pagina,slug,calle,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,estado_entrega,cantidad_atributos,completitud_pct,imagen_id,imagen_extension
MLA2052442697,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2052442697-departamento-en-alquiler-de-4-ambientes-con-dependencia-y-cochera-en-palermo-chico-con-amenities-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.494669+00:00,Departamento En Alquiler De 4 Ambientes Con Dependencia Y Cochera En Palermo Chico Con Amenities,departamento,alquiler,USD,5000.0,US$ 5.000,0,Khabbaz Propiedades,"Segui Al 3600, Palermo Chico, Capital Federal",Palermo Chico,Capital Federal,Capital Federal,4,4,3,3,,,210.0,210.0,total,https://http2.mlstatic.com/D_NQ_NP_2X_926918-MLA116997522333_082026-E.webp,1,0,,,4 ambs. | 3 baños | 210 m² totales,"PUBLICADO ESTA SEMANA Departamento en alquiler Departamento En Alquiler De 4 Ambientes Con Dependencia Y Cochera En Palermo Chico Con Amenities Khabbaz Propiedades US$ 5.000 4 ambs. 3 baños 210 m² totales Segui Al 3600, Palermo Chico, Capital Federal Destacado",,1,MLA-2052442697-departamento-en-alquiler-de-4-ambientes-con-dependencia-y-cochera-en-palermo-chico-con-amenities-_JM,Segui Al,3600,14,,,23.81,23.81,0.0,0,0,0,0,0,0,0,0,1,1,,3,100.0,D_NQ_NP_2X_926918-MLA116997522333_082026-E,webp
MLA3906770142,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3906770142-alquiler-nunez-2-ambientes-con-balcon-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.496463+00:00,Alquiler Nuñez 2 Ambientes Con Balcon,departamento,alquiler,ARS,1300000.0,$ 1.300.000,0,,"Av Libertador Al 8100. Entre Ruiz Huidobro, Núñez, Capital Federal",Núñez,Capital Federal,Capital Federal,2,2,2,2,,,63.0,63.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_659510-MLA112732929456_062026-E.webp,1,0,,,2 ambs. | 2 baños | 63 m² cubiertos,"PUBLICADO HOY Departamento en alquiler Alquiler Nuñez 2 Ambientes Con Balcon $ 1.300.000 2 ambs. 2 baños 63 m² cubiertos Av Libertador Al 8100. Entre Ruiz Huidobro, Núñez, Capital Federal Destacado",,2,MLA-3906770142-alquiler-nunez-2-ambientes-con-balcon-_JM,Av Libertador Al 8100. Entre Ruiz Huidobro,,13,,,20634.92,20634.92,0.0,0,0,0,0,1,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_659510-MLA112732929456_062026-E,webp
MLA2057533195,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2057533195-alquiler-live-hotel-2-ambientes-full-amenities-en-palermo-hollywood-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.497158+00:00,Alquiler Live Hotel 2 Ambientes Full Amenities En Palermo Hollywood,departamento,alquiler,ARS,1450000.0,$ 1.450.000,0,,"Nicaragua Al 6000, Palermo Hollywood, Capital Federal",Palermo Hollywood,Capital Federal,Capital Federal,2,2,1,1,,,61.0,61.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_606500-MLA115633010940_092026-E.webp,1,0,,,2 ambs. | 1 baño | 61 m² cubiertos,"PUBLICADO HOY Departamento en alquiler Alquiler Live Hotel 2 Ambientes Full Amenities En Palermo Hollywood $ 1.450.000 2 ambs. 1 baño 61 m² cubiertos Nicaragua Al 6000, Palermo Hollywood, Capital Federal Destacado",,3,MLA-2057533195-alquiler-live-hotel-2-ambientes-full-amenities-en-palermo-hollywood-_JM,Nicaragua Al,6000,14,,,23770.49,23770.49,0.0,0,0,0,0,0,0,0,0,0,1,,3,85.7,D_NQ_NP_2X_606500-MLA115633010940_092026-E,webp
MLA3907705666,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3907705666-palacio-bellini-3-dormitorios-2-banos-toilette-cochera-pileta-gimnasio-sum-spa-palermo-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.497799+00:00,Palacio Bellini 3 Dormitorios 2 Baños Toilette Cochera Pileta Gimnasio Sum Spa Palermo,departamento,alquiler,USD,3500.0,US$ 3.500,0,,"República Árabe Siria Al 3000, Palermo, Capital Federal",Palermo,Capital Federal,Capital Federal,4,4,2,2,,,120.0,120.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_617430-MLA117092597013_092026-E.webp,1,0,,,4 ambs. | 2 baños | 120 m² cubiertos,"PUBLICADO HOY Departamento en alquiler Palacio Bellini 3 Dormitorios 2 Baños Toilette Cochera Pileta Gimnasio Sum Spa Palermo US$ 3.500 4 ambs. 2 baños 120 m² cubiertos República Árabe Siria Al 3000, Palermo, Capital Federal Destacado",,4,MLA-3907705666-palacio-bellini-3-dormitorios-2-banos-toilette-cochera-pileta-gimnasio-sum-spa-palermo-_JM,República Árabe Siria Al,3000,14,,,29.17,29.17,0.0,0,0,0,0,0,0,1,0,1,1,,3,85.7,D_NQ_NP_2X_617430-MLA117092597013_092026-E,webp
MLA3908849774,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3908849774-alquiler-torre-jaramillo-nunez-2-dormitorios-2-banos-completos-vigilancia-24hs-cochera-amenities-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.498422+00:00,Alquiler Torre Jaramillo Nuñez 2 Dormitorios 2 Baños Completos Vigilancia 24hs Cochera Amenities,departamento,alquiler,USD,1700.0,US$ 1.700,0,,"Jaramillo Al 1600, Núñez, Capital Federal",Núñez,Capital Federal,Capital Federal,3,3,2,2,,,76.0,76.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_772046-MLA115664117330_092026-E.webp,1,0,,,3 ambs. | 2 baños | 76 m² cubiertos,"PUBLICADO HOY Departamento en alquiler Alquiler Torre Jaramillo Nuñez 2 Dormitorios 2 Baños Completos Vigilancia 24hs Cochera Amenities US$ 1.700 3 ambs. 2 baños 76 m² cubiertos Jaramillo Al 1600, Núñez, Capital Federal Destacado",,5,MLA-3908849774-alquiler-torre-jaramillo-nunez-2-dormitorios-2-banos-completos-vigilancia-24hs-cochera-amenities-_JM,Jaramillo Al,1600,13,,,22.37,22.37,0.0,0,0,0,0,0,0,0,0,1,1,,3,85.7,D_NQ_NP_2X_772046-MLA115664117330_092026-E,webp
MLA2055217129,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2055217129-departamento-alquiler-4-ambientes-amoblado-y-equipado-recoleta-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.499041+00:00,Departamento Alquiler 4 Ambientes Amoblado Y Equipado Recoleta,departamento,alquiler,USD,1400.0,US$ 1.400,0,,"Av. Cnel. Díaz 2400, Recoleta, Capital Federal",Recoleta,Capital Federal,Capital Federal,4,4,3,3,,,120.0,120.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_952213-MLA102668267865_122025-E.webp,1,0,,,4 ambs. | 3 baños | 120 m² cubiertos,"Departamento en alquiler Departamento Alquiler 4 Ambientes Amoblado Y Equipado Recoleta US$ 1.400 4 ambs. 3 baños 120 m² cubiertos Av. Cnel. Díaz 2400, Recoleta, Capital Federal Destacado",,6,MLA-2055217129-departamento-alquiler-4-ambientes-amoblado-y-equipado-recoleta-_JM,Av. Cnel. Díaz,2400,2,,,11.67,11.67,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_952213-MLA102668267865_122025-E,webp
MLA3903235038,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3903235038-departamento-alquiler-3-ambientes-amoblado-y-equipado-recoleta-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.499653+00:00,Departamento Alquiler 3 Ambientes Amoblado Y Equipado Recoleta,departamento,alquiler,USD,1400.0,US$ 1.400,0,,"Av. Cnel. Díaz 2400, Recoleta, Capital Federal",Recoleta,Capital Federal,Capital Federal,3,3,3,3,,,120.0,120.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_950144-MLA102159669344_122025-E.webp,1,0,,,3 ambs. | 3 baños | 120 m² cubiertos,"Departamento en alquiler Departamento Alquiler 3 Ambientes Amoblado Y Equipado Recoleta US$ 1.400 3 ambs. 3 baños 120 m² cubiertos Av. Cnel. Díaz 2400, Recoleta, Capital Federal Destacado",,7,MLA-3903235038-departamento-alquiler-3-ambientes-amoblado-y-equipado-recoleta-_JM,Av. Cnel. Díaz,2400,2,,,11.67,11.67,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_950144-MLA102159669344_122025-E,webp
MLA3898471066,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3898471066-alquiler-departamento-2-ambientes-en-retiro-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.500275+00:00,Alquiler Departamento 2 Ambientes En Retiro,departamento,alquiler,USD,850.0,US$ 850,0,LE Bienes Raices,"Leandro L Alem 700, Retiro, Capital Federal",Retiro,Capital Federal,Capital Federal,2,2,1,1,,,60.0,60.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_668162-MLA116990083797_082026-E.webp,1,0,,,2 ambs. | 1 baño | 60 m² cubiertos,"PUBLICADO ESTA SEMANA Departamento en alquiler Alquiler Departamento 2 Ambientes En Retiro LE Bienes Raices US$ 850 2 ambs. 1 baño 60 m² cubiertos Leandro L Alem 700, Retiro, Capital Federal Destacado",,8,MLA-3898471066-alquiler-departamento-2-ambientes-en-retiro-_JM,Leandro L Alem,700,1,,,14.17,14.17,0.0,0,0,0,0,0,0,0,0,0,0,,3,100.0,D_NQ_NP_2X_668162-MLA116990083797_082026-E,webp
MLA3899677810,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3899677810-departamento-en-venta-o-alquiler-en-villa-crespo-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.500893+00:00,Departamento En Venta O Alquiler En Villa Crespo,departamento,alquiler,ARS,1300000.0,$ 1.300.000,0,,"Scalabrini Ortiz Al 300, Villa Crespo, Capital Federal",Villa Crespo,Capital Federal,Capital Federal,2,2,1,1,,,56.0,56.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_886980-MLA115566046594_092026-E.webp,1,0,,,2 ambs. | 1 baño | 56 m² cubiertos,"PUBLICADO ESTA SEMANA Departamento en alquiler Departamento En Venta O Alquiler En Villa Crespo $ 1.300.000 2 ambs. 1 baño 56 m² cubiertos Scalabrini Ortiz Al 300, Villa Crespo, Capital Federal Destacado",,9,MLA-3899677810-departamento-en-venta-o-alquiler-en-villa-crespo-_JM,Scalabrini Ortiz Al,300,15,,,23214.29,23214.29,0.0,0,0,0,0,0,0,0,0,0,0,,3,85.7,D_NQ_NP_2X_886980-MLA115566046594_092026-E,webp
MLA2051666689,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2051666689-3-dormitorios-2-cocheras-luminoso-pileta-balcon-con-parrilla-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/,1,2026-09-03T16:45:14.501494+00:00,3 Dormitorios - 2 Cocheras - Luminoso - Pileta - Balcón Con Parrilla,departamento,alquiler,ARS,3500000.0,$ 3.500.000,0,,"Sucre Al 2200, Belgrano, Capital Federal",Belgrano,Capital Federal,Capital Federal,4,4,2,2,,,89.0,89.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_758142-MLA115543101398_082026-E.webp,1,0,,,4 ambs. | 2 baños | 89 m² cubiertos,"PUBLICADO ESTA SEMANA Departamento en alquiler 3 Dormitorios - 2 Cocheras - Luminoso - Pileta - Balcón Con Parrilla $ 3.500.000 4 ambs. 2 baños 89 m² cubiertos Sucre Al 2200, Belgrano, Capital Federal Destacado",,10,MLA-2051666689-3-dormitorios-2-cocheras-luminoso-pileta-balcon-con-parrilla-_JM,Sucre Al,2200,13,,,39325.84,39325.84,0.0,0,0,0,0,1,0,1,1,1,0,,3,85.7,D_NQ_NP_2X_758142-MLA115543101398_082026-E,webp
