item_id,fuente,url,search_url,pagina_origen,scraped_at_utc,titulo,tipo_propiedad,tipo_operacion,moneda,precio,precio_texto,desde,inmobiliaria,direccion,barrio,localidad,provincia,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,tipo_superficie,imagen_principal,destacado,emprendimiento,posesion,unidades_disponibles,atributos_texto,texto_tarjeta,parse_warnings,posicion_pagina,slug,calle,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,estado_entrega,cantidad_atributos,completitud_pct,imagen_id,imagen_extension
MLA1844045092,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1844045092-mine-migueletes-bajo-belgrano-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.814717+00:00,Mine Migueletes - Bajo Belgrano,departamento,venta,USD,198000.0,US$ 198.000,1,,"Migueletes 2306, Belgrano Chico, Capital Federal",Belgrano Chico,Capital Federal,Capital Federal,2,2,1,1,,,38.0,44.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_846087-MLA112858604644_072026-E.webp,1,1,Entrega inmediata,7.0,2 ambs. | 1 baño | 38 - 44 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Mine Migueletes - Bajo Belgrano Desde US$ 198.000 2 ambs. 1 baño 38 - 44 m² cubiertos Migueletes 2306, Belgrano Chico, Capital Federal Entrega inmediata 7 unidades disponibles Destacado",,1,MLA-1844045092-mine-migueletes-bajo-belgrano-_JM,Migueletes,2306,13,,,4500.0,5210.53,6.0,1,0,0,0,0,0,0,0,0,0,entrega_inmediata,3,85.7,D_NQ_NP_2X_846087-MLA112858604644_072026-E,webp
MLA1576121951,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1576121951-edificio-en-belgrano-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.815689+00:00,Edificio En Belgrano,departamento,venta,USD,925400.0,US$ 925.400,1,Martin Pinus,"Ramsay 1880, Belgrano, Capital Federal",Belgrano,Capital Federal,Capital Federal,4,4,3,4,,,152.0,198.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_774470-MLA97455216293_112025-E.webp,1,1,Venta en blanco,8.0,4 ambs. | 3 a 4 baños | 152 - 198 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio En Belgrano Martin Pinus Desde US$ 925.400 4 ambs. 3 a 4 baños 152 - 198 m² cubiertos Ramsay 1880, Belgrano, Capital Federal Venta en blanco 8 unidades disponibles Destacado",,2,MLA-1576121951-edificio-en-belgrano-_JM,Ramsay,1880,13,,,4673.74,6088.16,46.0,1,0,0,0,0,0,0,0,0,0,en_pozo,3,100.0,D_NQ_NP_2X_774470-MLA97455216293_112025-E,webp
MLA2180923204,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2180923204-edificio-en-nunez-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.816258+00:00,Edificio En Nuñez,departamento,venta,USD,422839.0,US$ 422.839,1,DARIA,"Avenida Congreso 1686, Núñez, Capital Federal",Núñez,Capital Federal,Capital Federal,3,4,2,2,,,99.0,112.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_668742-MLA87721700274_072025-E.webp,1,1,Venta en blanco,7.0,3 a 4 ambs. | 2 baños | 99 - 112 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio En Nuñez DARIA Desde US$ 422.839 3 a 4 ambs. 2 baños 99 - 112 m² cubiertos Avenida Congreso 1686, Núñez, Capital Federal Venta en blanco 7 unidades disponibles Destacado",,3,MLA-2180923204-edificio-en-nunez-_JM,Avenida Congreso,1686,13,,,3775.35,4271.1,13.0,1,1,0,0,0,0,0,0,0,0,en_pozo,3,100.0,D_NQ_NP_2X_668742-MLA87721700274_072025-E,webp
MLA1742685247,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1742685247-exclusivos-semipisos-con-residencias-de-3-dormitorios-con-dependencia-en-lo-mejor-de-villa-crespo-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.816811+00:00,Exclusivos Semipisos Con Residencias De 3 Dormitorios Con Dependencia En Lo Mejor De Villa Crespo,departamento,venta,USD,430140.0,US$ 430.140,1,Interwin,"Luis María Drago 261, Villa Crespo, Capital Federal",Villa Crespo,Capital Federal,Capital Federal,4,5,2,4,,,113.0,187.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_743388-MLA109418676328_042026-E.webp,1,1,Venta en blanco,7.0,4 a 5 ambs. | 2 a 4 baños | 113 - 187 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Exclusivos Semipisos Con Residencias De 3 Dormitorios Con Dependencia En Lo Mejor De Villa Crespo Interwin Desde US$ 430.140 4 a 5 ambs. 2 a 4 baños 113 - 187 m² cubiertos Luis María Drago 261, Villa Crespo, Capital Federal Venta en blanco 7 unidades disponibles Destacado",,4,MLA-1742685247-exclusivos-semipisos-con-residencias-de-3-dormitorios-con-dependencia-en-lo-mejor-de-villa-crespo-_JM,Luis María Drago,261,15,,,2300.21,3806.55,74.0,1,1,0,0,0,0,0,0,0,0,en_pozo,3,100.0,D_NQ_NP_2X_743388-MLA109418676328_042026-E,webp
MLA3039892666,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-3039892666-neuquen-edificio-en-caballito-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.817350+00:00,Neuquén- Edificio En Caballito,departamento,venta,USD,138000.0,US$ 138.000,1,,"Neuquen 895, Caballito, Capital Federal",Caballito,Capital Federal,Capital Federal,2,3,1,2,,,41.0,65.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_911063-MLA115633171120_092026-E.webp,1,1,Entrega inmediata,2.0,2 a 3 ambs. | 1 a 2 baños | 41 - 65 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Neuquén- Edificio En Caballito Desde US$ 138.000 2 a 3 ambs. 1 a 2 baños 41 - 65 m² cubiertos Neuquen 895, Caballito, Capital Federal Entrega inmediata 2 unidades disponibles Destacado",,5,MLA-3039892666-neuquen-edificio-en-caballito-_JM,Neuquen,895,6,,,2123.08,3365.85,24.0,1,1,0,0,0,0,0,0,0,0,entrega_inmediata,3,85.7,D_NQ_NP_2X_911063-MLA115633171120_092026-E,webp
MLA1413237760,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1413237760-edificio-villa-crespo-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.817863+00:00,Edificio - Villa Crespo,departamento,venta,USD,129999.0,US$ 129.999,1,Khabbaz Propiedades,"CORRIENTES 4890, Villa Crespo, Capital Federal",Villa Crespo,Capital Federal,Capital Federal,2,2,1,1,,,45.0,45.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_952355-MLA69327829729_052023-E.webp,1,1,Entrega inmediata,1.0,2 ambs. | 1 baño | 45 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio - Villa Crespo Khabbaz Propiedades Desde US$ 129.999 2 ambs. 1 baño 45 m² cubiertos CORRIENTES 4890, Villa Crespo, Capital Federal Entrega inmediata 1 unidad disponible Destacado",,6,MLA-1413237760-edificio-villa-crespo-_JM,CORRIENTES,4890,15,,,2888.87,2888.87,0.0,0,0,0,0,0,0,0,0,0,0,entrega_inmediata,3,100.0,D_NQ_NP_2X_952355-MLA69327829729_052023-E,webp
MLA2022623536,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2022623536-edificio-en-nunez-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.818639+00:00,Edificio En Nuñez,departamento,venta,USD,107500.0,US$ 107.500,1,,"Besares 2334, Núñez, Capital Federal",Núñez,Capital Federal,Capital Federal,1,2,1,1,,,28.0,53.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_788416-MLA82793209239_022025-E.webp,1,1,Venta en blanco,3.0,1 a 2 ambs. | 1 baño | 28 - 53 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio En Nuñez Desde US$ 107.500 1 a 2 ambs. 1 baño 28 - 53 m² cubiertos Besares 2334, Núñez, Capital Federal Venta en blanco 3 unidades disponibles Destacado",,7,MLA-2022623536-edificio-en-nunez-_JM,Besares,2334,13,,,2028.3,3839.29,25.0,1,1,0,0,0,0,0,0,0,0,en_pozo,3,85.7,D_NQ_NP_2X_788416-MLA82793209239_022025-E,webp
MLA1911641826,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1911641826-edificio-en-las-canitas-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.819375+00:00,Edificio En Las Cañitas,departamento,venta,USD,391500.0,US$ 391.500,1,Korn Propiedades,"Maure 1650, Las Cañitas, Capital Federal",Las Cañitas,Capital Federal,Capital Federal,4,4,2,2,,,78.0,81.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_646834-MLA117034174551_092026-E.webp,1,1,Entrega inmediata,2.0,4 ambs. | 2 baños | 78 - 81 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio En Las Cañitas Korn Propiedades Desde US$ 391.500 4 ambs. 2 baños 78 - 81 m² cubiertos Maure 1650, Las Cañitas, Capital Federal Entrega inmediata 2 unidades disponibles Destacado",,8,MLA-1911641826-edificio-en-las-canitas-_JM,Maure,1650,,,,4833.33,5019.23,3.0,1,0,0,0,0,0,0,0,0,0,entrega_inmediata,3,100.0,D_NQ_NP_2X_646834-MLA117034174551_092026-E,webp
MLA2022454582,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-2022454582-edificio-en-nunez-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.819983+00:00,Edificio En Nuñez,departamento,venta,USD,317000.0,US$ 317.000,1,,"Correa 2318, Núñez, Capital Federal",Núñez,Capital Federal,Capital Federal,3,3,2,2,,,75.0,78.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_861886-MLA82507035254_022025-E.webp,1,1,Entrega inmediata,2.0,3 ambs. | 2 baños | 75 - 78 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio En Nuñez Desde US$ 317.000 3 ambs. 2 baños 75 - 78 m² cubiertos Correa 2318, Núñez, Capital Federal Entrega inmediata 2 unidades disponibles Destacado",,9,MLA-2022454582-edificio-en-nunez-_JM,Correa,2318,13,,,4064.1,4226.67,3.0,1,0,0,0,0,0,0,0,0,0,entrega_inmediata,3,85.7,D_NQ_NP_2X_861886-MLA82507035254_022025-E,webp
MLA1464705307,Mercado Libre,https://departamento.mercadolibre.com.ar/MLA-1464705307-edificio-en-colegiales-_JM,https://inmuebles.mercadolibre.com.ar/departamentos/venta/capital-federal/,1,2026-09-03T16:28:55.820517+00:00,Edificio En Colegiales,departamento,venta,USD,839000.0,US$ 839.000,1,Korn Propiedades,"Céspedes 2979, Colegiales, Capital Federal",Colegiales,Capital Federal,Capital Federal,4,4,2,2,,,135.0,135.0,cubierta,https://http2.mlstatic.com/D_NQ_NP_2X_850159-MLA81039804466_122024-E.webp,1,1,Venta en blanco,1.0,4 ambs. | 2 baños | 135 m² cubiertos,"EMPRENDIMIENTO Departamento en venta Edificio En Colegiales Korn Propiedades Desde US$ 839.000 4 ambs. 2 baños 135 m² cubiertos Céspedes 2979, Colegiales, Capital Federal Venta en blanco 1 unidad disponible Destacado",,10,MLA-1464705307-edificio-en-colegiales-_JM,Céspedes,2979,13,,,6214.81,6214.81,0.0,0,0,0,0,0,0,0,0,0,0,en_pozo,3,100.0,D_NQ_NP_2X_850159-MLA81039804466_122024-E,webp
